case,fleiss_kappa,foreground_fleiss_kappa
UKCHLL003,0.9715057071324404,0.8554100190848064
UKCHLL005,0.9538082686941459,0.8019212802860879
UKCHLL007,0.9475392681545803,0.7936229992008654
UKCHLL008,0.9678157543976392,0.8422854576530594
UKCHLL010,0.9688288147408926,0.836805235886225
UKCHLL013,0.9659589532520436,0.834683191642904
UKCHLL018,0.9552860081703596,0.8194816916905682
UKCHLL020,0.9505904564738001,0.7794835757845394
UKCHLL025,0.9676304884182972,0.8350703449424117
UKCHLL026,0.9631884445589511,0.827741583808801
UKCHLL027,0.9712618593441673,0.8566116030520728
UKCHLL028,0.9230220376647619,0.7045277615713189
UKCHLL030,0.9260690823443603,0.7220089921968598
UKCHLL032,0.9718214694501147,0.8642669916228719
UKCHLL052,0.9673056812100184,0.813773489111277
UKCHLL053,0.9694547360707387,0.8545781101905474
UKCHLL054,0.958346463417645,0.825746194418611
UKCHLL055,0.9650250870401517,0.8531674652861323
UKCHLL057,0.9653622366572692,0.8497355967425835
UKCHLL062,0.9669953553422611,0.8655771418549207
UKCHLL064,0.961962836069314,0.8428164926486844
UKCHLL066,0.9422661328780214,0.7830166850512376
UKCHLL067,0.9613210655440886,0.8211951239129304
UKCHLL069,0.9583573503835364,0.7145726137817346
UKCHLL070,0.9581549453978682,0.8230032099250537
UKCHLL071,0.9632117683027507,0.8415729376461846
UKCHLL073,0.9696478666067918,0.8411807766635844
UKCHLL075,0.950446455986274,0.7891908605219136
UKCHLL076,0.9718079795813515,0.8387459508023382
UKCHLL077,0.9552520708105025,0.8272334679776617
UKCHLL078,0.9529651210582085,0.7912839365980169
UKCHLL080,0.9458007835262268,0.7528621052605174
UKCHLL081,0.9556070476533048,0.8137792910362784
UKCHLL082,0.6490267276652076,0.09161466629949838
UKCHLL083,0.959620007510229,0.8272811518633114
UKCHLL084,0.9637651068570131,0.8475095800636533
UKCHLL086,0.9513618771324538,0.7898027769294093
UKCHLL087,0.9671441114295631,0.8308408589872546
UKCHLL089,0.9612512011316894,0.8463629818773328
UKCHLL090,0.9629880031287616,0.8429693526266373
UKCHLL091,0.9652670230835381,0.8301507616341645
UKCHLL092,0.9630437460150266,0.8380140236101676
UKCHLL093,0.9231019410971821,0.7529509526964664
UKCHLL094,0.9641276471595096,0.8614495601360332
UKCHLL095,0.9628609549139368,0.8192186015378539
UKCHLL096,0.924112307300842,0.7377607646814897
UKCHLL097,0.9597949855924571,0.8255766203716624
UKCHLL098,0.9659648938053437,0.8404676401623539
UKCHLL099,0.9653975589541915,0.8173635043275141
UKCHLL100,0.9714530704094722,0.8540936850628629
UKCHLL101,0.9440482726336371,0.7525756838696556
UKCHLL102,0.9629416670117636,0.8490369067263656
UKCHLL103,0.9444293671061308,0.7743793818424488
UKCHLL104,0.9633188446584455,0.8386545364548381
UKCHLL105,0.9588640643264468,0.8100633292079243
UKCHLL106,0.9611814984307887,0.8066192881039782
UKCHLL107,0.9671565077005105,0.8354208921447405
UKCHLL108,0.9720467743536283,0.8609895484968161
UKCHLL109,0.9629162726031076,0.8330482831013237
UKCHLL110,0.9546088657330078,0.8136039567266651
UKCHLL111,0.9468546255258496,0.7848072002622434
UKCHLL112,0.895237461520736,0.5605670935048459
UKCHLL113,0.9647422484321655,0.8427239529017901
UKCHLL114,0.9479461662768409,0.7089497687553967
UKCHLL115,0.9579812868413166,0.8208522102093915
