case,label,class,dsc,nsd,tp,fp,fn
UKCHLL001,0,background,0.999050240876481,0.9655867583475457,245394782,82867,383708
UKCHLL001,1,pancreas,0.5081396864713359,0.3312404404506771,62365,91629,29105
UKCHLL001,2,kidney,0.8959166150333232,0.6990537630793089,427281,96853,2426
UKCHLL001,3,liver,0.965712513662874,0.7572866655885541,3472229,195226,51336
UKCHLL002,0,background,0.9994858299064289,0.979883574721969,209584464,64736,150899
UKCHLL002,1,pancreas,0.6244769176508718,0.45400519928659083,32756,13512,25883
UKCHLL002,2,kidney,0.8981474087678671,0.7368342271170412,269940,56446,4778
UKCHLL002,3,liver,0.9599420833385939,0.7810614172638835,1444637,83717,36851
UKCHLL009,0,background,0.9992476929715858,0.9730480388261668,149795433,77379,148175
UKCHLL009,1,pancreas,0.735694286894544,0.5804448547869443,56100,8741,31568
UKCHLL009,2,kidney,0.890316766375211,0.748318619652907,232159,52795,4407
UKCHLL009,3,liver,0.9583208427033402,0.7166265952888352,1472126,86643,41408
UKCHLL011,0,background,0.998707569556353,0.9561952520340696,238513862,97753,519570
UKCHLL011,1,pancreas,0.4352666137771551,0.2631488923545086,51573,86280,47546
UKCHLL011,2,kidney,0.8676634010534824,0.6313779352209508,555528,165140,4319
UKCHLL011,3,liver,0.9456655270814316,0.6423036946749263,2744258,268806,46544
UKCHLL015,0,background,0.9990660121163062,0.9629170128227559,261031310,115397,372659
UKCHLL015,1,pancreas,0.46416744460276127,0.3136606861398537,47236,50534,58524
UKCHLL015,2,kidney,0.8776573637014017,0.6315295457666853,579651,151612,9991
UKCHLL015,3,liver,0.9601520885506699,0.7297298729727953,2619184,170516,46885
UKCHLL017,0,background,0.9991668942828501,0.9649206791468801,248268662,93018,320995
UKCHLL017,1,pancreas,0.4706708268330733,0.273835806818019,36204,57978,23454
UKCHLL017,2,kidney,0.8805610664508822,0.6652008214295152,439632,113750,5513
UKCHLL017,3,liver,0.9544898056686932,0.6922942858390448,2237557,149295,64079
UKCHLL021,0,background,0.9992980743018348,0.9742957949921451,231240270,111506,213349
UKCHLL021,1,pancreas,0.6453753289440002,0.44571588433048587,63028,33261,36005
UKCHLL021,2,kidney,0.898410006746531,0.7636692238099325,295629,55295,11563
UKCHLL021,3,liver,0.9456946528710213,0.7323123507608745,1646348,124967,64112
UKCHLL023,0,background,0.9981383798651061,0.9261560004625491,262379250,400223,578500
UKCHLL023,1,pancreas,0.5837964151694538,0.26646647762856635,123914,90849,85834
UKCHLL023,2,kidney,0.8352050627640432,0.528356621168587,730092,234518,53592
UKCHLL023,3,liver,0.9301650509879508,0.5313725765429331,3436039,254139,261803
UKCHLL031,0,background,0.9984097542636664,0.9587184120330368,155560850,112126,383422
UKCHLL031,1,pancreas,0.7971401578576232,0.5024597869909262,146392,48845,25664
UKCHLL031,2,kidney,0.856098714544699,0.678726711248378,536687,165220,15203
UKCHLL031,3,liver,0.95127563753902,0.730972250475124,2380319,170969,72871
UKCHLL034,0,background,0.9991391077062612,0.9663923068892196,241440082,115459,300607
UKCHLL034,1,pancreas,0.5988685156178015,0.2850314251471366,81244,66230,42607
UKCHLL034,2,kidney,0.8986712222539662,0.7015471471791814,462396,94911,9363
UKCHLL034,3,liver,0.9547368003605543,0.7483254235014298,2178749,141281,65304
UKCHLL035,0,background,0.9992225187302697,0.9706254713648091,261571270,94614,312436
UKCHLL035,1,pancreas,0.6689848157484095,0.4102824433106759,89173,46609,41637
UKCHLL035,2,kidney,0.8759667001767493,0.6969593478146301,466606,122937,9202
UKCHLL035,3,liver,0.9589097135576243,0.7483251399894713,2229152,145079,45964
UKCHLL037,0,background,0.9991555690905702,0.9676072325118215,282346958,134591,342657
UKCHLL037,1,pancreas,0.5025919114161658,0.31313980994825846,66268,50596,80573
UKCHLL037,2,kidney,0.901057879766052,0.6883210673706542,422898,87731,5143
UKCHLL037,3,liver,0.9493502544221697,0.7097029950357694,2421024,206894,51439
UKCHLL038,0,background,0.999005605420806,0.9641469091672434,248742098,119807,375381
UKCHLL038,1,pancreas,0.6398741679584207,0.39933448297961466,84210,40657,54131
UKCHLL038,2,kidney,0.8665820945111605,0.6538078097075952,487741,142422,7762
UKCHLL038,3,liver,0.9546799307237742,0.7196688316484713,2635435,192302,57914
UKCHLL039,0,background,0.9991891206472854,0.969730205585838,258777349,107153,312862
UKCHLL039,1,pancreas,0.6589384243834505,0.41654380720567113,93449,81073,15664
UKCHLL039,2,kidney,0.9031833897993323,0.7181722117117671,363357,65360,12540
UKCHLL039,3,liver,0.9410371745271476,0.6545246627616332,1965103,166868,79388
UKCHLL041,0,background,0.9990092072667407,0.9690977811603215,159875415,103508,213613
UKCHLL041,1,pancreas,0.6748848819978319,0.5295851278269506,67859,11940,53440
UKCHLL041,2,kidney,0.8794747384334937,0.7775540384173578,322280,81686,6646
UKCHLL041,3,liver,0.945479170344307,0.7196627841654825,1422021,120283,43718
UKCHLL042,0,background,0.9984227029168766,0.9551353170900385,267500617,106018,739171
UKCHLL042,1,pancreas,0.6942236398249891,0.4550357303404562,83143,33444,39798
UKCHLL042,2,kidney,0.7841533456757077,0.5909116758067172,525845,266406,23083
UKCHLL042,3,liver,0.9155069066009117,0.6336597522317371,2625325,440386,44202
UKCHLL043,0,background,0.9984212677526971,0.9534983264148424,155214118,110681,380177
UKCHLL043,1,pancreas,0.60478774974515,0.3640238490313711,97001,57674,69101
UKCHLL043,2,kidney,0.8348825263754261,0.6641071606537305,465667,173618,10575
UKCHLL043,3,liver,0.9624674663896858,0.7075672054883131,2328614,149747,31867
UKCHLL045,0,background,0.9980229457636542,0.933609806741214,262849922,101619,939777
UKCHLL045,1,pancreas,0.5226802559166753,0.3707991111203788,65438,50719,68799
UKCHLL045,2,kidney,0.8475824276150823,0.5690907237100965,399202,142023,1551
UKCHLL045,3,liver,0.852174669146376,0.4270987220487633,2244323,747202,31436
UKCHLL046,0,background,0.9949315507929857,0.8720935080443974,274704365,199261,2599575
UKCHLL046,1,pancreas,0.5378237576917028,0.30162296232232155,83776,60307,83678
UKCHLL046,2,kidney,0.8220946216887598,0.551548709854581,641695,261900,15832
UKCHLL046,3,liver,0.7197057730055859,0.2831215002870731,3051840,2277368,99751
UKCHLL048,0,background,0.9988148568502441,0.9552520288499832,229759085,194696,350545
UKCHLL048,1,pancreas,0.13949982715531653,0.0582942069660159,12308,66653,85190
UKCHLL048,2,kidney,0.8633170763040416,0.6086849659400192,376332,109707,9457
UKCHLL048,3,liver,0.9294005378764411,0.6387448092321432,1827089,175858,101722
