case,label,class,dsc,nsd,tp,fp,fn
UKCHLL001,0,background,0.9975985522379494,0.9663282003474117,245673386,1077680,105104
UKCHLL001,1,pancreas,0.8962598933241569,0.7999294791221073,83345,11169,8125
UKCHLL001,2,kidney,0.8973036367020025,0.7329711226858311,383316,41350,46391
UKCHLL001,3,liver,0.8229671733192069,0.6359830224373061,2500401,52585,1023164
UKCHLL002,0,background,0.9976708265749273,0.9712842140462894,209673462,917111,61901
UKCHLL002,1,pancreas,0.7493804095016586,0.6152984129671768,39308,6961,19331
UKCHLL002,2,kidney,0.9304896264398977,0.8363272794490519,266000,31024,8718
UKCHLL002,3,liver,0.5633688144415896,0.4939619597972374,590926,25416,890562
UKCHLL009,0,background,0.996534249548854,0.9649401766313701,149868294,967111,75314
UKCHLL009,1,pancreas,0.8293188609061528,0.6946969239281429,68000,8322,19668
UKCHLL009,2,kidney,0.9137849769043622,0.8223656765711281,227797,34216,8769
UKCHLL009,3,liver,0.5420216201436,0.43336367056996145,574860,32776,938674
UKCHLL011,0,background,0.9958671984227624,0.9557044510723938,238888276,1837594,145156
UKCHLL011,1,pancreas,0.7197645512472498,0.5061033061873969,62974,12892,36145
UKCHLL011,2,kidney,0.9448290621430468,0.8454422657507449,549651,53995,10196
UKCHLL011,3,liver,0.5167470570901251,0.4031773970211277,999549,78269,1791253
UKCHLL015,0,background,0.998046906259864,0.9614436568024535,261218702,837099,185267
UKCHLL015,1,pancreas,0.6116758575145764,0.42506959662804616,54185,17224,51575
UKCHLL015,2,kidney,0.9226614889061767,0.7794476204198981,574032,80622,15610
UKCHLL015,3,liver,0.8156003307779411,0.5446130036752459,1896126,87450,769943
UKCHLL017,0,background,0.9969470980826428,0.9634218047386766,248465943,1398016,123714
UKCHLL017,1,pancreas,0.7258925605774605,0.5527527233900427,44801,18978,14857
UKCHLL017,2,kidney,0.9175512616069139,0.8129577371965596,422336,53091,22809
UKCHLL017,3,liver,0.5714146957703394,0.39524139134951963,941282,51649,1360354
UKCHLL021,0,background,0.9973716764560342,0.9678005929530248,231333095,1098717,120524
UKCHLL021,1,pancreas,0.7745404762016777,0.6183390491496692,82317,31207,16716
UKCHLL021,2,kidney,0.9331206442620412,0.8573392919936133,301258,37250,5934
UKCHLL021,3,liver,0.5291657627288353,0.4100205493135209,634184,52276,1076276
UKCHLL023,0,background,0.9941096226928512,0.9365592359202863,262757903,2913981,199847
UKCHLL023,1,pancreas,0.670559210080893,0.38916345181326073,123803,35702,85945
UKCHLL023,2,kidney,0.9106549205709996,0.7739747791164683,739465,100880,44219
UKCHLL023,3,liver,0.39084201258916323,0.2478760780815768,913619,63671,2784223
UKCHLL031,0,background,0.9965860322520178,0.9461623976224768,155829112,952476,115160
UKCHLL031,1,pancreas,0.779837224499495,0.6429958190367795,118143,12795,53913
UKCHLL031,2,kidney,0.9365514157892894,0.8315724545605127,521580,40361,30310
UKCHLL031,3,liver,0.7731138346555269,0.48432699294720105,1584934,62007,868256
UKCHLL034,0,background,0.9973697909185683,0.9622957273181305,241608983,1142610,131706
UKCHLL034,1,pancreas,0.736694577531008,0.5459498866774686,82263,17216,41588
UKCHLL034,2,kidney,0.9347749422263896,0.8368005813753614,450612,41737,21147
UKCHLL034,3,liver,0.668720109026643,0.4717653781035974,1163902,73029,1080151
UKCHLL035,0,background,0.9966621114233991,0.9590212015110117,261763171,1632790,120535
UKCHLL035,1,pancreas,0.44829824812640223,0.25866511898318734,46957,31723,83853
UKCHLL035,2,kidney,0.9363601518860548,0.8412492927722359,458051,44506,17757
UKCHLL035,3,liver,0.48520414525497835,0.39935457168774485,743177,45065,1531939
UKCHLL037,0,background,0.9973523493451885,0.9647812669433393,282515856,1326219,173759
UKCHLL037,1,pancreas,0.7838139738628896,0.5666632802107516,107359,19740,39482
UKCHLL037,2,kidney,0.9196493278784337,0.778814533166146,413049,57185,14992
UKCHLL037,3,liver,0.6362781049942772,0.49897740076116054,1199389,98163,1273074
UKCHLL038,0,background,0.9967831100863049,0.95753544961976,248945263,1434612,172216
UKCHLL038,1,pancreas,0.6273267686164179,0.4680464309931409,69122,12907,69219
UKCHLL038,2,kidney,0.8892462393766981,0.7217291610105171,478334,101982,17169
UKCHLL038,3,liver,0.6568312278843625,0.4748793346388908,1345125,57327,1348224
UKCHLL039,0,background,0.9981389388248209,0.9665265634830039,259002909,878536,87302
UKCHLL039,1,pancreas,0.81206921482624,0.6745629710252287,84240,14117,24873
UKCHLL039,2,kidney,0.9373006761912978,0.8553858512163334,353121,24467,22776
UKCHLL039,3,liver,0.7338612736795217,0.4380724647910653,1213371,48951,831120
UKCHLL041,0,background,0.99666594196037,0.9614433476926404,159989601,970971,99427
UKCHLL041,1,pancreas,0.7758292628682981,0.6057967627474339,94188,27319,27111
UKCHLL041,2,kidney,0.9400536310727995,0.8822705541281504,316909,28401,12017
UKCHLL041,3,liver,0.5224920742587389,0.4311186870709748,533815,43788,931924
UKCHLL042,0,background,0.9968069124631912,0.9547973620891133,268072678,1550333,167110
UKCHLL042,1,pancreas,0.8378924596510204,0.6409497470199701,103026,19950,19915
UKCHLL042,2,kidney,0.9065127246400241,0.7519009576314643,521500,80135,27428
UKCHLL042,3,liver,0.5977506533927358,0.3842725927941794,1166537,67025,1502990
UKCHLL043,0,background,0.9942542726073403,0.9341683972068926,155466541,1669107,127754
UKCHLL043,1,pancreas,0.8202814856369727,0.5848658854020188,124287,12646,41815
UKCHLL043,2,kidney,0.8989982577513838,0.7323487834209141,443243,66597,32999
UKCHLL043,3,liver,0.482154082603191,0.35713249582781426,765463,49236,1595018
UKCHLL045,0,background,0.9976905759384262,0.9634582197269035,263613033,1043741,176666
UKCHLL045,1,pancreas,0.7412121882955678,0.5807931958265886,93750,24977,40487
UKCHLL045,2,kidney,0.9062375617027087,0.7738920374280864,388200,67776,12553
UKCHLL045,3,liver,0.7051518219456585,0.48251784767391626,1285044,83927,990715
UKCHLL046,0,background,0.9967934128159526,0.9456919507426967,277144710,1623865,159230
UKCHLL046,1,pancreas,0.7686511861739809,0.5144375634492899,117727,21140,49727
UKCHLL046,2,kidney,0.9426192920761871,0.8173148843061847,615578,32996,41949
UKCHLL046,3,liver,0.6642219468192425,0.348708786958005,1619402,105094,1532189
UKCHLL048,0,background,0.9966815955620631,0.9642187217252434,230002352,1424286,107278
UKCHLL048,1,pancreas,0.4266841631894785,0.28158993858121917,28939,9209,68559
UKCHLL048,2,kidney,0.9137767121706042,0.7522166890823457,371972,56381,13817
UKCHLL048,3,liver,0.4578384296551185,0.4696360297933111,585438,43151,1343373
