case,label,class,dsc,nsd,tp,fp,fn
UKCHLL001,0,background,0.9983930260888162,0.9621747688797394,245505538,517360,272952
UKCHLL001,1,pancreas,0.09788059873566089,0.05941881883357064,5094,7522,86376
UKCHLL001,2,kidney,0.20565345293409407,0.20154128256536602,49705,3974,380002
UKCHLL001,3,liver,0.9569469483317083,0.7273135658997795,3472571,261468,50994
UKCHLL002,0,background,0.9996106045195936,0.9872746223116187,209661388,89371,73975
UKCHLL002,1,pancreas,0.4667543335325762,0.42778360468245474,19522,5489,39117
UKCHLL002,2,kidney,0.9394262569209617,0.886562320932281,252809,10693,21909
UKCHLL002,3,liver,0.9698211216057617,0.8644328040481696,1451058,59878,30430
UKCHLL009,0,background,0.998959004623999,0.9738987535037561,149880502,249269,63106
UKCHLL009,1,pancreas,0.5466811319601491,0.4251064586619535,35777,7443,51891
UKCHLL009,2,kidney,0.4787234720743579,0.4046889114172081,75094,2066,161472
UKCHLL009,3,liver,0.9705576040665288,0.8144863298282119,1477557,53668,35977
UKCHLL011,0,background,0.998914103245682,0.9636015687458934,238662441,147898,370991
UKCHLL011,1,pancreas,0.5615685106480474,0.3326788444631173,49021,26446,50098
UKCHLL011,2,kidney,0.9443359252383386,0.8605224081221753,526472,28691,33375
UKCHLL011,3,liver,0.9346403491974072,0.6292195156868224,2725894,316337,64908
UKCHLL015,0,background,0.9990770385747416,0.9723892552174082,261235467,314164,168502
UKCHLL015,1,pancreas,0.2892172190952679,0.2518361449117081,22198,25546,83562
UKCHLL015,2,kidney,0.8093530249212672,0.7023814071452501,422112,31331,167530
UKCHLL015,3,liver,0.9674679330219854,0.7795865624128349,2602823,111799,63246
UKCHLL017,0,background,0.9991891839009625,0.9791788469367758,248515031,328701,74626
UKCHLL017,1,pancreas,0.45735440059767396,0.2987736891954526,20508,9515,39150
UKCHLL017,2,kidney,0.6259032257087197,0.5521986114970143,206590,8399,238555
UKCHLL017,3,liver,0.9766265392749992,0.8613376018613634,2250630,56722,51006
UKCHLL021,0,background,0.999311370143999,0.9806637029774266,231386567,251847,67052
UKCHLL021,1,pancreas,0.68689507676791,0.5341243897822526,56527,9027,42506
UKCHLL021,2,kidney,0.6765060862715031,0.5976704026038785,160588,6977,146604
UKCHLL021,3,liver,0.9665065230252805,0.8437634830304392,1647522,51249,62938
UKCHLL023,0,background,0.9905239833648984,0.9191278701549346,262204597,4263697,753153
UKCHLL023,1,pancreas,0.047098997806708835,0.07859559803717156,5186,5283,204562
UKCHLL023,2,kidney,0.5839032718810342,0.4669941053063591,326432,7987,457252
UKCHLL023,3,liver,0.0414682628961348,0.04857799941416627,94002,741840,3603840
UKCHLL031,0,background,0.9978702628287972,0.9605279259392037,155858458,579478,85814
UKCHLL031,1,pancreas,0.46840059380282656,0.31121875562071016,54586,6432,117470
UKCHLL031,2,kidney,0.45521690699963147,0.4205763786957288,164898,7693,386992
UKCHLL031,3,liver,0.9700768072464238,0.8239393502467273,2378169,71694,75021
UKCHLL034,0,background,0.9994077519575166,0.9809418727039588,241637259,182958,103430
UKCHLL034,1,pancreas,0.47906272711872744,0.3119173757900416,43834,15314,80017
UKCHLL034,2,kidney,0.9424471841813103,0.8585886119073884,436755,18339,35004
UKCHLL034,3,liver,0.9691025237274569,0.8360325165598904,2175609,70284,68444
UKCHLL035,0,background,0.9987191630141782,0.9680807481015271,261728133,515749,155573
UKCHLL035,1,pancreas,0.12194469040215802,0.08955462252746171,8883,5996,121927
UKCHLL035,2,kidney,0.4711634491234074,0.4223802096710314,151439,15583,324369
UKCHLL035,3,liver,0.9554112412463192,0.7497352679529783,2204503,135154,70613
UKCHLL037,0,background,0.9994564643578872,0.9778519589266652,282476420,94044,213195
UKCHLL037,1,pancreas,0.7424011306152817,0.5147454089769437,109264,38248,37577
UKCHLL037,2,kidney,0.946982848898094,0.9077120560540884,406928,24451,21113
UKCHLL037,3,liver,0.9628048476818889,0.755826699020284,2435929,151676,36534
UKCHLL038,0,background,0.9984769797246681,0.9669785901359476,248641715,282764,475764
UKCHLL038,1,pancreas,0.08438948796594585,0.10096853602338357,6562,10614,131779
UKCHLL038,2,kidney,0.8877536661114184,0.732594065278661,406905,14299,88598
UKCHLL038,3,liver,0.9110951346473052,0.7099525774005668,2630861,450952,62488
UKCHLL039,0,background,0.9989612719047247,0.973849732047038,259014121,462560,76090
UKCHLL039,1,pancreas,0.5420630869428847,0.35647261816238207,44070,9418,65043
UKCHLL039,2,kidney,0.2777486541065136,0.24868589162260563,60930,1915,314967
UKCHLL039,3,liver,0.9637543233684311,0.76527627990222,1961813,64885,82678
UKCHLL041,0,background,0.9986540975973407,0.9685518686431315,160034423,376757,54605
UKCHLL041,1,pancreas,0.45391834538824793,0.3390091407057656,37968,8023,83331
UKCHLL041,2,kidney,0.6130160483290661,0.5138946221533887,146528,2602,182398
UKCHLL041,3,liver,0.9455430923429793,0.7814829581517774,1354221,44470,111518
UKCHLL042,0,background,0.9975843209048518,0.9586036709335265,267571882,627960,667906
UKCHLL042,1,pancreas,0.0326121758221653,0.06633508015510137,2139,6098,120802
UKCHLL042,2,kidney,0.26162934685732764,0.28891891957873345,82928,2079,466000
UKCHLL042,3,liver,0.8760591678731038,0.6284301062290755,2609616,678482,59911
UKCHLL043,0,background,0.9984024615980125,0.9568312446092379,155460182,363389,134113
UKCHLL043,1,pancreas,0.3241940933642164,0.24832240008201634,33102,5007,133000
UKCHLL043,2,kidney,0.8250854728708812,0.6934603307973278,348118,19475,128124
UKCHLL043,3,liver,0.9543462297877813,0.6840248806942334,2256231,111616,104250
UKCHLL045,0,background,0.9979943073265231,0.9530290733367438,263098871,366684,690828
UKCHLL045,1,pancreas,0.33950793752661884,0.2390815338522413,29096,8068,105141
UKCHLL045,2,kidney,0.5891214683439885,0.5234364511639952,171399,9728,229354
UKCHLL045,3,liver,0.8641275134760469,0.5410056503711944,2243431,673171,32328
UKCHLL046,0,background,0.9963523329261378,0.934191928439844,276176353,894588,1127587
UKCHLL046,1,pancreas,0.12847391636480127,0.10731572912211741,13034,22417,154420
UKCHLL046,2,kidney,0.09585573463930809,0.09413798408076217,33626,10443,623901
UKCHLL046,3,liver,0.831733007472765,0.5119855741790966,3028191,1101860,123400
UKCHLL048,0,background,0.9988909022215867,0.9702894000206904,230020061,421227,89569
UKCHLL048,1,pancreas,0.351415686948702,0.220548425604036,26573,27163,70925
UKCHLL048,2,kidney,0.693915687611325,0.5605712239792107,210177,9805,175612
UKCHLL048,3,liver,0.9323943865574204,0.7373459401600603,1741495,65227,187316
