model,label,class,mean_case_dsc,mean_case_nsd,micro_dsc,tp,fp,fn,cases_with_dsc,cases_with_nsd
clip_unet,0,background,0.9986952450539501,0.9569455208603423,0.9986582399003388,4644550162,2542412,9938078,20,20
clip_unet,1,pancreas,0.5753942812828367,0.3667335492492711,0.5852634489760585,1443437,1047531,998201,20,20
clip_unet,2,kidney,0.8688471214018607,0.6651886163329819,0.8627681299231921,9000618,2640330,222946,20,20
clip_unet,3,liver,0.9327433299679087,0.6652180767898629,0.9242181471301405,46381372,6267546,1338594,20,20
segresnet,0,background,0.9967965587236763,0.9583791469096556,0.9968550554759356,4651833270,26696855,2654970,20,20
segresnet,1,pancreas,0.7267991286315798,0.548333477156946,0.7342318360641992,1628734,366194,812904,20,20
segresnet,2,kidney,0.9216238275148656,0.8018160776640773,0.9213118737732082,8796004,1074952,427560,20,20
segresnet,3,liver,0.6067872585515399,0.4402499827646678,0.6252069581507687,22256544,1220855,25463422,20,20
swin5050,0,background,0.9982374315412457,0.9654018701282533,0.9981696135361718,4648769409,11330465,5718831,20,20
swin5050,1,pancreas,0.3610917070703285,0.2656903587594941,0.37485524202149983,622944,259069,1818694,20,20
swin5050,2,kidney,0.6161870592011274,0.5468758097286226,0.6581928462673771,4640433,236530,4583131,20,20
swin5050,3,liver,0.8960241778423862,0.7046877831524945,0.8929302453104587,42742126,5272432,4977840,20,20
