case,fleiss_kappa,foreground_fleiss_kappa
UKCHLL003,0.9687128222558397,0.8471701862870233
UKCHLL005,0.9459940378560078,0.7863945078525513
UKCHLL007,0.9248225736436376,0.7503411686349857
UKCHLL008,0.9366938791732599,0.7741369556488918
UKCHLL010,0.9532568572401074,0.7977136380524952
UKCHLL013,0.9546178360973605,0.8091795705319987
UKCHLL018,0.93820043215944,0.7817149746134228
UKCHLL020,0.9228816352165098,0.7306038840460775
UKCHLL025,0.952606901899827,0.7984127984036314
UKCHLL026,0.9460896481239149,0.7908730157001966
UKCHLL027,0.9607984488357665,0.8282735208059839
UKCHLL028,0.8973403853387667,0.6720360604935204
UKCHLL030,0.918447029066037,0.712608439070228
UKCHLL032,0.9372596741778816,0.7798615992070805
UKCHLL052,0.9599778764625319,0.7953212242213017
UKCHLL053,0.9568559161229391,0.8236114185741052
UKCHLL054,0.945839788831224,0.801217298044446
UKCHLL055,0.9527769111551476,0.8198549663180208
UKCHLL057,0.9460786372571902,0.801096427226401
UKCHLL062,0.9130004854785237,0.7493039968855543
UKCHLL064,0.9454815048633955,0.8067470877186123
UKCHLL066,0.911770498615125,0.7393048477157826
UKCHLL067,0.9277217618216443,0.7464836827996999
UKCHLL069,0.9395337152391486,0.6916446826791784
UKCHLL070,0.9421480472396772,0.7898296153374617
UKCHLL071,0.9544339432090839,0.8183498062163648
UKCHLL073,0.9578206246737935,0.8103629039198157
UKCHLL075,0.9045970777256466,0.7079950398601262
UKCHLL076,0.9624032785252629,0.8096364288733012
UKCHLL077,0.9498891126622429,0.8141586175861021
UKCHLL078,0.9198986316611089,0.7331542374181439
UKCHLL080,0.9245329709743169,0.7062874527956295
UKCHLL081,0.9461866204066296,0.7941325743642779
UKCHLL082,0.6398853126031143,0.10656643734935956
UKCHLL083,0.949349441205306,0.8054164972072607
UKCHLL084,0.9546907334589925,0.8248561950194202
UKCHLL086,0.9396439194094904,0.7634645494568176
UKCHLL087,0.9551963914711912,0.7934491576122156
UKCHLL089,0.947843833448353,0.8154257550606842
UKCHLL090,0.9355335476805626,0.7806521508649329
UKCHLL091,0.9503878245868159,0.7948380656531335
UKCHLL092,0.9574001199597922,0.8209872804247735
UKCHLL093,0.9156270628648422,0.742347508841534
UKCHLL094,0.9374535832870626,0.8023878328003756
UKCHLL095,0.9043946502572078,0.707576413931317
UKCHLL096,0.9210745469282772,0.7414556611219564
UKCHLL097,0.9476213740495611,0.7973352223427392
UKCHLL098,0.9530158605347033,0.8048716648715718
UKCHLL099,0.9553392811246499,0.792524624671428
UKCHLL100,0.9590084692803058,0.8183037783754474
UKCHLL101,0.9372015749675524,0.7435409630408659
UKCHLL102,0.9560797883503825,0.8375666047890195
UKCHLL103,0.9022338102568088,0.7155067015012775
UKCHLL104,0.9451971357258196,0.7921387752605948
UKCHLL105,0.9390587944791425,0.7701132069818931
UKCHLL106,0.9567716476851158,0.7936130246129497
UKCHLL107,0.9548757567586822,0.805169409819437
UKCHLL108,0.9607283886023166,0.8305549628614133
UKCHLL109,0.9509000640362366,0.8031872277803943
UKCHLL110,0.9367035450578963,0.7785931307359808
UKCHLL111,0.9388897829427113,0.7656705995070453
UKCHLL112,0.9037812458278596,0.6816975899665781
UKCHLL113,0.9532361321580956,0.8145454111477597
UKCHLL114,0.9510320316054045,0.7420638742256158
UKCHLL115,0.937731135159225,0.7763153248819417
