case,pair,multiclass_kappa,exact_agreement,foreground_multiclass_kappa,foreground_exact_agreement
UKCHLL003,annotation_1_vs_annotation_2,0.9778284166655378,0.9991456531762526,0.999971933998472,0.9573222683532003
UKCHLL003,annotation_1_vs_annotation_3,0.9752545604474906,0.9990433259043352,0.9999430856445554,0.952487815186809
UKCHLL003,annotation_1_vs_clip_unet,0.9570420347239226,0.9983422497403539,0.9962042536468043,0.9188900735564316
UKCHLL003,annotation_2_vs_annotation_3,0.9889452606535934,0.9995684458532179,0.9999736398748381,0.978495350610074
UKCHLL003,annotation_2_vs_clip_unet,0.9564611462864988,0.9983034023787077,0.9955940263066975,0.9178440428420165
UKCHLL003,annotation_3_vs_clip_unet,0.9567879471982237,0.9983106441365653,0.9955997193336483,0.9184397057541274
UKCHLL005,annotation_1_vs_annotation_2,0.9761204414436963,0.9994382070458454,0.9992417588596962,0.9537992227409481
UKCHLL005,annotation_1_vs_annotation_3,0.9937468232417377,0.9998534948929496,0.9997652243336479,0.9876924266606847
UKCHLL005,annotation_1_vs_clip_unet,0.9131679180419916,0.9979416598444399,0.9976450591040784,0.8416338528355903
UKCHLL005,annotation_2_vs_annotation_3,0.9724047604962014,0.9993498636328656,0.9988417473578413,0.9467988368660529
UKCHLL005,annotation_2_vs_clip_unet,0.9096855706334641,0.9978472999904466,0.9968124279930449,0.8357948564835431
UKCHLL005,annotation_3_vs_clip_unet,0.9120321951789642,0.997911780813466,0.9974457017272245,0.8397260435273949
UKCHLL007,annotation_1_vs_annotation_2,0.9636501727390299,0.9992598748474432,1.0,0.9304237239189034
UKCHLL007,annotation_1_vs_annotation_3,0.960277096435641,0.9991725412226842,1.0,0.9242247163483487
UKCHLL007,annotation_1_vs_clip_unet,0.8857449439673654,0.9975029948289971,0.9997923659822798,0.7965790814193068
UKCHLL007,annotation_2_vs_annotation_3,0.9684240570065474,0.9993352821964493,1.0,0.9392989987979894
UKCHLL007,annotation_2_vs_clip_unet,0.8869788907600387,0.9975050674422922,0.9997488172711723,0.7985700341982469
UKCHLL007,annotation_3_vs_clip_unet,0.8912222690633708,0.9975477990511118,0.999716167992366,0.8054317894668639
UKCHLL008,annotation_1_vs_annotation_2,0.9762995651971125,0.9994890422912306,1.0,0.954114822434735
UKCHLL008,annotation_1_vs_annotation_3,0.9739297116561272,0.9994369652853058,0.9999893871322163,0.9496430993272056
UKCHLL008,annotation_1_vs_clip_unet,0.8963669115685051,0.9976119046005906,0.9999937871617953,0.813820245791791
UKCHLL008,annotation_2_vs_annotation_3,0.9891610371274285,0.9997632405404269,0.9999944062195749,0.9787529225460195
UKCHLL008,annotation_2_vs_clip_unet,0.8967648536363908,0.9975956638463946,0.9999609477477568,0.8144844874448998
UKCHLL008,annotation_3_vs_clip_unet,0.8961940832719058,0.9975784593792053,0.9998564434155238,0.8135560159957369
UKCHLL010,annotation_1_vs_annotation_2,0.9735858932339612,0.9985706329345703,1.0,0.9497228586679841
UKCHLL010,annotation_1_vs_annotation_3,0.9740699971590538,0.9985956240922976,1.0,0.9506235675502425
UKCHLL010,annotation_1_vs_clip_unet,0.9293711709559723,0.9960583564562675,1.0,0.871070974256331
UKCHLL010,annotation_2_vs_annotation_3,0.9873155688080817,0.9993136479304388,1.0,0.9755360531185256
UKCHLL010,annotation_2_vs_clip_unet,0.9282928933577815,0.9960017815614358,1.0,0.8692235362921983
UKCHLL010,annotation_3_vs_clip_unet,0.9291507746427196,0.9960463352692432,1.0,0.8706922061349364
UKCHLL013,annotation_1_vs_annotation_2,0.9829737218756321,0.9994844001636171,1.0,0.966946434363375
UKCHLL013,annotation_1_vs_annotation_3,0.9942222916042787,0.9998250503986202,1.0,0.9886597660867084
UKCHLL013,annotation_1_vs_clip_unet,0.9247289605755185,0.9976428427891425,1.0,0.8617364278113604
UKCHLL013,annotation_2_vs_annotation_3,0.9827584457785917,0.9994774400142201,1.0,0.9665356068651678
UKCHLL013,annotation_2_vs_clip_unet,0.9221061326334845,0.9975585223638523,1.0,0.8572628446641549
UKCHLL013,annotation_3_vs_clip_unet,0.9241226490653092,0.9976219177246094,1.0,0.860700783462865
UKCHLL018,annotation_1_vs_annotation_2,0.9746623265680618,0.9987811876859279,1.0,0.9515494630595253
UKCHLL018,annotation_1_vs_annotation_3,0.9742482778434154,0.998755857434576,1.0,0.950782685533173
UKCHLL018,annotation_1_vs_clip_unet,0.899198106086854,0.99497819360281,1.0,0.8203285064553412
UKCHLL018,annotation_2_vs_annotation_3,0.9859783859955976,0.9993221139632209,1.0,0.9728976092478415
UKCHLL018,annotation_2_vs_clip_unet,0.8993553402178518,0.9949827304465233,1.0,0.8205829023766259
UKCHLL018,annotation_3_vs_clip_unet,0.8997327877692808,0.9949805419569071,1.0,0.8212154353336645
UKCHLL020,annotation_1_vs_annotation_2,0.96619169108651,0.9994889857931516,1.0,0.9350072207618373
UKCHLL020,annotation_1_vs_annotation_3,0.9509731084285314,0.9992559594031146,1.0,0.9071135885557817
UKCHLL020,annotation_1_vs_clip_unet,0.8968310763019792,0.9983435909236315,0.9996771608009462,0.8140913654290499
UKCHLL020,annotation_2_vs_annotation_3,0.9570943146418367,0.9993411944089562,1.0,0.9182395934470695
UKCHLL020,annotation_2_vs_clip_unet,0.8909268281294278,0.9982293440390942,0.9996764644194799,0.8045000349201956
UKCHLL020,annotation_3_vs_clip_unet,0.881810670391784,0.9980741444584798,0.9997942378467796,0.7898880871424053
UKCHLL025,annotation_1_vs_annotation_2,0.9810506137430952,0.9994302352672906,0.9998543530289986,0.9632813018665338
UKCHLL025,annotation_1_vs_annotation_3,0.9851588171161966,0.9995525302015585,0.999886783883645,0.9711283223156914
UKCHLL025,annotation_1_vs_clip_unet,0.9214295747961637,0.9975608089853665,0.9996571599897962,0.8560951329278678
UKCHLL025,annotation_2_vs_annotation_3,0.9922196444090117,0.9997653864361913,0.99990329804404,0.984759480041158
UKCHLL025,annotation_2_vs_clip_unet,0.9187149309276098,0.9974762040346407,0.999741542173631,0.8514923145289017
UKCHLL025,annotation_3_vs_clip_unet,0.920132125047587,0.9975135996862111,0.9997536600153585,0.8538987460221521
UKCHLL026,annotation_1_vs_annotation_2,0.9869829789783914,0.9994939602799152,1.0,0.9747284532167555
UKCHLL026,annotation_1_vs_annotation_3,0.9944542467557514,0.9997844868568919,1.0,0.9891549157192274
UKCHLL026,annotation_1_vs_clip_unet,0.9058673020502632,0.9961382190186774,0.9989561371695,0.8306617747680108
UKCHLL026,annotation_2_vs_annotation_3,0.9873613314657322,0.999507812039936,1.0,0.975454439601448
UKCHLL026,annotation_2_vs_clip_unet,0.9046674786120456,0.9960811864191563,0.9989791378276264,0.828688665674599
UKCHLL026,annotation_3_vs_clip_unet,0.9041482338050271,0.9960612158080441,0.9989628767458054,0.8278390488169701
UKCHLL027,annotation_1_vs_annotation_2,0.980284030671265,0.999490371117225,0.9999742043870441,0.9617481340721079
UKCHLL027,annotation_1_vs_annotation_3,0.9766027983878376,0.9993931737720457,0.9999472811001291,0.9547690760764729
UKCHLL027,annotation_1_vs_clip_unet,0.9392814313998606,0.9983997630257891,0.9998787125991876,0.8867206263983394
UKCHLL027,annotation_2_vs_annotation_3,0.987725962732608,0.9996796143360627,0.9999890877203702,0.9760153624697111
UKCHLL027,annotation_2_vs_clip_unet,0.9414002854300995,0.9984458328312279,0.9998829382212979,0.8904616832330465
UKCHLL027,annotation_3_vs_clip_unet,0.940696494139068,0.998421995048849,0.9998625684056761,0.889222964283497
UKCHLL028,annotation_1_vs_annotation_2,0.9244684835437263,0.9985904325231462,1.0,0.8606026923951858
UKCHLL028,annotation_1_vs_annotation_3,0.9659554488349772,0.9993285027696339,1.0,0.9346810736002987
UKCHLL028,annotation_1_vs_clip_unet,0.8761603011421474,0.9973889706984098,1.0,0.7813195243837976
UKCHLL028,annotation_2_vs_annotation_3,0.9283836341707542,0.9986590684227677,1.0,0.8673513678097068
