case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
UKCHLL003,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.9995643735166433,nan,0.9777645263490572,222472156,4350634,141243,52671
UKCHLL003,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.9167619007158485,0.8424122452638433,0.9167187831733269,107896,226889215,5482,14111
UKCHLL003,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.969008892713712,0.9442554869064276,0.9689134280172997,675593,226297897,15851,27363
UKCHLL003,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,3,liver,0.9819444140492254,0.8835434924417508,0.9816508183349314,3567108,223318415,31375,99806
UKCHLL003,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,0,background,0.999512240160035,nan,0.975186758190069,222445645,4353953,167754,49352
UKCHLL003,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,1,pancreas,0.9154901195769146,0.8475222864235614,0.9154467177340755,106764,226890229,6614,13097
UKCHLL003,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,2,kidney,0.9629749856380445,0.9186922757679351,0.962860104797772,676371,226288322,15073,36938
UKCHLL003,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,3,liver,0.9800283243355995,0.8684144793591818,0.9797026106534124,3570743,223300427,27740,117794
UKCHLL003,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,0,background,0.9991653630036281,nan,0.9574601158526183,222376865,4268321,236534,134984
UKCHLL003,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,1,pancreas,0.7169544029315099,0.5042236527311728,0.7168229865224486,75914,226880850,37464,22476
UKCHLL003,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,2,kidney,0.9358506867767865,0.7793672947738525,0.9356457230365551,678065,226245681,13379,79579
UKCHLL003,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,3,liver,0.9685044259216945,0.7550537495493493,0.9679935622055394,3509523,223278923,88960,139298
UKCHLL003,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,0,background,0.9997799333991018,nan,0.9889147794453793,222460945,4457825,63882,34052
UKCHLL003,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,1,pancreas,0.971447235682273,0.9751046886597318,0.971432018439414,117481,226892317,4526,2380
UKCHLL003,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,2,kidney,0.9817174045817697,0.9827785543052526,0.9816602003586856,695186,226295625,7770,18123
UKCHLL003,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,3,liver,0.9911348739866529,0.9733477064205829,0.9909888931380774,3645122,223306375,21792,43415
UKCHLL003,annotation_2_vs_clip_unet,annotation_2.nii.gz,clip_unet,0,background,0.9991472972443287,nan,0.9569670940645765,222328596,4308624,196231,183253
UKCHLL003,annotation_2_vs_clip_unet,annotation_2.nii.gz,clip_unet,1,pancreas,0.7267249554213533,0.5558234042318523,0.7265937624313157,80084,226876391,41923,18306
UKCHLL003,annotation_2_vs_clip_unet,annotation_2.nii.gz,clip_unet,2,kidney,0.9367999452279885,0.7915793252280532,0.9365962649127114,684145,226240249,18811,73499
UKCHLL003,annotation_2_vs_clip_unet,annotation_2.nii.gz,clip_unet,3,liver,0.967427879768745,0.7455966294726629,0.9668944611622476,3538723,223239692,128191,110098
UKCHLL003,annotation_3_vs_clip_unet,annotation_3.nii.gz,clip_unet,0,background,0.9991509838480103,nan,0.9572947408236133,222314514,4324372,180483,197335
UKCHLL003,annotation_3_vs_clip_unet,annotation_3.nii.gz,clip_unet,1,pancreas,0.723433111417588,0.555487546159251,0.7233013914024621,78945,226877398,40916,19445
UKCHLL003,annotation_3_vs_clip_unet,annotation_3.nii.gz,clip_unet,2,kidney,0.9379796635242594,0.8085372814470774,0.9377782640182283,689862,226235613,23447,67782
UKCHLL003,annotation_3_vs_clip_unet,annotation_3.nii.gz,clip_unet,3,liver,0.9676155913341015,0.7530358355349192,0.9670836660489841,3549871,223229217,138666,98950
UKCHLL005,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.9997171802546598,nan,0.9761943471578188,238239867,2797817,83459,51337
UKCHLL005,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.8886895615752405,0.8107398017224625,0.8886008483469953,170907,240958760,14408,28405
UKCHLL005,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.9636767158064037,0.9830747020357314,0.9636193157499198,366692,240778145,14358,13285
