case,fleiss_kappa,foreground_fleiss_kappa
UKCHLL003,0.9333149439457827,0.7116702492421899
UKCHLL005,0.7576329393529623,0.34190289249744554
UKCHLL007,0.8255983625584408,0.4783005754196989
UKCHLL008,0.7752554592027988,0.35065185677606275
UKCHLL010,0.9025996037291688,0.6074807678287593
UKCHLL013,0.7962522689630472,0.39207568776449475
UKCHLL018,0.8999988803837585,0.6500763811471544
UKCHLL020,0.8537031696241557,0.5150473708258209
UKCHLL025,0.8531753119708302,0.4864259029118316
UKCHLL026,0.9181329248481555,0.6527891837526322
UKCHLL027,0.8552666901158906,0.5074641686187749
UKCHLL028,0.8287929985377412,0.46512039852008974
UKCHLL030,0.874761376556581,0.5291280014524674
UKCHLL032,0.8748568735207751,0.5632641270315405
UKCHLL052,0.8864681574406106,0.5244705371925831
UKCHLL053,0.8787395502249106,0.5748969004200066
UKCHLL054,0.8234850337184797,0.48393804098797094
UKCHLL055,0.8512606961406903,0.5453388215042511
UKCHLL057,0.8552631945252964,0.5380008103225488
UKCHLL062,0.8792230770239994,0.6103027111834619
UKCHLL064,0.861210231889898,0.5630823157249177
UKCHLL066,0.7663381460672019,0.3899083446734684
UKCHLL067,0.8405799697451681,0.4850284200261895
UKCHLL069,0.828092835586415,0.23206638367569582
UKCHLL070,0.8089752705554485,0.43395731657458864
UKCHLL071,0.827910409026612,0.4935663013849784
UKCHLL073,0.8585438683611716,0.5010601856933998
UKCHLL075,0.8366067004936119,0.4862233259617474
UKCHLL076,0.9289472274373178,0.6637039396141925
UKCHLL077,0.8546975819404662,0.5687666577842144
UKCHLL078,0.8715194276943131,0.5475317039965124
UKCHLL080,0.77621303537336,0.34802749494271223
UKCHLL081,0.8249605413385016,0.4794492796836667
UKCHLL082,0.5055447511310831,0.02169981839034901
UKCHLL083,0.8914484300484874,0.6243168587166268
UKCHLL084,0.9076922693652133,0.6773871912587722
UKCHLL086,0.8387119306021349,0.49261300966480925
UKCHLL087,0.8988967187955613,0.6064064326117006
UKCHLL089,0.8608211578340454,0.5746651666646377
UKCHLL090,0.8323097885113939,0.5006940667818293
UKCHLL091,0.8307064889021626,0.4546912046260141
UKCHLL092,0.8217355462884263,0.4686497597764072
UKCHLL093,0.8023336848214059,0.49366371057756103
UKCHLL094,0.887987047375364,0.6396115753041196
UKCHLL095,0.85649499260529,0.49894667155523376
UKCHLL096,0.8490347806535314,0.562721853071541
UKCHLL097,0.814383578132071,0.4497922359741007
UKCHLL098,0.9034225859916414,0.6402941105500596
UKCHLL099,0.9021846880197038,0.598893470020068
UKCHLL100,0.823677152583817,0.43266037075099384
UKCHLL101,0.857795147895197,0.5134527334610298
UKCHLL102,0.8580993100686546,0.565628274819859
UKCHLL103,0.7810515569885782,0.3806371556440469
UKCHLL104,0.8267505965574147,0.4760834522740864
UKCHLL105,0.7714728064110828,0.3565328348150889
UKCHLL106,0.87396598957894,0.5363755358476834
UKCHLL107,0.8766716632751906,0.5516257846204623
UKCHLL108,0.8389511223893209,0.4651396677978064
UKCHLL109,0.839050762043523,0.49397113648160357
UKCHLL110,0.8240423349017144,0.4808968482065548
UKCHLL111,0.7800102567991756,0.3984540936445904
UKCHLL112,0.8190033780566075,0.3767021933937562
UKCHLL113,0.850441496954149,0.5261190873644693
UKCHLL114,0.8981744476725563,0.5360172253160875
UKCHLL115,0.9590707400350734,0.822274918140796
