pair,label,class,mean_case_dsc,mean_case_nsd,mean_case_binary_kappa,micro_dsc,micro_binary_kappa,tp,tn,fp,fn,cases_with_dsc,cases_with_nsd,cases_with_binary_kappa
annotation_1_vs_annotation_2,0,background,0.9996365893078024,nan,0.974645441706813,0.9996438864549451,0.9993211781982907,15787782318,224259046,7234443,4014049,65,0,65
annotation_1_vs_annotation_2,1,pancreas,0.9006812824286575,0.805463909326672,0.9006305782823124,0.9071229755051142,0.9999008126102409,7815274,16013874227,439338,1161017,65,65,65
annotation_1_vs_annotation_2,2,kidney,0.9548098987128975,0.9195397664699774,0.9547186934900223,0.9596323069688376,0.9998205927530861,34522885,15985862506,1051400,1853065,65,65,65
annotation_1_vs_annotation_2,3,liver,0.9815831454138125,0.8884517750375529,0.9813657030204017,0.981730399633665,0.9995892650665421,181907499,15834611909,2536699,4233749,65,65,65
annotation_1_vs_annotation_3,0,background,0.9995484076422981,nan,0.9597970976271318,0.9995604390557326,0.9991619954293303,15787229139,222175715,7787622,6097380,65,0,65
annotation_1_vs_annotation_3,1,pancreas,0.89252876164146,0.8388220768262972,0.8924873024538257,0.9150618042554847,0.999912849991629,7574021,16014309758,680591,725486,65,64,65
annotation_1_vs_annotation_3,2,kidney,0.9503419708273148,0.9061026379801105,0.950248936077427,0.958117363941203,0.9998130509764869,34618836,15985644401,955449,2071170,65,65,65
annotation_1_vs_annotation_3,3,liver,0.9645985002708222,0.8660692309046548,0.9643617785264197,0.9743420368376072,0.9994249381706943,179969754,15833841588,4474444,5004070,65,64,65
annotation_1_vs_segresnet,0,background,0.9965481958664578,nan,0.6859317202916309,0.9965737900766141,0.9934142721374949,15785271682,129478987,9745079,98794108,65,0,65
annotation_1_vs_segresnet,1,pancreas,0.7324117322366883,0.5620877948702445,0.7322983213776944,0.7555726347038026,0.9997710844320999,5707876,16013888990,2546736,1146254,65,65,65
annotation_1_vs_segresnet,2,kidney,0.8896758467437625,0.7470629353932364,0.8894289827741226,0.8889517189795495,0.9995080563052549,31876577,15983449204,3697708,4266367,65,65,65
annotation_1_vs_segresnet,3,liver,0.6280288925246323,0.4089956333411267,0.6254327436939651,0.6537269963475767,0.9940723669301572,91741167,15834359833,92703031,4485825,65,65,65
annotation_2_vs_annotation_3,0,background,0.9996587537655575,nan,0.9667028501005819,0.9996675195458982,0.9993663241569065,15787310725,225477695,4485642,6015794,65,0,65
annotation_2_vs_annotation_3,1,pancreas,0.9012297957839344,0.8594592845616509,0.9011917209360113,0.9231800464441643,0.9999177471261327,7974336,16013988394,1001955,325171,65,64,65
annotation_2_vs_annotation_3,2,kidney,0.9563429857281595,0.9413616862366351,0.9562746931751307,0.9684783977917157,0.999857745047191,35381400,15985605300,994550,1308606,65,65,65
annotation_2_vs_annotation_3,3,liver,0.971259544801911,0.9250766531026512,0.9711058871370143,0.9814062415659582,0.9995813931004031,182107324,15834282108,4033924,2866500,65,64,65
annotation_2_vs_segresnet,0,background,0.9964974434243457,nan,0.6838863939162998,0.9965236861287557,0.9933199261545087,15782873459,130301158,8922908,101192331,65,0,65
annotation_2_vs_segresnet,1,pancreas,0.7297960507554266,0.5717762616244982,0.7296781577738365,0.7527213584528168,0.9997573630951485,5957948,16013417383,3018343,896182,65,65,65
annotation_2_vs_segresnet,2,kidney,0.8823858063509438,0.7393704235503468,0.8821313882902437,0.885357242210561,0.999486481084322,32102564,15982873526,4273386,4040380,65,65,65
annotation_2_vs_segresnet,3,liver,0.6265689403622807,0.39621793784346265,0.6239535938795718,0.6521946944174741,0.9940107494366792,92079534,15833001150,94061714,4147458,65,65,65
annotation_3_vs_segresnet,0,background,0.9964897081995993,nan,0.6756063088119054,0.996515808627068,0.9933038545762085,15783511106,129408653,9815413,100554684,65,0,65
annotation_3_vs_segresnet,1,pancreas,0.7139622542305671,0.5692114146812913,0.7138503252112951,0.7519678609168214,0.9997670188267229,5697524,16013833743,2601983,1156606,65,64,65
annotation_3_vs_segresnet,2,kidney,0.8802453897599151,0.7435895661722887,0.8799932505240691,0.8869075054628434,0.999491241185219,32298045,15982754951,4391961,3844899,65,65,65
annotation_3_vs_segresnet,3,liver,0.6160164247873665,0.3787081509393363,0.6134082345039377,0.6490384864317037,0.9939809624445587,91255076,15833344116,93718748,4971916,65,64,65
