case,fleiss_kappa,foreground_fleiss_kappa
UKCHLL003,0.9369194882673118,0.6880628043676321
UKCHLL005,0.9407668630375808,0.733133803156154
UKCHLL007,0.9019567264661617,0.6434406762656213
UKCHLL008,0.9484221005782534,0.752861866860117
UKCHLL010,0.918721621275311,0.6092646899765931
UKCHLL013,0.9217559951278611,0.6907810274568518
UKCHLL018,0.8762357183578731,0.5990296222234383
UKCHLL020,0.9319250190074482,0.675709828596115
UKCHLL025,0.9238041771779766,0.6951072677495794
UKCHLL026,0.921499623573852,0.6963660516398928
UKCHLL027,0.9319880792441441,0.6725744316943332
UKCHLL028,0.8845948901162072,0.5990730005745016
UKCHLL030,0.8553190149154832,0.5669652494610703
UKCHLL032,0.9329510649302148,0.7218317366467224
UKCHLL052,0.9397649008262164,0.6892589365272278
UKCHLL053,0.9554476930994216,0.7783200810054586
UKCHLL054,0.9162775983755301,0.7054486192988904
UKCHLL055,0.9548142816049889,0.8082397022492526
UKCHLL057,0.9252196643078997,0.6780429017519559
UKCHLL062,0.9061041814960245,0.6427743406918335
UKCHLL064,0.9014985365017789,0.6410683384274726
UKCHLL066,0.9089776709981449,0.6480182954678878
UKCHLL067,0.8581342619188667,0.5704484716111871
UKCHLL069,0.8971120077385423,0.5861579879794045
UKCHLL070,0.9319740738974662,0.7194507257927817
UKCHLL071,0.9414478998769733,0.755213370086738
UKCHLL073,0.9535489591785079,0.7538145983685747
UKCHLL075,0.8582938448098215,0.5654845084282272
UKCHLL076,0.9560637479937651,0.7449987996562014
UKCHLL077,0.9465389243822391,0.791685180103593
UKCHLL078,0.9080093537983547,0.629358030140303
UKCHLL080,0.9271799746370138,0.6832245966297201
UKCHLL081,0.9545090278173085,0.8098284102521047
UKCHLL082,0.6426432319968124,0.07648736811824523
UKCHLL083,0.9158358023503725,0.6476629385175815
UKCHLL084,0.9411704171557961,0.7570070646580703
UKCHLL086,0.9164239312992432,0.6792712331520365
UKCHLL087,0.9317262993870636,0.6643272703762555
UKCHLL089,0.9190946682101566,0.6924855041336686
UKCHLL090,0.9404294437982245,0.7455077682169563
UKCHLL091,0.8977043006359056,0.6410201451381691
UKCHLL092,0.9381469349436508,0.7242378083649943
UKCHLL093,0.8114739368225689,0.534265739285362
UKCHLL094,0.9381452422726007,0.768459856478787
UKCHLL095,0.8789185253893856,0.5498686504476086
UKCHLL096,0.888886443927112,0.6332014379340151
UKCHLL097,0.9517103333726971,0.7793942498207918
UKCHLL098,0.926934256842309,0.6654965760557778
UKCHLL099,0.9268328306107942,0.645584392152132
UKCHLL100,0.9594696786594494,0.7922641738502505
UKCHLL101,0.9258772448355457,0.6565342827395559
UKCHLL102,0.9176047895140693,0.6791120506961708
UKCHLL103,0.9329511451547554,0.7222647630034494
UKCHLL104,0.9538152478023102,0.7832103859727032
UKCHLL105,0.9495336268001066,0.7549195413080048
UKCHLL106,0.9502472378923803,0.7480258930789516
UKCHLL107,0.8750486836442584,0.6310850374942154
UKCHLL108,0.9156375018047568,0.7117997067202133
UKCHLL109,0.9014054167060513,0.6466488954156956
UKCHLL110,0.8868563045490758,0.6226369817326327
UKCHLL111,0.9213405251378932,0.6755571504188311
UKCHLL112,0.6965928584630026,0.24800671230112883
UKCHLL113,0.9317193894790626,0.7034574421633484
UKCHLL114,0.8659758310887302,0.40504703812577164
UKCHLL115,0.9446974592668083,0.7540667745159404
