case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
UKCHLL003,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.9995643735166433,nan,0.9777645263490572,222472156,4350634,141243,52671
UKCHLL003,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.9167619007158485,0.8424122452638433,0.9167187831733269,107896,226889215,5482,14111
UKCHLL003,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.969008892713712,0.9442554869064276,0.9689134280172997,675593,226297897,15851,27363
UKCHLL003,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,3,liver,0.9819444140492254,0.8835434924417508,0.9816508183349314,3567108,223318415,31375,99806
UKCHLL003,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,0,background,0.999512240160035,nan,0.975186758190069,222445645,4353953,167754,49352
UKCHLL003,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,1,pancreas,0.9154901195769146,0.8475222864235614,0.9154467177340755,106764,226890229,6614,13097
UKCHLL003,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,2,kidney,0.9629749856380445,0.9186922757679351,0.962860104797772,676371,226288322,15073,36938
UKCHLL003,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,3,liver,0.9800283243355995,0.8684144793591818,0.9797026106534124,3570743,223300427,27740,117794
UKCHLL003,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,0,background,0.9980201653652712,nan,0.890289499564843,222479040,3654973,134359,748332
UKCHLL003,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,1,pancreas,0.4340015308026593,0.3255423641731042,0.4338415979334885,34305,226892922,79073,10404
UKCHLL003,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,2,kidney,0.3025748682575725,0.27805655858736456,0.30192164981107067,123592,226323361,567852,1899
UKCHLL003,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,3,liver,0.9689106443056328,0.7687080548572282,0.9684084482390622,3496612,223295701,101871,122520
UKCHLL003,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,0,background,0.9997799333991018,nan,0.9889147794453793,222460945,4457825,63882,34052
UKCHLL003,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,1,pancreas,0.971447235682273,0.9751046886597318,0.971432018439414,117481,226892317,4526,2380
UKCHLL003,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,2,kidney,0.9817174045817697,0.9827785543052526,0.9816602003586856,695186,226295625,7770,18123
UKCHLL003,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,3,liver,0.9911348739866529,0.9733477064205829,0.9909888931380774,3645122,223306375,21792,43415
UKCHLL003,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,0,background,0.9979741546939626,nan,0.8889439357255682,222424587,3689092,100240,802785
UKCHLL003,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,1,pancreas,0.4301086878284028,0.30511729940255855,0.4299443672911697,35853,226885841,86154,8856
UKCHLL003,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,2,kidney,0.2968228504659924,0.2779936774764758,0.29616258204621343,122951,226311208,580005,2540
UKCHLL003,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,3,liver,0.9689233364708375,0.7793674384114291,0.9684165263082776,3529810,223260468,137104,89322
UKCHLL003,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,0,background,0.9979664942505948,nan,0.8889253340503805,222407995,3702330,87002,819377
UKCHLL003,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,1,pancreas,0.43399161451054263,0.32348922223228604,0.4338291936387723,35711,226887845,84150,8998
UKCHLL003,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,2,kidney,0.29412732474964237,0.266780386970625,0.2934630635055012,123357,226301261,589952,2134
UKCHLL003,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,3,liver,0.9696071346417031,0.7904035297509562,0.9691100049296465,3542784,223251819,145753,76348
UKCHLL005,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.9997171802546598,nan,0.9761943471578188,238239867,2797817,83459,51337
UKCHLL005,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.8886895615752405,0.8107398017224625,0.8886008483469953,170907,240958760,14408,28405
UKCHLL005,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.9636767158064037,0.9830747020357314,0.9636193157499198,366692,240778145,14358,13285
