pair,label,class,mean_case_dsc,mean_case_nsd,mean_case_binary_kappa,micro_dsc,micro_binary_kappa,tp,tn,fp,fn,cases_with_dsc,cases_with_nsd,cases_with_binary_kappa
annotation_1_vs_annotation_2,0,background,0.9996365893078024,nan,0.974645441706813,0.9996438864549451,0.9993211781982907,15787782318,224259046,7234443,4014049,65,0,65
annotation_1_vs_annotation_2,1,pancreas,0.9006812824286575,0.805463909326672,0.9006305782823124,0.9071229755051142,0.9999008126102409,7815274,16013874227,439338,1161017,65,65,65
annotation_1_vs_annotation_2,2,kidney,0.9548098987128975,0.9195397664699774,0.9547186934900223,0.9596323069688376,0.9998205927530861,34522885,15985862506,1051400,1853065,65,65,65
annotation_1_vs_annotation_2,3,liver,0.9815831454138125,0.8884517750375529,0.9813657030204017,0.981730399633665,0.9995892650665421,181907499,15834611909,2536699,4233749,65,65,65
annotation_1_vs_annotation_3,0,background,0.9995484076422981,nan,0.9597970976271318,0.9995604390557326,0.9991619954293303,15787229139,222175715,7787622,6097380,65,0,65
annotation_1_vs_annotation_3,1,pancreas,0.89252876164146,0.8388220768262972,0.8924873024538257,0.9150618042554847,0.999912849991629,7574021,16014309758,680591,725486,65,64,65
annotation_1_vs_annotation_3,2,kidney,0.9503419708273148,0.9061026379801105,0.950248936077427,0.958117363941203,0.9998130509764869,34618836,15985644401,955449,2071170,65,65,65
annotation_1_vs_annotation_3,3,liver,0.9645985002708222,0.8660692309046548,0.9643617785264197,0.9743420368376072,0.9994249381706943,179969754,15833841588,4474444,5004070,65,64,65
annotation_1_vs_swin5050,0,background,0.9978917186702104,nan,0.8548888502643827,0.997901266057155,0.9959910659470076,15771762959,185186197,23253802,43086898,65,0,65
annotation_1_vs_swin5050,1,pancreas,0.30527018871074113,0.21891143554477716,0.3051149673957161,0.309031633926959,0.9995319526709207,1688087,16014052932,6566525,982312,65,65,65
annotation_1_vs_swin5050,2,kidney,0.5146460666474523,0.4419772040835913,0.514243594756283,0.5359391501026752,0.9985737728385917,13314671,15986917278,22259614,798293,65,65,65
annotation_1_vs_swin5050,3,liver,0.9138300292158709,0.6817326402521752,0.9127222461111604,0.903674395999877,0.9978029075702574,169936347,15817125369,14507851,21720289,65,65,65
annotation_2_vs_annotation_3,0,background,0.9996587537655575,nan,0.9667028501005819,0.9996675195458982,0.9993663241569065,15787310725,225477695,4485642,6015794,65,0,65
annotation_2_vs_annotation_3,1,pancreas,0.9012297957839344,0.8594592845616509,0.9011917209360113,0.9231800464441643,0.9999177471261327,7974336,16013988394,1001955,325171,65,64,65
annotation_2_vs_annotation_3,2,kidney,0.9563429857281595,0.9413616862366351,0.9562746931751307,0.9684783977917157,0.999857745047191,35381400,15985605300,994550,1308606,65,65,65
annotation_2_vs_annotation_3,3,liver,0.971259544801911,0.9250766531026512,0.9711058871370143,0.9814062415659582,0.9995813931004031,182107324,15834282108,4033924,2866500,65,64,65
annotation_2_vs_swin5050,0,background,0.9978461557048827,nan,0.8522326125976843,0.9978559745466273,0.9959057448425832,15769440385,186084017,22355982,45409472,65,0,65
annotation_2_vs_swin5050,1,pancreas,0.29682669816496055,0.20630571974285003,0.2966662240899883,0.29877793604878294,0.9994936528310635,1739887,16013383053,7236404,930512,65,65,65
annotation_2_vs_swin5050,2,kidney,0.5032813989785602,0.41929530155718236,0.5028681627469583,0.5276150720928559,0.9985248391263807,13319356,15986120298,23056594,793608,65,65,65
annotation_2_vs_swin5050,3,liver,0.9137847885834671,0.6831733756342528,0.9126758185816004,0.9040337451969424,0.9978014480509009,170771018,15816262990,15370230,20885618,65,65,65
annotation_3_vs_swin5050,0,background,0.9977602870772945,nan,0.8375537794835939,0.9977757269776126,0.9957519150370261,15768935581,184049061,24390938,45914276,65,0,65
annotation_3_vs_swin5050,1,pancreas,0.2873431294174953,0.20929816327026174,0.28718834442514996,0.29863355255733276,0.999522958230836,1637991,16013957941,6661516,1032408,65,64,65
annotation_3_vs_swin5050,2,kidney,0.49676895483559447,0.4066956805827956,0.49634958958259934,0.5210650873364293,0.9984951108839547,13235827,15985722713,23454179,877137,65,65,65
annotation_3_vs_swin5050,3,liver,0.8975274606979591,0.6760207968292951,0.8964066488426129,0.8970238201126909,0.997647980639653,168923247,15815582643,16050577,22733389,65,64,65
