case,pair,multiclass_kappa,exact_agreement,foreground_multiclass_kappa,foreground_exact_agreement
s0001,combined_mask_vs_clip_unet,0.9122544702994183,0.9923532908980844,0.998014630397965,0.8440465865951041
s0004,combined_mask_vs_clip_unet,0.922735148153739,0.995870267983927,1.0,0.8596537461775009
s0006,combined_mask_vs_clip_unet,0.9302555229474083,0.9950981554177492,0.9978343064045582,0.8729165332957761
s0009,combined_mask_vs_clip_unet,0.9391143770259098,0.9924917502772174,0.9994423822955696,0.8903646892923033
s0010,combined_mask_vs_clip_unet,0.9451707416959828,0.9965822132759388,1.0,0.8986828441821063
s0011,combined_mask_vs_clip_unet,0.9266282653663089,0.9974494534246624,0.9994673166028873,0.8651826153994411
s0012,combined_mask_vs_clip_unet,0.9236808925913853,0.9901036276579598,0.9941589368551355,0.8659910162410218
s0013,combined_mask_vs_clip_unet,0.9189110938033245,0.9940964461894695,0.9999276424349492,0.8541542309769478
s0014,combined_mask_vs_clip_unet,0.7740875220247015,0.9877573951795185,0.9994629338491383,0.6377025244415417
s0015,combined_mask_vs_clip_unet,0.9244586232981159,0.9953064900053014,0.9998511331932556,0.8630471705663413
s0016,combined_mask_vs_clip_unet,0.9589688934959738,0.9979126159490197,1.0,0.9227273580478649
s0019,combined_mask_vs_clip_unet,0.9382608063768438,0.9963898800736704,1.0,0.8864967457750433
s0022,combined_mask_vs_clip_unet,0.8570792770757211,0.9951713645504165,0.9998753726566161,0.7527646966070541
s0024,combined_mask_vs_clip_unet,0.8725190890457751,0.9946437957825737,1.0,0.777537070929668
s0028,combined_mask_vs_clip_unet,0.9184847423873181,0.9976573355082902,1.0,0.8509561111823556
s0029,combined_mask_vs_clip_unet,0.9072911144884904,0.9972166929963139,0.9953681754961364,0.8321258762136771
s0030,combined_mask_vs_clip_unet,0.9584000680301004,0.9980282135838412,0.9993853632561368,0.9217191590721882
s0031,combined_mask_vs_clip_unet,0.9533616958589579,0.9976929787395282,0.9998269139211928,0.9126102586184399
s0032,combined_mask_vs_clip_unet,0.6196842239290811,0.983630082345813,0.9524791847466513,0.4568132279442524
s0034,combined_mask_vs_clip_unet,0.7081069804732564,0.9941799888194042,0.9972013333966234,0.5503334071999839
s0037,combined_mask_vs_clip_unet,0.41366943342808365,0.9624128317784805,0.8982267898221445,0.2747080544464912
s0038,combined_mask_vs_clip_unet,0.9241577433860916,0.995569944944945,0.9999017146122996,0.8622378007853412
s0039,combined_mask_vs_clip_unet,0.9710118321321993,0.9967644136866008,0.9996524394301332,0.9465557659363448
s0040,combined_mask_vs_clip_unet,0.9165985412721182,0.9975328114866521,0.9992661393567529,0.8477760105778167
s0042,combined_mask_vs_clip_unet,0.9359471913619132,0.9961135029499345,0.9999623502369308,0.8825742552071079
s0045,combined_mask_vs_clip_unet,0.9296583339788079,0.9952915356531349,1.0,0.8721167552965873
s0046,combined_mask_vs_clip_unet,0.9622503713276234,0.998109029861445,1.0,0.9287827893914672
s0048,combined_mask_vs_clip_unet,0.9561964203150346,0.9922248756086528,0.9996102027697275,0.9223243226180527
s0049,combined_mask_vs_clip_unet,0.917906023767073,0.9952862068011226,0.9996496819611085,0.8517500074299778
s0050,combined_mask_vs_clip_unet,0.9200658724908033,0.9952077469578118,0.9993571496953734,0.8554916329641167
s0052,combined_mask_vs_clip_unet,0.9294541752358064,0.995646438443444,1.0,0.8713708683981898
s0053,combined_mask_vs_clip_unet,0.9633580006232915,0.9984203596399608,0.9996471932211392,0.9305601862513592
s0054,combined_mask_vs_clip_unet,0.9215807120827723,0.9962746745677119,0.999303001232639,0.8573784227222853
s0057,combined_mask_vs_clip_unet,0.9653917461528575,0.9974058977162632,1.0,0.93518963717458
s0058,combined_mask_vs_clip_unet,0.9453041334796026,0.9969545723858593,0.9997883464455546,0.8986826847042496
s0059,combined_mask_vs_clip_unet,0.901379359856575,0.9952835113537584,0.9998886986815441,0.8237330544985113
s0065,combined_mask_vs_clip_unet,0.8953459936844359,0.9941131730098094,1.0,0.8146455237258371
s0066,combined_mask_vs_clip_unet,0.8941457378339602,0.9902510695947297,0.9976212212189871,0.8154062136567536
s0068,combined_mask_vs_clip_unet,0.8007248643990313,0.9792938542938543,0.9983310317324425,0.6783963363287153
s0069,combined_mask_vs_clip_unet,0.9722206311318782,0.9974818597151304,1.0,0.9480139583468848
s0070,combined_mask_vs_clip_unet,0.9712802540349942,0.998056067815647,0.9954362965032216,0.9457119543908358
s0071,combined_mask_vs_clip_unet,0.968121119152206,0.9987751112990532,0.9993135665825273,0.9392024783511286
s0072,combined_mask_vs_clip_unet,0.9241334101130926,0.9961260501008857,0.999608356659673,0.8617390204182265
s0073,combined_mask_vs_clip_unet,0.9392468086518198,0.9962734329084166,1.0,0.8882282529410664
s0075,combined_mask_vs_clip_unet,0.9236918703452212,0.9962032531693871,1.0,0.860900987992712
s0076,combined_mask_vs_clip_unet,0.7545165032341722,0.9887844892709232,1.0,0.6117800235409182
s0077,combined_mask_vs_clip_unet,0.9266491930613525,0.9957808648257458,0.9999172355659092,0.8664046905070939
s0078,combined_mask_vs_clip_unet,0.7339434929143328,0.9826755209260607,1.0,0.5884249339050617
s0080,combined_mask_vs_clip_unet,0.9782094040209848,0.9988124959091886,0.9999852337225791,0.958379318820394
s0082,combined_mask_vs_clip_unet,0.8988280884905895,0.9932898777169815,0.9990409615645643,0.8209979658311125
