case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
s0001,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9960119856815517,nan,0.9118306777496883,9482060,412964,12254,63678
s0001,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8275788394154345,0.41869734352803495,0.8271842843787449,19367,9943519,7897,173
s0001,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9505279777162787,0.7555379292501311,0.950112214938418,79169,9883546,8119,122
s0001,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.912492356316914,0.5904327957071388,0.9093719155465316,314115,9596594,47975,12272
s0004,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9978770491132809,nan,0.9224132383871645,19275031,502355,14450,67564
s0004,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.847169294902836,0.4840789353152255,0.8469875711350051,20119,19832022,5595,1664
s0004,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.8795013554763379,0.4738791572839702,0.8790796669047348,61803,19780662,16910,25
s0004,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9356616215229792,0.6154635122184922,0.9341741557251361,420433,19381147,45059,12761
s0006,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9974747091760192,nan,0.9301274959332355,9733837,341229,5807,43479
s0006,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8598946576373213,0.5410302207635934,0.8594389588348947,28570,10086472,8309,1001
s0006,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9346176083453273,0.6851855067134536,0.9340906123642734,75976,10037746,10565,65
s0006,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9402640080204968,0.7045274812435209,0.9387456279126768,236341,9857981,24947,5083
s0009,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9959954027942391,nan,0.9381471551140126,2440372,159789,3910,15714
s0009,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.7020482064048885,0.4002338089577009,0.7010782218256896,6204,2608315,4356,910
s0009,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.952808706440316,0.7846112939776424,0.9516351855916657,60672,2553103,5660,350
s0009,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9565338304819389,0.8169628120750432,0.9548614463252717,92867,2518478,5744,2696
s0010,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9982345693379606,nan,0.9448742466540822,18343528,575512,15072,49811
s0010,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.899566722450196,0.5906677632268665,0.8994522978757482,19620,18959922,4313,68
s0010,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9405460184872401,0.7385510062041665,0.9402395357120478,91881,18880426,11482,134
s0010,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9499584403034882,0.6560149374828236,0.9486373944032058,464011,18471026,34016,14870
s0011,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9987031639556598,nan,0.9265049442300995,40898099,682438,20056,86158
s0011,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8686802850074807,0.5193069957040757,0.8685747623542655,29321,41648565,7522,1343
