case,pair,multiclass_kappa,exact_agreement,foreground_multiclass_kappa,foreground_exact_agreement
s0001,combined_mask_vs_segresnet,0.9642575593509068,0.9970865381413778,0.999799223496693,0.9332523017041917
s0004,combined_mask_vs_segresnet,0.8971524414583665,0.9949914398219483,1.0,0.8170412281250344
s0006,combined_mask_vs_segresnet,0.9694058178455675,0.997945448755634,0.9993202060111479,0.9421463238259467
s0009,combined_mask_vs_segresnet,0.9529907949789903,0.9942762478600343,1.0,0.9142515668603322
s0010,combined_mask_vs_segresnet,0.9598261379984553,0.9975866421287107,1.0,0.924665958517359
s0011,combined_mask_vs_segresnet,0.9651983364590121,0.998848794908483,0.9997590255195545,0.9336587496768646
s0012,combined_mask_vs_segresnet,0.9484487388824742,0.9934953291661492,0.9959329527656239,0.9073571838470549
s0013,combined_mask_vs_segresnet,0.9626045191448039,0.9974058025505581,1.0,0.9298885448641349
s0014,combined_mask_vs_segresnet,0.9213262264232458,0.9964445519515449,0.9990712528322035,0.856653383903852
s0015,combined_mask_vs_segresnet,0.9276426805310029,0.9958604643036029,1.0,0.8681934429340326
s0016,combined_mask_vs_segresnet,0.9569436148563775,0.9978535443037846,1.0,0.919036671805131
s0019,combined_mask_vs_segresnet,0.9612621806546394,0.9978237058354174,1.0,0.927177879824396
s0022,combined_mask_vs_segresnet,0.9650169237319631,0.9989494053432921,0.9999414405795752,0.9331996761834065
s0024,combined_mask_vs_segresnet,0.9666943299356848,0.9987323929799592,1.0,0.936569762136608
s0028,combined_mask_vs_segresnet,0.9400743284574595,0.9984060580977842,1.0,0.8881283997848048
s0029,combined_mask_vs_segresnet,0.8911060205125009,0.9970556872037915,0.9978204808155547,0.805483174055378
s0030,combined_mask_vs_segresnet,0.9670416079610912,0.9984695453803434,0.9998853495351018,0.9374511368653868
s0031,combined_mask_vs_segresnet,0.964915567868367,0.9983065596753747,1.0,0.9335082596912527
s0032,combined_mask_vs_segresnet,0.5469141886092836,0.9829529038671971,1.0,0.3829608382682925
s0034,combined_mask_vs_segresnet,0.9297466072484128,0.998937888095109,1.0,0.8694097010721467
s0037,combined_mask_vs_segresnet,0.9330108127049762,0.9968822068728382,0.9944149055408186,0.8770742618381239
s0038,combined_mask_vs_segresnet,0.9631964116745985,0.9979617638471805,1.0,0.9306107742769109
s0039,combined_mask_vs_segresnet,0.9686249344526419,0.9964919798250071,0.9999889273334829,0.9422990199179286
s0040,combined_mask_vs_segresnet,0.9723558093897176,0.9992387807465553,0.9999214463859177,0.946800439899082
s0042,combined_mask_vs_segresnet,0.9666504163165417,0.9980604226694405,1.0,0.9370278200168796
s0045,combined_mask_vs_segresnet,0.9667144891070016,0.9978677727595476,1.0,0.9373087941630339
s0046,combined_mask_vs_segresnet,0.9706732736865531,0.9985445078256368,1.0,0.9442263970677133
s0048,combined_mask_vs_segresnet,0.9433465860463022,0.9901837266849374,0.9997932866455403,0.9004774814874762
s0049,combined_mask_vs_segresnet,0.9080663785847771,0.9949479033895815,0.9992295352956525,0.835271073288827
s0050,combined_mask_vs_segresnet,0.9668779167151952,0.9981175835466735,0.999669730147628,0.937393947157389
s0052,combined_mask_vs_segresnet,0.8586220395225762,0.9923787162967637,1.0,0.7569597886652496
s0053,combined_mask_vs_segresnet,0.9755779766358826,0.9989658720846556,0.9999960094468298,0.953166626337502
s0054,combined_mask_vs_segresnet,0.9640319287471818,0.9983942062155828,0.9998747780803178,0.9318743840566486
s0057,combined_mask_vs_segresnet,0.8896853390751115,0.9923156279959707,1.0,0.8065787817318739
s0058,combined_mask_vs_segresnet,0.9288093746466208,0.9962771254240107,0.9999952718463252,0.8699114840674954
s0059,combined_mask_vs_segresnet,0.9293115404528316,0.9967533731562268,0.9999812110371386,0.8703795303860165
s0065,combined_mask_vs_segresnet,0.9623750026155056,0.9980506016283107,1.0,0.9290301184841268
s0066,combined_mask_vs_segresnet,0.9614231858055579,0.9967268997371201,0.9998530793583129,0.9283301696113617
s0068,combined_mask_vs_segresnet,0.8836462579174142,0.9895720999735599,0.9981306198744508,0.7979449837023392
s0069,combined_mask_vs_segresnet,0.9349111693428529,0.9943091864441335,1.0,0.882106641376424
s0070,combined_mask_vs_segresnet,0.9739609435125742,0.998252370942078,0.9991956880889253,0.9506719813498177
s0071,combined_mask_vs_segresnet,0.9679768280575705,0.9987854631120537,0.9998202120333408,0.9389305699877022
s0072,combined_mask_vs_segresnet,0.8651367594318248,0.9940169405035394,0.9997190293450134,0.7660475134351276
s0073,combined_mask_vs_segresnet,0.9589400404592331,0.9975868138103916,1.0,0.9229873711945425
s0075,combined_mask_vs_segresnet,0.9523233913583987,0.9976821424875235,1.0,0.9107128455848675
s0076,combined_mask_vs_segresnet,0.9601244837729169,0.9986084284770141,1.0,0.9244011921681045
s0077,combined_mask_vs_segresnet,0.9492937212823739,0.99725936856865,0.999928145551326,0.9055585862915482
s0078,combined_mask_vs_segresnet,0.9495342997501287,0.9974156534840048,1.0,0.9058163786895705
s0080,combined_mask_vs_segresnet,0.9697844223244675,0.9983667464386337,0.9999924638046277,0.9427390079560849
s0082,combined_mask_vs_segresnet,0.9695207165620912,0.9981294378118156,0.9999461941355371,0.9423527771322333
