case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
s0001,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,0,background,0.9984807195250341,nan,0.963992897273694,9535735,406202,19016,10003
s0001,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,1,pancreas,0.8950937567874122,0.6667439225914997,0.8948760280119296,18545,9948064,3352,995
s0001,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,2,kidney,0.9670149965621264,0.844007345315617,0.9667458765847377,78056,9887575,4090,1235
s0001,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,3,liver,0.969604525259612,0.7232637479123458,0.9685995682748496,309570,9641977,2592,16817
s0004,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,0,background,0.9974318472066436,nan,0.8967470083162337,19315742,444191,72614,26853
s0004,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,1,pancreas,0.8841359580410054,0.5966043071568925,0.8840073523188606,19470,19834827,2790,2313
s0004,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,2,kidney,0.919698347169024,0.6524430241879444,0.9194278045201751,61709,19786915,10657,119
s0004,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,3,liver,0.8967554828732776,0.6220237332403892,0.8946179821942831,363012,19412800,13406,70182
s0006,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,0,background,0.9989413978601874,nan,0.9693077373840896,9764807,338849,8187,12509
s0006,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,1,pancreas,0.9093743190922348,0.6780755466254716,0.9091065210094148,27128,10091817,2964,2443
s0006,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,2,kidney,0.9602329707629407,0.8346936834285263,0.9599252593562259,74685,10043481,4830,1356
s0006,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,3,liver,0.9807254100481192,0.8620519178728098,0.980254236439249,236931,9878108,4820,4493
s0009,combined_mask_vs_segresnet,combined_mask.nii.gz,segresnet,0,background,0.996942803825053,nan,0.9521496219941961,2444913,159877,3822,11173
