case,pair,multiclass_kappa,exact_agreement,foreground_multiclass_kappa,foreground_exact_agreement
s0001,combined_mask_vs_swin5050,0.9534322146404012,0.9962550230890599,0.9915368165551623,0.9138132794161433
s0004,combined_mask_vs_swin5050,0.698503712790621,0.9840976061713849,1.0,0.5450961412424251
s0006,combined_mask_vs_swin5050,0.7908141680090895,0.9873577094119209,0.34730904599427687,0.6548139158576052
s0009,combined_mask_vs_swin5050,0.8226667737766022,0.9806873464807226,0.851348651910108,0.7039687322641609
s0010,combined_mask_vs_swin5050,0.9722568743261677,0.9983420181381899,1.0,0.9473811792634201
s0011,combined_mask_vs_swin5050,0.9614694222415773,0.9987214163080256,0.9991404020779633,0.9268189875207838
s0012,combined_mask_vs_swin5050,0.953843625617362,0.994116911132269,0.9900934550578,0.9167183218910501
s0013,combined_mask_vs_swin5050,0.9772543579711205,0.998450105502787,0.9999936692683765,0.956752852146993
s0014,combined_mask_vs_swin5050,0.4936409969961256,0.9627134229406956,0.9853744229265154,0.3396829748348095
s0015,combined_mask_vs_swin5050,0.7983399082434534,0.9869421553311425,0.9933426378257283,0.6722756920984979
s0016,combined_mask_vs_swin5050,0.6852004006608398,0.9878613600148546,0.9864190742882011,0.5267881145531887
s0019,combined_mask_vs_swin5050,0.6689436069545895,0.9857407230311143,0.8869834634815948,0.5091562405298931
s0022,combined_mask_vs_swin5050,0.9031071368072862,0.9972634530307383,1.0,0.8252760829819016
s0024,combined_mask_vs_swin5050,0.9322856549376975,0.9974828717923815,0.9998973433924874,0.875134606638818
s0028,combined_mask_vs_swin5050,0.9751014989485717,0.9993298318186177,1.0,0.9519592001204785
s0029,combined_mask_vs_swin5050,0.9630130757973363,0.9989360716166403,0.996853553569175,0.9294580166264564
s0030,combined_mask_vs_swin5050,0.9704514387504855,0.9986339793039242,0.9993788336623485,0.9437538260621149
s0031,combined_mask_vs_swin5050,0.8496287647927961,0.9934834259948192,0.9716555634254731,0.7427167713583857
s0032,combined_mask_vs_swin5050,-1.4275833062374327e-05,0.9726574022887571,nan,0.0
s0034,combined_mask_vs_swin5050,0.8668614559748332,0.9981265350225013,0.9931548846795404,0.765910508335738
s0037,combined_mask_vs_swin5050,0.0031262198800463157,0.9750462798542227,0.0,0.0012793545598616914
s0038,combined_mask_vs_swin5050,0.9127799422236137,0.9949126730897564,0.9999940106224835,0.8432541403627134
s0039,combined_mask_vs_swin5050,0.9774696608065004,0.9974978512957728,0.9991375430005117,0.9582168893345239
s0040,combined_mask_vs_swin5050,0.9732975480780997,0.9992618097467424,0.9995255380401868,0.9485688712394517
s0042,combined_mask_vs_swin5050,0.9422308700872919,0.9967408322115795,0.9989082664179633,0.8933640864987376
s0045,combined_mask_vs_swin5050,0.9170854465686152,0.994991140012785,0.9960265050138464,0.8507201433898485
s0046,combined_mask_vs_swin5050,0.8888274803084574,0.9948200515632382,0.9965577828608162,0.8038111004567141
s0048,combined_mask_vs_swin5050,0.9458663756221387,0.9905412686587021,0.9812319314754764,0.9047022258710385
s0049,combined_mask_vs_swin5050,0.7201538308868638,0.9848279604754697,0.4138893039286886,0.5712499968208996
s0050,combined_mask_vs_swin5050,0.9695405186858398,0.9982592475462582,0.9985259002292085,0.9422911765477554
s0052,combined_mask_vs_swin5050,0.8547433251667463,0.9924058718824702,1.0,0.7514726396920608
s0053,combined_mask_vs_swin5050,0.9478618044208615,0.9978361426572644,0.9888547306181219,0.9024836585953145
s0054,combined_mask_vs_swin5050,0.9631027942776672,0.9983619967765825,0.999893212075598,0.9301921080553385
s0057,combined_mask_vs_swin5050,0.9704845437087211,0.9978392926508475,1.0,0.9444603553261496
s0058,combined_mask_vs_swin5050,0.8568817954881411,0.9920372956173146,0.9997056536269515,0.7552219856486595
s0059,combined_mask_vs_swin5050,0.6892477789904874,0.9831168758177437,0.9982162058475279,0.534542916957432
s0065,combined_mask_vs_swin5050,0.41939210121310444,0.9804615875564122,0.7995631370769862,0.2685307617543245
s0066,combined_mask_vs_swin5050,0.8612801659290685,0.989142604441231,0.786147530842633,0.7626409882605694
s0068,combined_mask_vs_swin5050,0.4865808447532483,0.9668476630155463,0.7422045583432654,0.3291276216813328
s0069,combined_mask_vs_swin5050,0.8991055033597014,0.9914900518029081,0.9979509906136579,0.8231273125097508
s0070,combined_mask_vs_swin5050,0.9592514990980433,0.997259661478294,0.9937486543488553,0.9238492414976028
s0071,combined_mask_vs_swin5050,0.9771615019666164,0.9991409132771367,0.99911504995893,0.9560626247229188
s0072,combined_mask_vs_swin5050,0.9644188274757594,0.9983043771420822,0.9998730717463608,0.932618016449519
s0073,combined_mask_vs_swin5050,0.819536748972119,0.9906750704253896,0.3045375337695239,0.6997799629791728
s0075,combined_mask_vs_swin5050,0.898894278264691,0.9954375993951561,1.0,0.8195941101772352
s0076,combined_mask_vs_swin5050,0.002312919859914781,0.9819269957633378,-0.007223740726278327,0.0011625630080825222
s0077,combined_mask_vs_swin5050,0.950056490417271,0.9973245018884139,0.9999929414007673,0.9069466075164787
s0078,combined_mask_vs_swin5050,0.7926810225617061,0.9893878805891241,0.9486490190865894,0.6619602331095074
s0080,combined_mask_vs_swin5050,0.02613086391369236,0.9723925924825876,0.0,0.01085517780485642
s0082,combined_mask_vs_swin5050,0.974950121011701,0.9984580998172089,0.9995390532341575,0.9523894678998203
