case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
s0001,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9981047132582167,nan,0.9544802612362897,9537699,397035,28183,8039
s0001,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.7914216534071256,0.5355869236436535,0.791063992337387,13728,9949992,1424,5812
s0001,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.9022627732207562,0.5983121053215568,0.9015506206107279,65613,9891128,537,13678
s0001,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.9738387071470209,0.764073753272163,0.9729570498104189,316575,9637372,7197,9812
s0004,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9918281088607724,nan,0.6974214089573565,19165161,378427,138378,177434
s0004,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.3734241121657098,0.12453600221473353,0.3729129495164566,6472,19831209,6408,15311
s0004,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.942374261861128,0.8024230111250257,0.9421955915382515,57850,19794475,3097,3978
s0004,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.6863972693143129,0.3885495138003588,0.6790221379731763,314105,19258277,167929,119089
s0006,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9942158727932369,nan,0.8136005250672189,9753552,257312,89724,23764
s0006,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.07360977177756349,0.0429179451913696,0.07334198639589885,1145,10094387,394,28426
s0006,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.07400279916025193,0.08271487674360224,0.07330995569209328,2961,10047289,1022,73080
s0006,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.9234396821528189,0.6825321015528627,0.921442746128014,238699,9846073,36855,2725
s0009,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9911781014866413,nan,0.8450984652260479,2448874,127319,36380,7212
s0009,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.21366313309776208,0.1615571829263445,0.21297037752550452,907,2612202,469,6207
s0009,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.5995925654642007,0.3730368468572279,0.5938862888988383,26195,2558604,159,34827
s0009,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.9212508153624163,0.726186306191091,0.9180973041437404,93214,2510635,13587,2349
s0010,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9991447703652049,nan,0.9721246446968245,18385753,566695,23889,7586
s0010,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.7834304893128422,0.6187293038356546,0.783241496735124,13305,18963262,973,6383
s0010,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.931797203119952,0.8008480284953923,0.9314856024044736,80757,18891344,564,11258
s0010,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.9871580251116636,0.878007167405646,0.9868257661160975,472633,18498993,6049,6248
s0011,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9993517260752257,nan,0.9614905731110733,40958420,675192,27302,25837
s0011,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.7475352314117355,0.4552434850824989,0.7473809084017976,19600,41653912,2175,11064
s0011,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.9678347280334728,0.8533705964711344,0.9677637585562828,88824,41592023,2678,3226
s0011,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.970606373101551,0.6607939894589594,0.9701889292433897,566607,41085826,21145,13173
s0012,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.996926892911358,nan,0.9546588615029451,10102738,705627,18602,43683
s0012,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.5821630943582163,0.462217475358159,0.5820200140719876,2363,10864895,525,2867
s0012,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.9709445351745809,0.8722975796683533,0.9706837185993749,93935,10771093,1006,4616
s0012,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.9554951573554813,0.5719764969590675,0.9527314568784194,607661,10206382,43820,12787
s0013,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9991969358704448,nan,0.9770967479360564,11731850,417217,14136,4722
s0013,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.9175525312027445,0.7517336033614831,0.9174023618869008,20327,12143945,995,2658
s0013,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.9722988756345968,0.8960313623216585,0.972115005677557,78044,12085434,576,3871
s0013,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.9834065849333025,0.8481139371634447,0.9829523570319394,318845,11838320,3152,7608
s0014,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9806568511188483,nan,0.4923922811610772,23770568,484866,78391,859343
s0014,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.053702737321504816,0.06390843382839623,0.05364373674745211,566,25172655,251,19696
s0014,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.7158570433233201,0.48209158789414347,0.7149286366702092,62674,25080740,2927,46827
s0014,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.4908510271521108,0.36129802080021006,0.47742281385713364,419993,23901876,857798,13501
s0015,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9932714339657029,nan,0.798237096021433,28355381,792508,104392,279775
s0015,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.12343030226541302,0.08601452136771125,0.1233445227201721,978,29517187,630,13261
s0015,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.9663671508070462,0.8160443337688743,0.966214316901379,129111,29393958,3205,5782
s0015,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.7839990700581866,0.3757304410192605,0.777735053387017,660961,28506890,277398,86807
s0016,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9938109455896011,nan,0.6845126137309938,19215918,266558,233018,6320
s0016,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.0,0.0,-0.0003825490431324826,0,19684831,4262,32721
s0016,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.04423437269722298,0.032682458175602225,0.04403501093684973,2101,19628921,2,90790
s0016,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.8256315215066271,0.48365221442331513,0.8228357355543012,264399,19345736,2114,109565
s0019,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9927220334515249,nan,0.6689096550525812,19300812,294474,279979,3022
s0019,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.0,0.0,-3.208362791767691e-05,0,19853004,323,24960
s0019,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.050730954456464264,0.031432075747617645,0.050486850211376215,1775,19810085,881,65546
s0019,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.7525534673466471,0.2559714391057876,0.7479162104189034,292250,19393848,2267,189922
s0022,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.998611885012683,nan,0.9028918477499545,21415501,281212,47570,11967
s0022,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.4196746808372756,0.3300410770550927,0.41951993456394554,3238,21744057,633,8322
s0022,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.6316701493297997,0.42845954740564446,0.6309445080374216,30985,21689130,523,35612
s0022,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.9715847961842946,0.7770791902779607,0.971248918972511,246989,21494814,10811,3636
s0024,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9987173812981898,nan,0.9321382021409081,39224353,706232,62648,38101
s0024,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.1413142056228873,0.0812901356326591,0.1412154175806032,1714,40008790,862,19968
s0024,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.8770276432650757,0.6590034071609147,0.8767466354245149,80776,39927906,2563,20089
s0024,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.956085873856391,0.6240346039381044,0.9553584294897682,623727,39350310,34691,22606
s0028,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.999660290804081,nan,0.9750487311393345,34732620,467768,15482,8124
s0028,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.869367178171848,0.6420413296871478,0.8692832630695747,19659,35198427,2842,3066
s0028,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.9781393224449939,0.9257767097249127,0.9780998517304407,62105,35159113,646,2130
s0028,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.9810377034806146,0.8393906437408091,0.980823506014812,386004,34823068,4636,10286
s0029,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9994677920117608,nan,0.9634416646950476,37407178,532984,13047,26791
s0029,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.7833445956816939,0.569800050554796,0.7832563168989816,12172,37961095,2328,4405
s0029,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.970402921092379,0.8611587362383316,0.9703229930292167,99263,37874682,2861,3194
s0029,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.9676032123270983,0.7055361027671874,0.9672279263048438,420979,37530831,22172,6018
s0030,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9993021015928935,nan,0.9704343681651323,29532387,693840,24476,16774
s0030,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,1,pancreas,0.38306451612903225,0.20027739161186092,0.3829017396649423,4750,30247427,250,15050
s0030,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,2,kidney,0.9728668772007945,0.9011273476481761,0.9727901669278594,83023,30179823,1485,3146
s0030,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,3,liver,0.9825603407669364,0.8338765198252029,0.9821976198856899,605971,29639995,15135,6376
s0031,combined_mask_vs_swin5050,combined_mask.nii.gz,swin5050,0,background,0.9966855135479218,nan,0.8499851283435446,22636085,437682,137154,13399
