model,pair,label,class,mean_case_dsc,mean_case_nsd,mean_case_binary_kappa,micro_dsc,micro_binary_kappa,tp,tn,fp,fn,cases_with_dsc,cases_with_nsd,cases_with_binary_kappa
clip_unet,combined_mask_vs_clip_unet,0,background,0.9968937356292545,nan,0.8969286487487415,0.9973472099109886,0.9027854083145179,1014799126,25842244,992701,4405718,50,0,50
clip_unet,combined_mask_vs_clip_unet,1,pancreas,0.7815269519649639,0.4770734346975009,0.7812683521137822,0.8194662453216123,0.8192697342352844,947287,1044675115,355341,62046,50,50,50
clip_unet,combined_mask_vs_clip_unet,2,kidney,0.8775728362103834,0.6385518121559091,0.8769893556935586,0.8852023054012521,0.8847045602412106,4040274,1040951587,993733,54195,50,50,50
clip_unet,combined_mask_vs_clip_unet,3,liver,0.9125226669597711,0.6135477463294212,0.9104022573364517,0.9135524435903666,0.9116288677210136,20848395,1021245714,3062932,882748,50,50,50
segresnet,combined_mask_vs_segresnet,0,background,0.9982340769557994,nan,0.93821348328428,0.9986028546006592,0.9447607145159976,1018158353,25032425,1802520,1046491,50,0,50
segresnet,combined_mask_vs_segresnet,1,pancreas,0.8348433049803566,0.6211459603868311,0.8346692875480651,0.8735905614695822,0.8734647706079016,909268,1044867377,163079,100065,50,49,50
segresnet,combined_mask_vs_segresnet,2,kidney,0.9355764520626156,0.7532418723824366,0.9352537948141334,0.9398088936490973,0.9395620483395251,4022750,1041501756,443564,71719,50,50,50
segresnet,combined_mask_vs_segresnet,3,liver,0.9465173701844123,0.6614546945657179,0.94532226881801,0.9509107316488563,0.9498992267047223,20098163,1023866554,442092,1632980,50,50,50
swin5050,combined_mask_vs_swin5050,0,background,0.995477062974857,nan,0.797335428929319,0.9959992476073947,0.8354388621202108,1016527564,21345803,5489142,2677280,50,0,50
swin5050,combined_mask_vs_swin5050,1,pancreas,0.40353642509826715,0.2746276253660067,0.40331201730400884,0.48921652766264795,0.48892426873543227,350859,1044956277,74179,658474,50,50,50
swin5050,combined_mask_vs_swin5050,2,kidney,0.6001784212710752,0.5101323370790429,0.5996358644106208,0.7233133107070603,0.7225048175339213,2358588,1041876755,68565,1735881,50,49,50
swin5050,combined_mask_vs_swin5050,3,liver,0.8385856099760736,0.6247342635658049,0.83667676664915,0.8661197539930215,0.8633172955055043,18579150,1021716904,2591742,3151993,50,50,50
