case,pair,multiclass_kappa,exact_agreement,foreground_multiclass_kappa,foreground_exact_agreement
s0001,combined_mask_vs_staple,0.9712870590656565,0.9976456620608897,0.9998003559585554,0.9460394446487679
s0004,combined_mask_vs_staple,0.9438912180761977,0.9971869240762561,1.0,0.8959416769732823
s0006,combined_mask_vs_staple,0.971075488549254,0.9980544927714879,0.9992499961039379,0.9452196138089848
s0009,combined_mask_vs_staple,0.9597504253237594,0.9951179199819833,1.0,0.9261133544768144
s0010,combined_mask_vs_staple,0.9749036763442349,0.9984787654269353,1.0,0.9522789727726249
s0011,combined_mask_vs_staple,0.9695549050049566,0.9989883116580613,0.9996716702213246,0.9417255182648371
s0012,combined_mask_vs_staple,0.9618357878215024,0.995170849949175,0.9994964045830169,0.9306336995272161
s0013,combined_mask_vs_staple,0.9705344799462408,0.9979563483502734,0.9999939653251592,0.944342979923454
s0014,combined_mask_vs_staple,0.8754604982571256,0.9940161157977433,0.9999084780675076,0.7824726202328903
s0015,combined_mask_vs_staple,0.9645330442515465,0.9979157224949052,1.0,0.9332046323666654
s0016,combined_mask_vs_staple,0.9652235062853775,0.9982673500520793,1.0,0.9340957964879121
s0019,combined_mask_vs_staple,0.9669972043894027,0.9981553239471791,1.0,0.9376161117122267
s0022,combined_mask_vs_staple,0.9670901205786814,0.9990098477449009,0.9999495938437429,0.9370374700415035
s0024,combined_mask_vs_staple,0.9739687630180311,0.9990113244789695,1.0,0.9500773852245307
s0028,combined_mask_vs_staple,0.9719078406643711,0.9992352372079101,1.0,0.9459668716627954
s0029,combined_mask_vs_staple,0.9588436351982449,0.9988211953659821,0.9969748041007255,0.9218024337291738
s0030,combined_mask_vs_staple,0.9762755039677727,0.998894952493067,0.9998799211095463,0.954581686290858
s0031,combined_mask_vs_staple,0.9733064040431108,0.9987082506613757,1.0,0.9490101163929077
s0032,combined_mask_vs_staple,0.40239665547943,0.979656398274977,1.0,0.25703524459353266
s0034,combined_mask_vs_staple,0.9527629726629075,0.9993028517075142,0.998744776286084,0.9102410389710044
s0037,combined_mask_vs_staple,0.6993518535985049,0.988535238384176,1.0,0.5438373861706058
s0038,combined_mask_vs_staple,0.9692820438207727,0.9982912078745412,0.9999943889759332,0.9417576481291937
s0039,combined_mask_vs_staple,0.9762226080463177,0.9973446382634102,0.9999448359791312,0.9559608412787899
s0040,combined_mask_vs_staple,0.9791930886108073,0.999422900548295,0.9996796563712566,0.9596946241867518
s0042,combined_mask_vs_staple,0.9745227023762055,0.9985140191421271,1.0,0.9515378438258885
s0045,combined_mask_vs_staple,0.9739116035169747,0.998325562242038,1.0,0.9505354244951053
s0046,combined_mask_vs_staple,0.9746329653412839,0.998739814959957,1.0,0.9515763701202311
s0048,combined_mask_vs_staple,0.9667315000723227,0.9941346486443339,0.9998832560955464,0.9404496582651214
s0049,combined_mask_vs_staple,0.937242377630688,0.9964988881841527,1.0,0.8845941051088957
s0050,combined_mask_vs_staple,0.9755840200287454,0.9986095823534247,0.999571597689113,0.9534687030987905
s0052,combined_mask_vs_staple,0.9703082935234746,0.9982464623403594,1.0,0.9437019606738011
s0053,combined_mask_vs_staple,0.9802784634486336,0.9991637474062095,0.9999960135071891,0.9620110184030775
s0054,combined_mask_vs_staple,0.9744090544953155,0.9988496014391113,0.9998752999482639,0.9510566940734538
s0057,combined_mask_vs_staple,0.9734933206399802,0.9980250966433987,1.0,0.9499779522003704
s0058,combined_mask_vs_staple,0.9691815745999757,0.9983308444179576,0.9999812384489479,0.9415885102487466
s0059,combined_mask_vs_staple,0.9406370004389334,0.9972807823312675,0.9999812942639279,0.889998589363803
s0065,combined_mask_vs_staple,0.9674161971997768,0.9983272356665702,1.0,0.9382323621507902
s0066,combined_mask_vs_staple,0.9646933385021332,0.9969969745999768,0.9998516250856792,0.9342176075775166
s0068,combined_mask_vs_staple,0.878828372438495,0.9893128971596125,0.9991494290856151,0.7904100909613943
s0069,combined_mask_vs_staple,0.9773899928748557,0.9979635618901112,1.0,0.957478468334762
s0070,combined_mask_vs_staple,0.9768923174060904,0.9984410850301159,0.9983158123429808,0.9561062211641022
s0071,combined_mask_vs_staple,0.9764653341639993,0.9991036770853178,0.9997487178721448,0.9547557387937288
s0072,combined_mask_vs_staple,0.9731558973705812,0.9986955488684243,0.9997596483559098,0.9487383731729272
s0073,combined_mask_vs_staple,0.9621602139465849,0.9977747603510123,1.0,0.9288174947189104
s0075,combined_mask_vs_staple,0.9561250132094509,0.997887114753658,1.0,0.9175359293530713
s0076,combined_mask_vs_staple,0.9625804835858851,0.9987029766358642,1.0,0.928884468722777
s0077,combined_mask_vs_staple,0.9713605394073105,0.998427810570595,0.9999406026697248,0.9455650607834308
s0078,combined_mask_vs_staple,0.9526098213589134,0.9975971197994032,1.0,0.9112966773811346
s0080,combined_mask_vs_staple,0.9740363592421962,0.9986105450436601,1.0,0.9505847219188399
s0082,combined_mask_vs_staple,0.9751960747949927,0.9984705875255636,0.9995708087694017,0.9528384896857449
