case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
s0001,combined_mask_vs_staple,combined_mask.nii.gz,staple,0,background,0.9987722617887272,nan,0.971081520866282,9535916,411596,13622,9822
s0001,combined_mask_vs_staple,combined_mask.nii.gz,staple,1,pancreas,0.8980567290283645,0.6730625411000642,0.8978452045915264,18601,9948132,3284,939
s0001,combined_mask_vs_staple,combined_mask.nii.gz,staple,2,kidney,0.9709117059924861,0.8647921041335225,0.9706745720043187,78305,9887959,3706,986
s0001,combined_mask_vs_staple,combined_mask.nii.gz,staple,3,liver,0.9773399657405006,0.7801498172108604,0.9765840252366115,314659,9641706,2863,11728
s0004,combined_mask_vs_staple,combined_mask.nii.gz,staple,0,background,0.9985564684996394,nan,0.9436720523144135,19322528,481006,35799,20067
s0004,combined_mask_vs_staple,combined_mask.nii.gz,staple,1,pancreas,0.8891896306321021,0.6409088353424094,0.889069968728328,19054,19835597,2020,2729
s0004,combined_mask_vs_staple,combined_mask.nii.gz,staple,2,kidney,0.9298474092698681,0.6736522973364516,0.9296131262691835,61760,19788321,9251,68
s0004,combined_mask_vs_staple,combined_mask.nii.gz,staple,3,liver,0.9503693975886447,0.6935762978692775,0.9492951600309273,400192,19417410,8796,33002
s0006,combined_mask_vs_staple,combined_mask.nii.gz,staple,0,background,0.9989983712342817,nan,0.9710073834111114,9764789,339982,7054,12527
s0006,combined_mask_vs_staple,combined_mask.nii.gz,staple,1,pancreas,0.9093773041088545,0.6779060967371916,0.9091094573512892,27134,10091810,2971,2437
s0006,combined_mask_vs_staple,combined_mask.nii.gz,staple,2,kidney,0.9626484912515784,0.8435670211474241,0.9623600593206131,74715,10043839,4472,1326
s0006,combined_mask_vs_staple,combined_mask.nii.gz,staple,3,liver,0.9822404625279331,0.8701884983058277,0.9818049812554852,238017,9877728,5200,3407
s0009,combined_mask_vs_staple,combined_mask.nii.gz,staple,0,background,0.9973930700096246,nan,0.9590334904070218,2446682,160313,3386,9404
s0009,combined_mask_vs_staple,combined_mask.nii.gz,staple,1,pancreas,0.7587004137259674,0.5425982355984377,0.757954845202206,6235,2609584,3087,879
s0009,combined_mask_vs_staple,combined_mask.nii.gz,staple,2,kidney,0.9628674989931535,0.8416288905473587,0.9619665678354763,59770,2555405,3358,1252
s0009,combined_mask_vs_staple,combined_mask.nii.gz,staple,3,liver,0.9781465539594462,0.8887623754675341,0.9773116271828308,94308,2521263,2959,1255
s0010,combined_mask_vs_staple,combined_mask.nii.gz,staple,0,background,0.9992149544183436,nan,0.9747712003213641,18378760,576284,14300,14579
s0010,combined_mask_vs_staple,combined_mask.nii.gz,staple,1,pancreas,0.942603150062808,0.7927015503473904,0.9425406518264376,19510,18962037,2198,178
s0010,combined_mask_vs_staple,combined_mask.nii.gz,staple,2,kidney,0.9545726582462933,0.804187151415883,0.954341998769897,91712,18883482,8426,303
s0010,combined_mask_vs_staple,combined_mask.nii.gz,staple,3,liver,0.9812490373436804,0.8121611967055112,0.9807689711371981,465062,18501087,3955,13819
s0011,combined_mask_vs_staple,combined_mask.nii.gz,staple,0,background,0.9994863006783986,nan,0.9695237085841744,40963038,681606,20888,21219
s0011,combined_mask_vs_staple,combined_mask.nii.gz,staple,1,pancreas,0.9282190876845665,0.7092300619254621,0.9281668701021035,28132,41654268,1819,2532
s0011,combined_mask_vs_staple,combined_mask.nii.gz,staple,2,kidney,0.9540334216532438,0.7847023205979246,0.9539282221225182,90917,41587073,7628,1133
s0011,combined_mask_vs_staple,combined_mask.nii.gz,staple,3,liver,0.9747606161982967,0.7016833387363872,0.9744063404002262,562490,41095132,11839,17290
s0012,combined_mask_vs_staple,combined_mask.nii.gz,staple,0,background,0.9974158435658095,nan,0.9615498604376241,10113856,704387,19842,32565
s0012,combined_mask_vs_staple,combined_mask.nii.gz,staple,1,pancreas,0.827485380116959,0.6420567466601373,0.8273986670657356,4528,10864234,1186,702
s0012,combined_mask_vs_staple,combined_mask.nii.gz,staple,2,kidney,0.9502326414610174,0.7712782178719407,0.9497563265601529,98131,10762240,9859,420
s0012,combined_mask_vs_staple,combined_mask.nii.gz,staple,3,liver,0.9675017045966217,0.6238660773295752,0.9655298749765583,601639,10228593,21609,18809
s0013,combined_mask_vs_staple,combined_mask.nii.gz,staple,0,background,0.9989403905103716,nan,0.9703165231129917,11721135,421924,9429,15437
s0013,combined_mask_vs_staple,combined_mask.nii.gz,staple,1,pancreas,0.9326982301975116,0.7381015412081743,0.9325636884162669,22714,12141933,3007,271
s0013,combined_mask_vs_staple,combined_mask.nii.gz,staple,2,kidney,0.9453364269141531,0.7510767671261293,0.9449473869886247,81488,12077013,8997,427
s0013,combined_mask_vs_staple,combined_mask.nii.gz,staple,3,liver,0.9812139442378723,0.8266456609495899,0.9807003914165577,317721,11838038,3434,8732
s0014,combined_mask_vs_staple,combined_mask.nii.gz,staple,0,background,0.9969332268668899,nan,0.874937093066907,24500138,542295,20962,129773
s0014,combined_mask_vs_staple,combined_mask.nii.gz,staple,1,pancreas,0.8249688581314879,0.554350356054159,0.8248451411881205,14901,25171944,962,5361
