case,pair,multiclass_kappa,exact_agreement,foreground_multiclass_kappa,foreground_exact_agreement
s0001,combined_mask_vs_unweighted,0.9649563541711069,0.9970471236659755,0.9993555999159728,0.9345764903774578
s0004,combined_mask_vs_unweighted,0.8245625768007094,0.9894333665669658,1.0,0.7081408788026721
s0006,combined_mask_vs_unweighted,0.9364530221163392,0.9955093422275322,0.9976935355679506,0.8835684670680458
s0009,combined_mask_vs_unweighted,0.9356134643001986,0.9918863570865548,0.9999762748731493,0.884539755999522
s0010,combined_mask_vs_unweighted,0.9722792218380222,0.9982867081793368,1.0,0.9474448756935984
s0011,combined_mask_vs_unweighted,0.963592077580123,0.9987628923155945,0.999321421561867,0.9307246435215969
s0012,combined_mask_vs_unweighted,0.9424282813674696,0.9924312713591183,0.9979474641939728,0.8973873221080515
s0013,combined_mask_vs_unweighted,0.9625034046803802,0.9973470415046115,0.9999340678634576,0.92973929471581
s0014,combined_mask_vs_unweighted,0.5461617374829923,0.965112565438376,0.9963183861190287,0.3870952670512234
s0015,combined_mask_vs_unweighted,0.8454163052590747,0.9894049029298875,0.9974167558462295,0.7391078496523467
s0016,combined_mask_vs_unweighted,0.9598535714537614,0.9979519125370516,1.0,0.9243344704143508
s0019,combined_mask_vs_unweighted,0.9658018538187633,0.998041581751989,1.0,0.9354653687906346
s0022,combined_mask_vs_unweighted,0.9549278367476762,0.9986066072967538,0.9998850014706279,0.9147811126947047
s0024,combined_mask_vs_unweighted,0.9625326735520098,0.9985397688720541,1.0,0.9289512546414745
s0028,combined_mask_vs_unweighted,0.9666176209410472,0.9990728762899517,1.0,0.936128974214545
s0029,combined_mask_vs_unweighted,0.9502459583197765,0.9985221169036335,0.9961999341238412,0.9062590809949598
s0030,combined_mask_vs_unweighted,0.9704155556903659,0.9985923504625113,0.9997296560765543,0.9436986371967455
s0031,combined_mask_vs_unweighted,0.9686416829162304,0.9984476617614638,0.999953465909808,0.9403888317520578
s0032,combined_mask_vs_unweighted,0.7536518169783195,0.9890414436262187,0.998904984548346,0.6115249817706496
s0034,combined_mask_vs_unweighted,0.912055404797562,0.9986064856395498,0.9978440603914869,0.8391270694474307
s0037,combined_mask_vs_unweighted,0.9331361477112415,0.9968149640247163,0.9994515925310837,0.8773815529083078
s0038,combined_mask_vs_unweighted,0.9117998541941027,0.9947063730397063,0.9999247024445893,0.8416797513928022
s0039,combined_mask_vs_unweighted,0.9686277717036057,0.996437145687109,0.9994835745852273,0.9423454495083534
s0040,combined_mask_vs_unweighted,0.9719250419608064,0.9992054574186353,0.9993875713164332,0.9460032368320221
s0042,combined_mask_vs_unweighted,0.9656427856180758,0.9979494339314785,0.9999624947425075,0.9352268121663063
s0045,combined_mask_vs_unweighted,0.9530989674606869,0.9968932782785597,1.0,0.9128438790727721
s0046,combined_mask_vs_unweighted,0.9694550930609349,0.9984446226166739,1.0,0.9420080279802945
s0048,combined_mask_vs_unweighted,0.9527007361018387,0.9913863981055264,0.9998426826736018,0.9165837270949891
s0049,combined_mask_vs_unweighted,0.8238544145939032,0.9886906852489048,0.9997298776363355,0.7075510778776178
s0050,combined_mask_vs_unweighted,0.9644459202840117,0.9979233165647478,0.9991321956365777,0.9329882865704168
s0052,combined_mask_vs_unweighted,0.9675376523863228,0.998043700633751,1.0,0.9386364770523483
s0053,combined_mask_vs_unweighted,0.9742017665260204,0.9988867949342876,0.9998976035940083,0.9506079326128035
s0054,combined_mask_vs_unweighted,0.9682159553681007,0.998538530312873,0.9993226811325369,0.9395898717071046
s0057,combined_mask_vs_unweighted,0.9649750668170816,0.9973299934617252,1.0,0.9344726865949909
s0058,combined_mask_vs_unweighted,0.9008319287038938,0.9941444079095536,0.9997355245857522,0.8238353851125264
s0059,combined_mask_vs_unweighted,0.7325902442613061,0.984030324222493,0.9997740042014694,0.5862275321804016
s0065,combined_mask_vs_unweighted,0.9604693564826894,0.9979027405071276,1.0,0.9255943156060822
s0066,combined_mask_vs_unweighted,0.9528322093441941,0.9958462170215604,0.9988029818683467,0.9131549836821626
s0068,combined_mask_vs_unweighted,0.8627171634823384,0.9863781122905211,0.9980277940671326,0.7664399959250203
s0069,combined_mask_vs_unweighted,0.9656744437776785,0.9968292728132038,1.0,0.9361966370602155
s0070,combined_mask_vs_unweighted,0.9681558113436918,0.9978034793211352,0.9965931353385599,0.9400271787460134
s0071,combined_mask_vs_unweighted,0.9722934098269672,0.9989259520027762,0.999387590362127,0.9469579221362896
s0072,combined_mask_vs_unweighted,0.9635712135219727,0.9981868483766214,0.9996312669987258,0.9310936242387395
s0073,combined_mask_vs_unweighted,0.957273799379568,0.9974041053286337,1.0,0.9200431005506652
s0075,combined_mask_vs_unweighted,0.9594409461027432,0.9979787972800982,1.0,0.923570989000484
s0076,combined_mask_vs_unweighted,0.9624139039801548,0.9986359483865545,1.0,0.9286313884782376
s0077,combined_mask_vs_unweighted,0.9603602607675563,0.9977652825836217,0.9999117479779914,0.9254800667427107
s0078,combined_mask_vs_unweighted,0.7216508729866359,0.9810600867987428,1.0,0.5736683942838838
s0080,combined_mask_vs_unweighted,0.9766864038544772,0.9987201833710192,0.9999779940241317,0.9555434550705808
s0082,combined_mask_vs_unweighted,0.9677408314890104,0.9979656497529605,0.9993386696681321,0.9391263378504495
