case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
s0001,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,0,background,0.9984615004662271,nan,0.9647654778306741,9520919,420696,4522,24819
s0001,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,1,pancreas,0.8167066044478076,0.3957260796763394,0.816282293564807,19427,9942809,8607,113
s0001,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,2,kidney,0.9488208098724568,0.749540720860885,0.9483902559042107,79116,9883305,8360,175
s0001,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,3,liver,0.9812764323757754,0.8285945043819319,0.9806391867167474,322051,9636615,7954,4336
s0004,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,0,background,0.9945481038314634,nan,0.8238255418694178,19140399,509154,7651,202196
s0004,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,1,pancreas,0.8686821770890513,0.4916001139174755,0.868526399534974,20573,19832607,5010,1210
s0004,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,2,kidney,0.8773592938438396,0.4823353978479635,0.8769291704855213,61824,19780292,17280,4
s0004,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,3,liver,0.8207993983788155,0.5334653358204346,0.8161192849629402,426757,19246300,179906,6437
s0006,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,0,background,0.997688751333802,nan,0.9364102663218742,9733865,345388,1648,43451
s0006,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,1,pancreas,0.864143342452575,0.5409824892255676,0.8637010565925269,28744,10086570,8211,827
s0006,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,2,kidney,0.935587493603142,0.7062894228026015,0.9350694293795418,75871,10038034,10277,170
s0006,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,3,liver,0.94805189683729,0.7196470538016007,0.9467204961620822,240407,9857599,25329,1017
s0009,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,0,background,0.9956559133455476,nan,0.9344097126549644,2435687,162844,855,20399
s0009,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,1,pancreas,0.6934120354159372,0.37978130036220376,0.6923357302003583,6931,2606725,5946,183
s0009,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,2,kidney,0.9469725284993459,0.7718602574014855,0.9456435170530204,60807,2552168,6595,215
s0009,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,3,liver,0.9580963798375032,0.8265942806712965,0.9564485097677139,95104,2516362,7860,459
s0010,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,0,background,0.9991152698761456,nan,0.9721289268426915,18365049,586349,4235,28290
s0010,combined_mask_vs_unweighted,combined_mask.nii.gz,unweighted,1,pancreas,0.8993920555834896,0.5841030077394554,0.8992771450582582,19676,18959845,4390,12
