case,pair,multiclass_kappa,exact_agreement,foreground_multiclass_kappa,foreground_exact_agreement
s0001,combined_mask_vs_weighted,0.9687214204145604,0.9973868102516951,0.9988463236924557,0.9413862063225333
s0004,combined_mask_vs_weighted,0.827325450620641,0.9896887619968378,1.0,0.7120424001833704
s0006,combined_mask_vs_weighted,0.941561812769467,0.9959121334382685,0.9937434005930879,0.8923287450277457
s0009,combined_mask_vs_weighted,0.943996437363592,0.993034924621677,0.999879922301004,0.8987773623423163
s0010,combined_mask_vs_weighted,0.9753465121034072,0.9984820313483151,1.0,0.9531204500384739
s0011,combined_mask_vs_weighted,0.9648857371109218,0.9988115408658257,0.9993331955304863,0.9331021622329616
s0012,combined_mask_vs_weighted,0.946222808556648,0.9929552510659436,0.9969488245344359,0.9038021399913074
s0013,combined_mask_vs_weighted,0.9679706565545255,0.9977510545142249,0.9999399262534071,0.9396647330277434
s0014,combined_mask_vs_weighted,0.5376533050248402,0.9641426596289915,0.9938470564969655,0.3793724610270006
s0015,combined_mask_vs_weighted,0.8445133390068823,0.9893826897795399,0.9942022054515246,0.7377325206454997
s0016,combined_mask_vs_weighted,0.9611378384974918,0.9980283253862956,1.0,0.9266609959468813
s0019,combined_mask_vs_weighted,0.9689547462817973,0.9982351598002384,1.0,0.9412304713020695
s0022,combined_mask_vs_weighted,0.9566452331939342,0.9986675093363976,0.9999501775126876,0.9178927989803866
s0024,combined_mask_vs_weighted,0.9651942134206927,0.9986518810489803,1.0,0.9338256121501802
s0028,combined_mask_vs_weighted,0.972622901394846,0.9992459401395537,1.0,0.9473128794926675
s0029,combined_mask_vs_weighted,0.9532887378460482,0.998619010005266,0.9966718810175476,0.9117428308928698
s0030,combined_mask_vs_weighted,0.9743414867238901,0.9987850325284793,0.9997614534801844,0.9509834892174073
s0031,combined_mask_vs_weighted,0.9692776843911046,0.9984835723930776,0.999971946111094,0.9415601763582389
s0032,combined_mask_vs_weighted,0.6508060779601139,0.9856583001379381,1.0,0.48955493778845377
s0034,combined_mask_vs_weighted,0.9119051829447707,0.998624402305968,0.9987565044364596,0.8388975409299708
s0037,combined_mask_vs_weighted,0.7304303906939679,0.989209322738529,1.0,0.5814754830782978
s0038,combined_mask_vs_weighted,0.9125992279470961,0.9947993827160494,0.9999165559637471,0.8429915838880329
s0039,combined_mask_vs_weighted,0.9732151124349337,0.9969799044049925,0.9994639993559089,0.9505505777969169
s0040,combined_mask_vs_weighted,0.9755455131050473,0.9993126642867415,0.9995395729568503,0.9528017689705917
s0042,combined_mask_vs_weighted,0.970104245835895,0.9982268130694524,1.0,0.9433950873039361
s0045,combined_mask_vs_weighted,0.9554822576404218,0.9970615120857036,1.0,0.9170840029723331
s0046,combined_mask_vs_weighted,0.9727952661660153,0.9986234617735534,1.0,0.9481809148872685
s0048,combined_mask_vs_weighted,0.9562312792460704,0.9920760383684113,0.9996977694441183,0.9225472650402063
s0049,combined_mask_vs_weighted,0.8261715774695005,0.9889127559240783,0.9997220298707338,0.7108139036742742
s0050,combined_mask_vs_weighted,0.9679734105041159,0.9981411678326378,0.999498984251552,0.9394322298037233
s0052,combined_mask_vs_weighted,0.9714626049305842,0.9982886495028004,1.0,0.94585038075714
s0053,combined_mask_vs_weighted,0.9761469936165177,0.998974707666058,0.9997666633838664,0.9542437209864969
s0054,combined_mask_vs_weighted,0.9710226964510504,0.9986737131670412,0.9993207754215176,0.9447743281790866
s0057,combined_mask_vs_weighted,0.9678823713223828,0.9975599852521642,1.0,0.9397429503645002
s0058,combined_mask_vs_weighted,0.9025367984486494,0.9942693156579918,0.9996961049103987,0.826591989230345
s0059,combined_mask_vs_weighted,0.7354030178123612,0.9844896329595617,0.9996461548064816,0.589650666301986
s0065,combined_mask_vs_weighted,0.9596418080669007,0.997887296038295,1.0,0.9240780943339796
s0066,combined_mask_vs_weighted,0.9525634667156202,0.9958391097883272,0.9984824240555217,0.9126720464364243
s0068,combined_mask_vs_weighted,0.8601144618072465,0.9864271305877146,0.9978945114090603,0.7624263066553134
s0069,combined_mask_vs_weighted,0.968339040411534,0.9970898627547286,1.0,0.9409987543283801
s0070,combined_mask_vs_weighted,0.9695634319444978,0.9979089669547971,0.9967644775243265,0.9426022046697335
s0071,combined_mask_vs_weighted,0.9766198406183678,0.9990981788696215,0.9995221195608174,0.9550532281809815
s0072,combined_mask_vs_weighted,0.9667676226062774,0.9983536883217129,0.9997209378863168,0.9369460323207286
s0073,combined_mask_vs_weighted,0.9588441920529733,0.9975111113882571,1.0,0.9228632941140091
s0075,combined_mask_vs_weighted,0.9629625742925365,0.9981625178447141,1.0,0.9299715924059742
s0076,combined_mask_vs_weighted,0.9640964587776735,0.9987049375686897,1.0,0.9317110426996922
s0077,combined_mask_vs_weighted,0.9637115862615183,0.9979638487459574,0.9999055588440839,0.9315594628597057
s0078,combined_mask_vs_weighted,0.7251932560986066,0.981426141981088,1.0,0.5779397977438694
s0080,combined_mask_vs_weighted,0.9808244858122795,0.9989592609276686,0.9999850576664963,0.9632798147333558
s0082,combined_mask_vs_weighted,0.968905934101338,0.9980438336661378,0.9994314210773674,0.9412589490159705
