case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
s0001,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,0,background,0.9986437764434111,nan,0.9686683797035709,9526419,418662,6556,19319
s0001,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,1,pancreas,0.8936170212765957,0.6631925971011269,0.8933950341263066,18627,9947894,3522,913
s0001,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,2,kidney,0.9485674504579117,0.7473918273190634,0.9481350997306376,79028,9883358,8307,263
s0001,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,3,liver,0.9797948949737664,0.8120853269090721,0.9791088453669745,320826,9636898,7671,5561
s0004,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,0,background,0.9946813507704165,nan,0.8266110438981844,19148271,506354,10451,194324
s0004,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,1,pancreas,0.8861110479783632,0.6044402047957981,0.8859847583932422,19494,19834895,2722,2289
s0004,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,2,kidney,0.8784251319612677,0.48565384459016286,0.87799915296845,61824,19780463,17109,4
s0004,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,3,liver,0.8231365041739169,0.5344200425957322,0.8185408045857772,425036,19251713,174493,8158
s0006,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,0,background,0.997930005847745,nan,0.9424580001808496,9739969,343976,3060,37347
s0006,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,1,pancreas,0.9093469695699555,0.6779746138531695,0.9090791703465432,27119,10091826,2955,2452
s0006,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,2,kidney,0.9378563283922463,0.7124033600061748,0.9373587747807399,75670,10038654,9657,371
s0006,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,3,liver,0.946915911429281,0.7140119288259303,0.9455549313186239,240207,9857213,25715,1217
s0009,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,0,background,0.9962760923166455,nan,0.9430050329492171,2439519,162029,1670,16567
s0009,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,1,pancreas,0.7656883212575218,0.5560788716965854,0.7649694483095032,6235,2609734,2937,879
s0009,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,2,kidney,0.9469142340882893,0.7719866506723965,0.9455840308883695,60790,2552179,6584,232
s0009,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,3,liver,0.9614144818407696,0.8375653651705687,0.9599038656983511,94994,2517166,7056,569
s0010,combined_mask_vs_weighted,combined_mask.nii.gz,weighted,0,background,0.999216231985976,nan,0.9752140582741243,18369220,585886,4698,24119
