method,pair,label,class,mean_case_dsc,mean_case_nsd,mean_case_binary_kappa,micro_dsc,micro_binary_kappa,tp,tn,fp,fn,cases_with_dsc,cases_with_nsd,cases_with_binary_kappa
unweighted,combined_mask_vs_unweighted,0,background,0.9975212509385148,nan,0.926355907957782,0.9978108795788101,0.9200747487638453,1015165215,26420185,414760,4039629,50,0,50
unweighted,combined_mask_vs_unweighted,1,pancreas,0.816746783834077,0.517239524528931,0.8165159288221789,0.8472246480060057,0.8470599033750705,967736,1044723040,307416,41597,50,49,50
unweighted,combined_mask_vs_unweighted,2,kidney,0.9112516023284356,0.6656648285340997,0.9107588789250015,0.9096284789065315,0.9092431092533164,4069530,1041161644,783676,24939,50,50,50
unweighted,combined_mask_vs_unweighted,3,liver,0.9390964356045758,0.7230924029263022,0.937502067251494,0.9282026400637967,0.9265915111023512,21377713,1021354903,2953743,353430,50,50,50
weighted,combined_mask_vs_weighted,0,background,0.9975058341005265,nan,0.9226565811520463,0.9978108789708406,0.9194070458787131,1015401267,26183096,651849,3803577,50,0,50
weighted,combined_mask_vs_weighted,1,pancreas,0.8431978208460328,0.6336569909871944,0.8430304940035706,0.8799684849474789,0.8798490480979876,915847,1044874091,156365,93486,50,49,50
weighted,combined_mask_vs_weighted,2,kidney,0.9162922849773222,0.6724626554367026,0.9158303749804217,0.9186816750464759,0.9183379450273159,4068018,1041251599,693721,26451,50,50,50
weighted,combined_mask_vs_weighted,3,liver,0.9334013817427155,0.7227712162542478,0.9317230090461857,0.9237304224480654,0.9220250246563028,21192161,1021348085,2960561,538982,50,50,50
staple,combined_mask_vs_staple,0,background,0.9985956445492011,nan,0.9473418617670453,0.9989504199609726,0.9588913701375185,1018262586,25637461,1197484,942258,50,0,50
staple,combined_mask_vs_staple,1,pancreas,0.8338109397678396,0.6430307386184229,0.8336639716496782,0.8850931204491966,0.8849811164143611,901651,1044904025,126431,107682,50,49,50
staple,combined_mask_vs_staple,2,kidney,0.9282034590057693,0.7674745437393602,0.9279076389665277,0.9429813459657558,0.9427494052043497,4001117,1041554806,390514,93352,50,50,50
staple,combined_mask_vs_staple,3,liver,0.9582403228270964,0.7420442037174536,0.9574188897461368,0.9667711163438405,0.9660757351979843,20732962,1023881602,427044,998181,50,50,50
random_forest_config_002,combined_mask_vs_random_forest_config_002,0,background,0.9982870607413186,nan,0.9344297531240268,0.9987152858373182,0.9497921625631865,1017964335,25456503,1378442,1240509,50,0,50
random_forest_config_002,combined_mask_vs_random_forest_config_002,1,pancreas,0.8080800985649771,0.5080173110581682,0.8078386464983978,0.8401726400671078,0.8399998882454559,962519,1044711067,319389,46814,50,50,50
random_forest_config_002,combined_mask_vs_random_forest_config_002,2,kidney,0.9332988424505944,0.7621283016583209,0.9329944313439813,0.9428470442364574,0.94261393685043,4011982,1041541415,403905,82487,50,50,50
random_forest_config_002,combined_mask_vs_random_forest_config_002,3,liver,0.9459383422901362,0.680617152890437,0.9449421513385013,0.9584743025801795,0.9576087221706213,20477976,1023787405,521241,1253167,50,50,50
