case,pair,multiclass_kappa,exact_agreement,foreground_multiclass_kappa,foreground_exact_agreement
s0001,combined_mask_vs_random_forest_config_002,0.9572763828648244,0.9964660359548272,0.9999679070755574,0.920770685355944
s0004,combined_mask_vs_random_forest_config_002,0.9499848132798068,0.9974433265858988,1.0,0.906744468382492
s0006,combined_mask_vs_random_forest_config_002,0.9639011082039739,0.9975586585689632,0.999553151688915,0.9320976462055779
s0009,combined_mask_vs_random_forest_config_002,0.9540063360525429,0.9944392383344435,1.0,0.9159769524919109
s0010,combined_mask_vs_random_forest_config_002,0.9720763900904005,0.9983083054013652,1.0,0.9470416542990007
s0011,combined_mask_vs_random_forest_config_002,0.9653504428705856,0.9988467319029012,0.9997618645094866,0.9339433002793354
s0012,combined_mask_vs_random_forest_config_002,0.9502929761712355,0.9937389208556986,0.9910789989342613,0.9104413194714008
s0013,combined_mask_vs_random_forest_config_002,0.9609123791578624,0.997279158114469,1.0,0.9268347123510484
s0014,combined_mask_vs_random_forest_config_002,0.8880503868343127,0.9947240061273754,0.9991078265526456,0.8021535241854698
s0015,combined_mask_vs_random_forest_config_002,0.9544705790388514,0.9972919257636516,1.0,0.9150689324863059
s0016,combined_mask_vs_random_forest_config_002,0.9571569120834069,0.9978524287877373,1.0,0.9194242469209082
s0019,combined_mask_vs_random_forest_config_002,0.9567298029569693,0.9975887258293433,1.0,0.918981915787303
s0022,combined_mask_vs_random_forest_config_002,0.962505951358557,0.9988716345877622,0.9998673452831577,0.9285753771402802
s0024,combined_mask_vs_random_forest_config_002,0.9651671556512155,0.9986815328212645,1.0,0.93374964697022
s0028,combined_mask_vs_random_forest_config_002,0.9621043429059738,0.998962752491952,1.0,0.9277938956039178
s0029,combined_mask_vs_random_forest_config_002,0.9458275809347543,0.9984397314375988,0.9978714379538299,0.898347562513187
s0030,combined_mask_vs_random_forest_config_002,0.9722056314884848,0.9987031294349377,0.9998857856897447,0.9469963042031081
s0031,combined_mask_vs_random_forest_config_002,0.9663378637612265,0.9983662815531306,0.9998540440353088,0.9361236113005079
s0032,combined_mask_vs_random_forest_config_002,0.2937720631508308,0.9771213393119169,1.0,0.1763822679328854
s0034,combined_mask_vs_random_forest_config_002,0.9362928824196677,0.9990445313715242,0.9975121024927517,0.8807828519905931
s0037,combined_mask_vs_random_forest_config_002,0.5403963435718132,0.9841993705810236,0.9747127230141256,0.37577505489379615
