case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
s0001,combined_mask_vs_random_forest_config_002,combined_mask.nii.gz,random_forest_config_002,0,background,0.9981541991811459,nan,0.9569116214290988,9526209,409515,15703,19529
s0001,combined_mask_vs_random_forest_config_002,combined_mask.nii.gz,random_forest_config_002,1,pancreas,0.8379204892966361,0.4513456973685963,0.8375536267084907,19317,9944166,7250,223
s0001,combined_mask_vs_random_forest_config_002,combined_mask.nii.gz,random_forest_config_002,2,kidney,0.9688242851556924,0.8532997927289138,0.9685704154319916,78048,9887885,3780,1243
s0001,combined_mask_vs_random_forest_config_002,combined_mask.nii.gz,random_forest_config_002,3,liver,0.9648458509263781,0.6766453379213732,0.9636670845436658,312145,9636065,8504,14242
s0004,combined_mask_vs_random_forest_config_002,combined_mask.nii.gz,random_forest_config_002,0,background,0.9986873540807947,nan,0.9497791316861212,19314939,493687,23118,27656
s0004,combined_mask_vs_random_forest_config_002,combined_mask.nii.gz,random_forest_config_002,1,pancreas,0.7854052605383054,0.40447743657366125,0.7851304530930941,20514,19827676,9941,1269
s0004,combined_mask_vs_random_forest_config_002,combined_mask.nii.gz,random_forest_config_002,2,kidney,0.9275911311537016,0.6652523952583459,0.9273489780250201,61708,19788058,9514,120
s0004,combined_mask_vs_random_forest_config_002,combined_mask.nii.gz,random_forest_config_002,3,liver,0.9649063152217245,0.637006197919275,0.9641364302172295,411465,19418005,8201,21729
s0006,combined_mask_vs_random_forest_config_002,combined_mask.nii.gz,random_forest_config_002,0,background,0.9987389829849425,nan,0.9636978602412073,9760344,339361,7675,16972
s0006,combined_mask_vs_random_forest_config_002,combined_mask.nii.gz,random_forest_config_002,1,pancreas,0.8806122604546217,0.5741354300872845,0.8802280277754049,28881,10087640,7141,690
s0006,combined_mask_vs_random_forest_config_002,combined_mask.nii.gz,random_forest_config_002,2,kidney,0.9630484690587355,0.8465529197913122,0.962763410697595,74669,10043953,4358,1372
