case,split
UKCHLL001,training
UKCHLL002,training
UKCHLL009,training
UKCHLL011,training
UKCHLL015,training
UKCHLL017,training
UKCHLL021,training
UKCHLL023,training
UKCHLL031,training
UKCHLL034,training
UKCHLL035,training
UKCHLL037,training
UKCHLL038,training
UKCHLL039,training
UKCHLL041,training
UKCHLL042,training
UKCHLL043,training
UKCHLL045,training
UKCHLL046,training
UKCHLL048,training
UKCHLL049,validation
UKCHLL051,validation
UKCHLL058,validation
UKCHLL059,validation
UKCHLL061,validation
UKCHLL003,testing
UKCHLL005,testing
UKCHLL007,testing
UKCHLL008,testing
UKCHLL010,testing
UKCHLL013,testing
UKCHLL018,testing
UKCHLL020,testing
UKCHLL025,testing
UKCHLL026,testing
UKCHLL027,testing
UKCHLL028,testing
UKCHLL030,testing
UKCHLL032,testing
UKCHLL052,testing
UKCHLL053,testing
UKCHLL054,testing
UKCHLL055,testing
UKCHLL057,testing
UKCHLL062,testing
UKCHLL064,testing
UKCHLL066,testing
UKCHLL067,testing
UKCHLL069,testing
UKCHLL070,testing
UKCHLL071,testing
UKCHLL073,testing
UKCHLL075,testing
UKCHLL076,testing
UKCHLL077,testing
UKCHLL078,testing
UKCHLL080,testing
UKCHLL081,testing
UKCHLL082,testing
UKCHLL083,testing
UKCHLL084,testing
UKCHLL086,testing
UKCHLL087,testing
UKCHLL089,testing
UKCHLL090,testing
UKCHLL091,testing
UKCHLL092,testing
UKCHLL093,testing
UKCHLL094,testing
UKCHLL095,testing
UKCHLL096,testing
UKCHLL097,testing
UKCHLL098,testing
UKCHLL099,testing
UKCHLL100,testing
UKCHLL101,testing
UKCHLL102,testing
UKCHLL103,testing
UKCHLL104,testing
UKCHLL105,testing
UKCHLL106,testing
UKCHLL107,testing
UKCHLL108,testing
UKCHLL109,testing
UKCHLL110,testing
UKCHLL111,testing
UKCHLL112,testing
UKCHLL113,testing
UKCHLL114,testing
UKCHLL115,testing
