case,fleiss_kappa,foreground_fleiss_kappa
UKCHLL001,0.957524049462144,0.7795338984785981
UKCHLL002,0.9641312403583191,0.8290774399525469
UKCHLL003,0.9725190841543043,0.8618918560824229
UKCHLL005,0.9569440794878445,0.8135734696567289
UKCHLL007,0.9527347139026078,0.8115974770742934
UKCHLL008,0.9394382790136457,0.767592955895278
UKCHLL009,0.9645529698935223,0.829410976225165
UKCHLL010,0.9711266739934994,0.8491635122887522
UKCHLL011,0.966412148647731,0.8409438173266209
UKCHLL013,0.9628648453645761,0.8223824307873392
UKCHLL015,0.9604187658276678,0.8323507696947366
UKCHLL017,0.9591101158361024,0.8156262887590107
UKCHLL018,0.9527134348923211,0.8213118117111442
UKCHLL020,0.9410506050515168,0.7650728154431599
UKCHLL021,0.9576653008761783,0.815012306129445
UKCHLL023,0.7865794371419367,0.4197228963828564
UKCHLL025,0.9692260049320903,0.8435978547816612
UKCHLL026,0.9618680875725502,0.8278528641039717
UKCHLL027,0.9714178287761922,0.8598935435102069
UKCHLL028,0.9244519407760742,0.7136989029960087
UKCHLL030,0.9352466544302216,0.747217818715911
UKCHLL031,0.9662003075948461,0.8579130650128849
UKCHLL032,0.9716942159519152,0.8684368812887245
UKCHLL034,0.963894698053785,0.8428748973359375
UKCHLL035,0.9479751822337259,0.7968083053002187
UKCHLL037,0.9613265800888835,0.825766567578418
UKCHLL038,0.9605908315860487,0.8254804401843845
UKCHLL039,0.9591268415592916,0.8233018473145071
UKCHLL041,0.9567313411710221,0.830275306289971
UKCHLL042,0.9479307249058684,0.8032412121310009
UKCHLL043,0.9526797190534232,0.8156304201168744
UKCHLL045,0.9603361522301997,0.8248524899316971
UKCHLL046,0.9635234492357116,0.844065849898529
UKCHLL048,0.9394781933007827,0.7575109220293751
UKCHLL049,0.944565362448372,0.7501463806444131
UKCHLL051,0.9615054861424178,0.841144576541946
UKCHLL052,0.9648596395300987,0.8041331169300728
UKCHLL053,0.9712038886663518,0.8628698679446799
UKCHLL054,0.958243931478303,0.8287773257001819
UKCHLL055,0.9617783837679765,0.8456234784283823
UKCHLL057,0.9666547315763432,0.8548548368005485
UKCHLL058,0.9656865983927492,0.8514273636311902
UKCHLL059,0.951374726794722,0.8038400821159685
UKCHLL061,0.9629996950202251,0.839036731447558
UKCHLL062,0.9684703688722891,0.8721461459089439
UKCHLL064,0.9528993649842011,0.8200374441202747
UKCHLL066,0.9201454992322492,0.7461467959884515
UKCHLL067,0.9633448999174506,0.8299246538725564
UKCHLL069,0.9580221874180628,0.7223323203748
UKCHLL070,0.9434171624943634,0.7754252381766786
UKCHLL071,0.9573970987293534,0.8218208226820907
UKCHLL073,0.9656971892595804,0.8319923100779062
UKCHLL075,0.9539482782277318,0.8007089263424161
UKCHLL076,0.9717634862425725,0.8420000112009467
UKCHLL077,0.9568669320674495,0.834316218379818
UKCHLL078,0.954660388965072,0.8022623033359082
UKCHLL080,0.939275698788393,0.7326010537110295
UKCHLL081,0.9564925143335161,0.8203752374254332
UKCHLL082,0.6514553257159873,0.09049693946916793
UKCHLL083,0.9591389903220318,0.8290115818531532
UKCHLL084,0.9623969853417588,0.8453755332714687
UKCHLL086,0.951658811253393,0.7902397287945555
UKCHLL087,0.9695292257572662,0.8434974959778626
UKCHLL089,0.9633702167908534,0.8535255217973158
UKCHLL090,0.9532325666243617,0.8201079294826806
UKCHLL091,0.9571608056213375,0.799489722644523
UKCHLL092,0.962777078739195,0.8395461022097004
UKCHLL093,0.9308470850006283,0.775991557773897
UKCHLL094,0.9669362999046799,0.8726767682100025
UKCHLL095,0.9508550317015981,0.7704217079192553
UKCHLL096,0.9290609395780184,0.7551634389105943
UKCHLL097,0.9570977228413661,0.8170840532281316
UKCHLL098,0.9641329512575622,0.8371379756410063
UKCHLL099,0.9661820316923648,0.8226986191756724
UKCHLL100,0.9727780210779963,0.8600138977788309
UKCHLL101,0.9447346165824442,0.7570125814573628
UKCHLL102,0.9602899188484756,0.8445540998149033
UKCHLL103,0.9350695532142322,0.7606184556825806
UKCHLL104,0.9660911613550405,0.8483132222506446
UKCHLL105,0.9534397847918762,0.7986916072799181
UKCHLL106,0.9630019468355375,0.8134314235023486
UKCHLL107,0.968764424279454,0.8440371225961163
UKCHLL108,0.9710699554387031,0.8600284468692515
UKCHLL109,0.9657323405421764,0.8444562473037012
UKCHLL110,0.950748091025296,0.80999827435344
UKCHLL111,0.9453706602599268,0.7813195509651689
UKCHLL112,0.8338431250412011,0.4759455861314787
UKCHLL113,0.961941843359713,0.8365340877070672
UKCHLL114,0.9055242654333808,0.563971676482831
UKCHLL115,0.9589462120456388,0.8250681899027235
