case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
UKCHLL001,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.9995208329435183,nan,0.9705176983345856,245645169,3942540,133321,102202
UKCHLL001,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.9131410574996469,nan,0.9131078766193339,87273,249719356,4197,12406
UKCHLL001,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.9517815834345064,nan,0.9516958309191299,422552,249357866,7155,35659
UKCHLL001,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,3,liver,0.9749903998218571,nan,0.9746329005820871,3432715,246214411,90850,85256
UKCHLL001,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,0,background,0.9992258731646266,nan,0.9524099220524296,245569220,3873514,209270,171228
UKCHLL001,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,1,pancreas,0.8979132128101892,nan,0.8978744303071571,85304,249718531,6166,13231
UKCHLL001,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,2,kidney,0.9459515543765388,nan,0.9458550692876734,421665,249353382,8042,40143
UKCHLL001,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,3,liver,0.9555895921746306,nan,0.9549543593265065,3366545,246143771,157020,155896
UKCHLL001,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,0,background,0.9993783333069008,nan,0.96243670171398,245535993,3981766,242497,62976
UKCHLL001,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,1,pancreas,0.6907150341556131,nan,0.690572621634146,85036,249662042,6434,69720
UKCHLL001,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,2,kidney,0.9195714004384138,nan,0.9194223861442294,427260,249321233,2447,72292
UKCHLL001,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,3,liver,0.9782082802332269,nan,0.9778944595658147,3469470,246199182,54095,100485
UKCHLL001,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,0,background,0.9993363721594085,nan,0.9593585331877664,245580827,3916240,166544,159621
UKCHLL001,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,1,pancreas,0.917927088903912,nan,0.9178945180461772,90973,249715991,8706,7562
