pair,label,class,mean_case_dsc,mean_case_nsd,mean_case_binary_kappa,micro_dsc,micro_binary_kappa,tp,tn,fp,fn,cases_with_dsc,cases_with_nsd,cases_with_binary_kappa
annotation_1_vs_annotation_2,0,background,0.9996229360115526,nan,0.9729962821447744,0.9996317747433477,0.9992651857075615,21596191607,298679960,10370778,5539607,90,0,90
annotation_1_vs_annotation_2,1,pancreas,0.8980354135535962,nan,0.8979830082788871,0.9047981462712841,0.9998973567866024,10688333,21897844390,620074,1629155,90,0,90
annotation_1_vs_annotation_2,2,kidney,0.9546622295879597,nan,0.9545703084370546,0.9585467503657314,0.999818823504423,46053208,21860745516,1368824,2614404,90,0,90
annotation_1_vs_annotation_2,3,liver,0.9799128998331008,nan,0.9796832355535167,0.9802849112797343,0.9995481670493529,241912145,21659139331,3576983,6153493,90,0,90
annotation_1_vs_annotation_3,0,background,0.9995467724246435,nan,0.9613432412311067,0.9995581870669424,0.9991182535469288,21595299841,296391511,11262544,7828056,90,0,90
annotation_1_vs_annotation_3,1,pancreas,0.8933615855470934,nan,0.8933171296487145,0.9118978662937736,0.999908435831917,10383455,21898392122,924952,1081423,90,0,90
annotation_1_vs_annotation_3,2,kidney,0.950324926877605,nan,0.9502292262406679,0.9563403323446614,0.999808353746661,46147047,21860421416,1274985,2938504,90,0,90
annotation_1_vs_annotation_3,3,liver,0.9666134390208141,nan,0.9663584094408634,0.973752537171913,0.9993996035329842,239831722,21658020920,5657406,7271904,90,0,90
annotation_1_vs_weighted,0,background,0.9990180446550835,nan,0.931073539216146,0.9990141862150528,0.9980320579920011,21585441663,282739841,21120722,21479726,90,0,90
annotation_1_vs_weighted,1,pancreas,0.7462956165243466,nan,0.7461734401416282,0.7629885283833773,0.9997515278465048,8763687,21896573637,2544720,2899908,90,0,90
annotation_1_vs_weighted,2,kidney,0.8821615714323989,nan,0.8818784378726188,0.8790277673448835,0.9994324119123286,45351644,21852947677,2070388,10412243,90,0,90
annotation_1_vs_weighted,3,liver,0.9495242467442774,nan,0.9489875232554007,0.947941571209058,0.9988344223766984,228417048,21657276791,17072080,8016033,90,0,90
annotation_2_vs_annotation_3,0,background,0.9996811289679607,nan,0.9704493778063735,0.9996872623756211,0.9993760601951954,21595673663,301596504,6057551,7454234,90,0,90
annotation_2_vs_annotation_3,1,pancreas,0.9118463743319969,nan,0.9118096282281278,0.9282798860298425,0.9999221623891348,11038346,21898037932,1279142,426532,90,0,90
annotation_2_vs_annotation_3,2,kidney,0.9610418354393363,nan,0.9609771403829277,0.969874151284496,0.9998660619151225,47404133,21860432922,1263479,1681418,90,0,90
annotation_2_vs_annotation_3,3,liver,0.9747618846580672,nan,0.9746030468050458,0.9820053814971844,0.9995862782847278,243129441,21658742129,4936197,3974185,90,0,90
annotation_2_vs_weighted,0,background,0.9990148597814344,nan,0.9309633459102313,0.9990100610775113,0.9980244727359886,21582939338,285068687,18791876,23982051,90,0,90
annotation_2_vs_weighted,1,pancreas,0.7557320088925639,nan,0.755609271140712,0.7716306223534608,0.9997500827723773,9252269,21896053138,3065219,2411326,90,0,90
annotation_2_vs_weighted,2,kidney,0.8820308387141773,nan,0.8817532324177124,0.8814694501320909,0.9994371865346617,46026588,21852377041,2641024,9737299,90,0,90
annotation_2_vs_weighted,3,liver,0.9489619628256667,nan,0.9484185735063643,0.9475831204416456,0.9988202604498948,229551404,21655834637,18514234,6881677,90,0,90
annotation_3_vs_weighted,0,background,0.998946369000086,nan,0.9200165880499694,0.9989442673462818,0.9978929741757758,21582215513,282948179,20912384,24705876,90,0,90
annotation_3_vs_weighted,1,pancreas,0.7396787319081624,nan,0.739559780948806,0.7662130569536519,0.999753240644866,8860669,21896514148,2604209,2802926,90,0,90
annotation_3_vs_weighted,2,kidney,0.8816413714813132,nan,0.8813672602654644,0.8838224960252052,0.9994461621836424,46334146,21852266660,2751405,9429741,90,0,90
annotation_3_vs_weighted,3,liver,0.9359269189392468,nan,0.9353610032358648,0.9410918166343057,0.9986767362632782,227526219,21654771464,19577407,8906862,90,0,90
