case,label,voxel_count,percentage_of_total,total_voxels
word_0002.nii.gz,1,61566526,97.4513105337056,63176704
word_0002.nii.gz,2,1334595,2.1124796254011606,63176704
word_0002.nii.gz,3,269180,0.42607477591740145,63176704
word_0002.nii.gz,4,6403,0.010135064975849326,63176704
word_0003.nii.gz,1,45664742,97.86357665329837,46661632
word_0003.nii.gz,2,858067,1.8389133924848577,46661632
word_0003.nii.gz,3,138234,0.2962476751777563,46661632
word_0003.nii.gz,4,589,0.0012622790390186096,46661632
word_0004.nii.gz,1,50373531,97.54303094699299,51642368
word_0004.nii.gz,2,1047457,2.0282900272892213,51642368
word_0004.nii.gz,3,220690,0.42734291347755393,51642368
word_0004.nii.gz,4,690,0.0013361122402442893,51642368
word_0005.nii.gz,1,48660860,97.69813136050576,49807360
word_0005.nii.gz,2,985176,1.9779727333470394,49807360
word_0005.nii.gz,3,161204,0.3236549778988487,49807360
word_0005.nii.gz,4,120,0.00024092824835526315,49807360
word_0006.nii.gz,1,50230206,97.76174973468392,51380224
word_0006.nii.gz,2,1047151,2.038042885916574,51380224
word_0006.nii.gz,3,102825,0.2001256358866789,51380224
word_0006.nii.gz,4,42,8.174351283482142e-05,51380224
word_0008.nii.gz,1,55788410,98.07184105095226,56885248
word_0008.nii.gz,2,960629,1.6887137417419715,56885248
word_0008.nii.gz,3,135957,0.23900221020395304,56885248
word_0008.nii.gz,4,252,0.0004429971018145161,56885248
word_0009.nii.gz,1,56115069,97.74520560486675,57409536
word_0009.nii.gz,2,1160272,2.0210440300371006,57409536
word_0009.nii.gz,3,134142,0.2336580459385702,57409536
word_0009.nii.gz,4,53,9.231915756992009e-05,57409536
word_0010.nii.gz,1,44102400,97.24699692919076,45350912
word_0010.nii.gz,2,1060915,2.3393465604396226,45350912
word_0010.nii.gz,3,187506,0.4134558528833996,45350912
word_0010.nii.gz,4,91,0.00020065748622651733,45350912
word_0011.nii.gz,1,46627380,97.73040603805374,47710208
word_0011.nii.gz,2,969235,2.031504452883542,47710208
word_0011.nii.gz,3,113568,0.238037109375,47710208
word_0011.nii.gz,4,25,5.239968771462912e-05,47710208
word_0012.nii.gz,1,43580982,97.22120050798382,44826624
word_0012.nii.gz,2,1096021,2.4450224045424434,44826624
word_0012.nii.gz,3,149504,0.333516081871345,44826624
word_0012.nii.gz,4,117,0.0002610056023848684,44826624
word_0013.nii.gz,1,51972915,97.66548607736972,53215232
word_0013.nii.gz,2,1132911,2.1289224107864455,53215232
word_0013.nii.gz,3,109278,0.20535097920835899,53215232
word_0013.nii.gz,4,128,0.0002405326354679803,53215232
word_0018.nii.gz,1,51836524,98.37843102602223,52690944
word_0018.nii.gz,2,782383,1.484852880980838,52690944
word_0018.nii.gz,3,72031,0.13670470584091263,52690944
word_0018.nii.gz,4,6,1.1387156016791045e-05,52690944
word_0020.nii.gz,1,46130031,97.76227951049805,47185920
word_0020.nii.gz,2,933698,1.9787640041775174,47185920
word_0020.nii.gz,3,122149,0.2588674757215712,47185920
word_0020.nii.gz,4,42,8.900960286458333e-05,47185920
word_0022.nii.gz,1,54967355,97.98309290520498,56098816
word_0022.nii.gz,2,1013957,1.8074481286735178,56098816
word_0022.nii.gz,3,117468,0.20939479364412966,56098816
word_0022.nii.gz,4,36,6.41724773656542e-05,56098816
word_0026.nii.gz,1,57068630,97.62311516321293,58458112
word_0026.nii.gz,2,1209658,2.06927312329211,58458112
word_0026.nii.gz,3,179630,0.30727985193911156,58458112
word_0026.nii.gz,4,194,0.0003318615558436099,58458112
word_0027.nii.gz,1,41186206,96.98327617880739,42467328
word_0027.nii.gz,2,1117607,2.631686646261333,42467328
word_0027.nii.gz,3,163450,0.3848841160903742,42467328
word_0027.nii.gz,4,65,0.00015305884090470679,42467328
word_0028.nii.gz,1,48320481,97.52804589649988,49545216
word_0028.nii.gz,2,1094940,2.2099812825520835,49545216
word_0028.nii.gz,3,129748,0.26187795810598546,49545216
word_0028.nii.gz,4,47,9.486284205522487e-05,49545216
word_0029.nii.gz,1,50751898,97.77935683125197,51904512
word_0029.nii.gz,2,1047497,2.0181232028537326,51904512
word_0029.nii.gz,3,105112,0.2025103328203914,51904512
word_0029.nii.gz,4,5,9.633073903093434e-06,51904512
word_0030.nii.gz,1,49773361,97.36938672188,51118080
word_0030.nii.gz,2,1226356,2.3990650666065707,51118080
word_0030.nii.gz,3,118318,0.2314601800380609,51118080
word_0030.nii.gz,4,45,8.803147536057692e-05,51118080
word_0032.nii.gz,1,45791161,97.58626628854421,46923776
word_0032.nii.gz,2,1023594,2.181397336821316,46923776
word_0032.nii.gz,3,109015,0.2323235879397259,46923776
word_0032.nii.gz,4,6,1.2786694745111732e-05,46923776
word_0036.nii.gz,1,47501035,97.42046684347173,48758784
word_0036.nii.gz,2,1151019,2.3606392645066783,48758784
word_0036.nii.gz,3,106580,0.2185862551453293,48758784
word_0036.nii.gz,4,150,0.00030763687626008063,48758784
word_0038.nii.gz,1,49466990,94.35079574584961,52428800
word_0038.nii.gz,2,2244305,4.280672073364258,52428800
word_0038.nii.gz,3,715791,1.3652629852294922,52428800
word_0038.nii.gz,4,1714,0.003269195556640625,52428800
word_0040.nii.gz,1,41146487,97.49154748383516,42205184
word_0040.nii.gz,2,902069,2.1373417066491167,42205184
word_0040.nii.gz,3,156435,0.3706535197192838,42205184
word_0040.nii.gz,4,193,0.0004572897964382764,42205184
word_0041.nii.gz,1,45417567,97.8837675967459,46399488
word_0041.nii.gz,2,844831,1.8207765568447651,46399488
word_0041.nii.gz,3,136641,0.2944881633176642,46399488
word_0041.nii.gz,4,449,0.0009676830916754943,46399488
word_0042.nii.gz,1,40400876,96.92900075852496,41680896
word_0042.nii.gz,2,1105242,2.651675242298054,41680896
word_0042.nii.gz,3,174585,0.4188609573076356,41680896
word_0042.nii.gz,4,193,0.00046304186934944966,41680896
word_0044.nii.gz,1,51285991,97.82026481628418,52428800
word_0044.nii.gz,2,1024295,1.9536876678466797,52428800
word_0044.nii.gz,3,118311,0.2256603240966797,52428800
word_0044.nii.gz,4,203,0.0003871917724609375,52428800
word_0046.nii.gz,1,46528197,97.52251970898975,47710208
word_0046.nii.gz,2,1038820,2.177353743668441,47710208
word_0046.nii.gz,3,143054,0.29983939705314216,47710208
word_0046.nii.gz,4,137,0.00028715028867616757,47710208
word_0047.nii.gz,1,51180096,97.6182861328125,52428800
word_0047.nii.gz,2,1145428,2.1847305297851562,52428800
word_0047.nii.gz,3,103274,0.19697952270507812,52428800
word_0047.nii.gz,4,2,3.814697265625e-06,52428800
word_0049.nii.gz,1,48789187,97.44292054500879,50069504
word_0049.nii.gz,2,1158743,2.3142689809749264,50069504
word_0049.nii.gz,3,121546,0.2427545517526996,50069504
word_0049.nii.gz,4,28,5.592226357984293e-05,50069504
word_0051.nii.gz,1,41489736,97.6980138708044,42467328
word_0051.nii.gz,2,863011,2.032176359200183,42467328
word_0051.nii.gz,3,114405,0.2693953337492766,42467328
word_0051.nii.gz,4,176,0.0004144362461419753,42467328
word_0053.nii.gz,1,85016808,98.27678333629261,86507520
word_0053.nii.gz,2,1295207,1.4972189700964726,86507520
word_0053.nii.gz,3,194822,0.22520816687381628,86507520
word_0053.nii.gz,4,683,0.0007895267370975379,86507520
word_0055.nii.gz,1,51361556,97.96439361572266,52428800
word_0055.nii.gz,2,957281,1.8258686065673828,52428800
word_0055.nii.gz,3,109820,0.20946502685546875,52428800
word_0055.nii.gz,4,143,0.0002727508544921875,52428800
word_0056.nii.gz,1,56941416,98.2869972470659,57933824
word_0056.nii.gz,2,881727,1.5219554642206943,57933824
word_0056.nii.gz,3,110641,0.1909782444190116,57933824
word_0056.nii.gz,4,40,6.904429440045249e-05,57933824
word_0058.nii.gz,1,50535241,97.85616530984791,51642368
word_0058.nii.gz,2,937290,1.8149632487805363,51642368
word_0058.nii.gz,3,169790,0.32878043082764913,51642368
word_0058.nii.gz,4,47,9.101054390069797e-05,51642368
word_0059.nii.gz,1,52981563,97.63701618581578,54263808
word_0059.nii.gz,2,1166855,2.15033747723713,54263808
word_0059.nii.gz,3,115315,0.21250812327804197,54263808
word_0059.nii.gz,4,75,0.00013821366904438406,54263808
word_0061.nii.gz,1,58102388,98.50800916883681,58982400
word_0061.nii.gz,2,805152,1.3650716145833333,58982400
word_0061.nii.gz,3,74853,0.1269073486328125,58982400
word_0061.nii.gz,4,7,1.1867947048611111e-05,58982400
word_0062.nii.gz,1,57212818,97.86976698802725,58458112
word_0062.nii.gz,2,1084202,1.8546647555090388,58458112
word_0062.nii.gz,3,161033,0.27546732949569086,58458112
word_0062.nii.gz,4,59,0.00010092696801429373,58458112
word_0063.nii.gz,1,42834941,97.8457079676097,43778048
word_0063.nii.gz,2,814143,1.8597060334896613,43778048
word_0063.nii.gz,3,128457,0.2934278842217908,43778048
word_0063.nii.gz,4,507,0.001158114678845434,43778048
word_0064.nii.gz,1,57208353,97.86212904036313,58458112
word_0064.nii.gz,2,1141886,1.9533405389486407,58458112
word_0064.nii.gz,3,107856,0.18450134003643498,58458112
word_0064.nii.gz,4,17,2.90806518007287e-05,58458112
word_0065.nii.gz,1,61372740,97.54934310913086,62914560
word_0065.nii.gz,2,1393378,2.214714686075846,62914560
word_0065.nii.gz,3,148380,0.23584365844726562,62914560
word_0065.nii.gz,4,62,9.854634602864583e-05,62914560
word_0067.nii.gz,1,53871168,97.39440628702607,55312384
word_0067.nii.gz,2,1273974,2.3032346607949497,55312384
word_0067.nii.gz,3,167186,0.3022578090288063,55312384
word_0067.nii.gz,4,56,0.00010124315017772512,55312384
word_0068.nii.gz,1,50833635,98.43397382552249,51642368
word_0068.nii.gz,2,713815,1.382227476478228,51642368
word_0068.nii.gz,3,94833,0.1836341044624445,51642368
word_0068.nii.gz,4,85,0.00016459353684168782,51642368
word_0070.nii.gz,1,45958952,96.86159587038156,47448064
word_0070.nii.gz,2,1296642,2.732760603256647,47448064
word_0070.nii.gz,3,192404,0.4055044269034876,47448064
word_0070.nii.gz,4,66,0.00013909945830455802,47448064
word_0071.nii.gz,1,51792566,97.80839599005067,52953088
word_0071.nii.gz,2,1011861,1.9108630643032565,52953088
word_0071.nii.gz,3,148606,0.28063708012646965,52953088
word_0071.nii.gz,4,55,0.00010386551960860149,52953088
word_0072.nii.gz,1,88686848,98.63366663629738,89915392
word_0072.nii.gz,2,1066429,1.1860360904615752,89915392
word_0072.nii.gz,3,161982,0.18014935640829993,89915392
word_0072.nii.gz,4,133,0.0001479168327487245,89915392
word_0073.nii.gz,1,54965660,97.07284856725622,56623104
word_0073.nii.gz,2,1540855,2.721247849641023,56623104
word_0073.nii.gz,3,116535,0.20580821567111546,56623104
word_0073.nii.gz,4,54,9.5367431640625e-05,56623104
word_0078.nii.gz,1,46609836,97.15978903848617,47972352
word_0078.nii.gz,2,1191435,2.483586795994493,47972352
word_0078.nii.gz,3,171039,0.356536615090292,47972352
word_0078.nii.gz,4,42,8.755042904713114e-05,47972352
word_0079.nii.gz,1,43785068,97.67647904959338,44826624
word_0079.nii.gz,2,928597,2.0715300799810397,44826624
word_0079.nii.gz,3,112718,0.2514532435010051,44826624
word_0079.nii.gz,4,241,0.0005376269245705409,44826624
word_0081.nii.gz,1,55066310,98.15948700236383,56098816
word_0081.nii.gz,2,902502,1.608771921318268,56098816
word_0081.nii.gz,3,129966,0.23167333870290596,56098816
word_0081.nii.gz,4,38,6.773761499707945e-05,56098816
word_0082.nii.gz,1,56528314,98.46502504392302,57409536
word_0082.nii.gz,2,790358,1.3767015988423945,57409536
word_0082.nii.gz,3,90832,0.1582176173658676,57409536
word_0082.nii.gz,4,32,5.5739868721461184e-05,57409536
word_0084.nii.gz,1,53958315,98.01649366106305,55050240
word_0084.nii.gz,2,983431,1.786424546014695,55050240
word_0084.nii.gz,3,108362,0.19684201195126488,55050240
word_0084.nii.gz,4,132,0.00023978097098214285,55050240
word_0086.nii.gz,1,47430485,97.27577496600408,48758784
word_0086.nii.gz,2,1159813,2.3786749891055528,48758784
word_0086.nii.gz,3,168412,0.34539827736475137,48758784
word_0086.nii.gz,4,74,0.00015176752562163977,48758784
word_0087.nii.gz,1,51776307,97.77769145399037,52953088
word_0087.nii.gz,2,1057672,1.99737548828125,52953088
word_0087.nii.gz,3,118283,0.22337318647025836,52953088
word_0087.nii.gz,4,826,0.001559871258121906,52953088
word_0089.nii.gz,1,43478967,96.42970728319744,45088768
word_0089.nii.gz,2,1450373,3.2167057658350746,45088768
word_0089.nii.gz,3,159419,0.3535669903422511,45088768
