case,label,structure,total_gt_voxels,correct_4_voxels,correct_3_voxels,correct_2_voxels,correct_1_voxels,correct_0_voxels,correct_4_percent,correct_3_percent,correct_2_percent,correct_1_percent,correct_0_percent,suprem3_agree_swin5050_disagrees_voxels,suprem3_agree_swin5050_disagrees_percent,suprem3_correct_swin5050_wrong_voxels,suprem3_correct_swin5050_wrong_percent
word_0002.nii.gz,1,liver,698527,638479,16769,11120,10940,21219,91.403625,2.400623,1.591921,1.566153,3.037678,12004,1.718473,10224,1.463651
word_0002.nii.gz,2,spleen,119542,52072,58782,1811,1762,5115,43.559586,49.172676,1.514949,1.473959,4.278831,58488,48.926737,58262,48.737682
word_0002.nii.gz,3,left_kidney,68382,0,11583,41927,7686,7186,0.0,16.938668,61.312919,11.2398,10.508613,14975,21.899038,11583,16.938668
word_0002.nii.gz,4,right_kidney,68951,56822,7697,1208,829,2395,82.409247,11.163,1.751969,1.202303,3.473481,7599,11.02087,7595,11.015069
word_0002.nii.gz,5,stomach,186397,154230,17563,3228,3293,8083,82.742748,9.422362,1.731788,1.766659,4.336443,15961,8.562906,15444,8.285541
word_0002.nii.gz,6,gallbladder,9918,8521,423,181,218,575,85.914499,4.264973,1.824965,2.198024,5.79754,156,1.572898,151,1.522484
word_0002.nii.gz,7,esophagus,10488,4748,2998,571,399,1772,45.270786,28.58505,5.444317,3.804348,16.8955,2984,28.451564,2832,27.002288
word_0002.nii.gz,8,pancreas,34611,2655,24776,2579,1231,3370,7.670972,71.584178,7.451388,3.556673,9.736789,24082,69.579036,24022,69.40568
word_0002.nii.gz,9,duodenum,32238,0,16990,9880,2560,2808,0.0,52.701781,30.647062,7.940939,8.710218,17160,53.229109,16990,52.701781
word_0002.nii.gz,10,colon,338916,0,308765,7623,5472,17056,0.0,91.103695,2.24923,1.614559,5.032515,309401,91.291352,308765,91.103695
word_0002.nii.gz,11,intestine,332169,0,301505,10435,5726,14503,0.0,90.768555,3.141473,1.723821,4.366151,301934,90.897706,301505,90.768555
word_0002.nii.gz,12,adrenal,3040,1210,691,300,312,527,39.802632,22.730263,9.868421,10.263158,17.335526,626,20.592105,623,20.493421
word_0002.nii.gz,13,rectum,10599,0,9680,358,310,251,0.0,91.329371,3.377677,2.924804,2.368148,9680,91.329371,9680,91.329371
word_0002.nii.gz,14,bladder,45008,0,40315,1075,849,2769,0.0,89.572965,2.388464,1.886331,6.15224,40345,89.63962,40315,89.572965
word_0002.nii.gz,15,head_of_femur_left,54767,0,44416,4877,2164,3310,0.0,81.099932,8.904998,3.951285,6.043785,44416,81.099932,44416,81.099932
word_0002.nii.gz,16,head_of_femur_right,54916,0,50473,1749,888,1806,0.0,91.909462,3.184864,1.617015,3.288659,50473,91.909462,50473,91.909462
word_0003.nii.gz,1,liver,353845,332464,6892,3608,4186,6695,93.957524,1.947745,1.019655,1.183004,1.892071,3687,1.041982,2855,0.80685
word_0003.nii.gz,2,spleen,39644,35900,1064,633,750,1297,90.555948,2.683887,1.596711,1.891837,3.271617,668,1.684996,618,1.558874
word_0003.nii.gz,3,left_kidney,40539,27015,10492,1429,540,1063,66.639532,25.88125,3.525001,1.332051,2.622166,9609,23.703101,9567,23.599497
word_0003.nii.gz,4,right_kidney,35250,30532,2477,947,405,889,86.615603,7.02695,2.686525,1.148936,2.521986,2345,6.652482,2218,6.292199
word_0003.nii.gz,5,stomach,73945,19133,46674,3647,1533,2958,25.874637,63.119886,4.932044,2.073162,4.00027,46757,63.232132,46370,62.70877
word_0003.nii.gz,6,gallbladder,3821,2816,370,201,161,273,73.697985,9.683329,5.260403,4.213557,7.144727,285,7.45878,197,5.155718
word_0003.nii.gz,7,esophagus,3035,1156,1187,257,161,274,38.088962,39.110379,8.467875,5.304778,9.028007,1184,39.011532,1153,37.990115
word_0003.nii.gz,8,pancreas,18055,12930,2268,1024,594,1239,71.614511,12.561617,5.671559,3.289947,6.862365,2279,12.622542,1907,10.562171
word_0003.nii.gz,9,duodenum,36151,0,9368,19624,3178,3981,0.0,25.913529,54.283422,8.790905,11.012144,9736,26.931482,9368,25.913529
word_0003.nii.gz,10,colon,215834,0,170527,19564,9932,15811,0.0,79.008405,9.064374,4.601685,7.325537,174141,80.68284,170527,79.008405
word_0003.nii.gz,11,intestine,252237,0,208918,21689,7941,13689,0.0,82.826072,8.598659,3.14823,5.427039,212199,84.126833,208918,82.826072
word_0003.nii.gz,12,adrenal,1390,204,656,160,129,241,14.676259,47.194245,11.510791,9.280576,17.338129,655,47.122302,643,46.258993
word_0003.nii.gz,13,rectum,23644,0,14003,6445,1465,1731,0.0,59.224328,27.258501,6.196075,7.321096,14039,59.376586,14003,59.224328
word_0003.nii.gz,14,bladder,81219,0,73411,2876,1742,3190,0.0,90.386486,3.541043,2.144818,3.927652,73481,90.472673,73411,90.386486
word_0003.nii.gz,15,head_of_femur_left,33885,0,27700,5169,623,393,0.0,81.747086,15.254537,1.838572,1.159805,27700,81.747086,27700,81.747086
word_0003.nii.gz,16,head_of_femur_right,36665,0,34995,566,285,819,0.0,95.445248,1.543707,0.777308,2.233738,34995,95.445248,34995,95.445248
word_0004.nii.gz,1,liver,314273,293898,8384,4277,3497,4217,93.516783,2.667744,1.360919,1.112727,1.341827,4885,1.554381,4416,1.405148
word_0004.nii.gz,2,spleen,41966,37808,1073,877,1124,1084,90.091979,2.556832,2.089787,2.678359,2.583043,624,1.486918,512,1.220035
word_0004.nii.gz,3,left_kidney,43045,35792,3296,1334,869,1754,83.150192,7.657103,3.099082,2.018818,4.074805,2939,6.827738,2900,6.737136
word_0004.nii.gz,4,right_kidney,39557,35362,1500,974,575,1146,89.39505,3.791996,2.46227,1.453599,2.897085,1296,3.276285,1265,3.197917
word_0004.nii.gz,5,stomach,173806,17985,92059,22683,13996,27083,10.347744,52.966526,13.050758,8.052656,15.582316,92840,53.415877,90726,52.199579
word_0004.nii.gz,6,gallbladder,1697,482,466,199,143,407,28.403064,27.460224,11.726576,8.426635,23.9835,493,29.051267,465,27.401296
word_0004.nii.gz,7,esophagus,8040,4998,1457,513,494,578,62.164179,18.121891,6.380597,6.144279,7.189055,1335,16.604478,1312,16.318408
word_0004.nii.gz,8,pancreas,19206,6952,8116,1372,1074,1692,36.197022,42.257628,7.143601,5.592002,8.809747,8255,42.98136,7960,41.445382
word_0004.nii.gz,9,duodenum,24327,0,9981,5784,2811,5751,0.0,41.028487,23.776051,11.555062,23.6404,12944,53.208369,9981,41.028487
word_0004.nii.gz,10,colon,430930,0,282377,53422,36368,58763,0.0,65.527348,12.396909,8.439422,13.636321,296888,68.894716,282377,65.527348
