case,total_gt_voxels,correct_4_voxels,correct_3_voxels,correct_2_voxels,correct_1_voxels,correct_0_voxels,correct_4_percent,correct_3_percent,correct_2_percent,correct_1_percent,correct_0_percent,suprem3_agree_swin5050_disagrees_voxels,suprem3_agree_swin5050_disagrees_percent,suprem3_correct_swin5050_wrong_voxels,suprem3_correct_swin5050_wrong_percent
word_0002.nii.gz,2068469,918737,913426,98922,44639,92745,44.416281,44.159521,4.782378,2.15807,4.483751,910284,44.007621,902880,43.649675
word_0003.nii.gz,1249159,462150,611002,87839,33625,54543,36.996892,48.913069,7.031851,2.691811,4.366378,613760,49.133857,604450,48.388556
word_0004.nii.gz,1632787,434282,809656,136865,92451,159533,26.597591,49.587362,8.382294,5.662159,9.770595,848069,51.939965,802812,49.168201
word_0005.nii.gz,1796993,728345,765164,113672,57831,131981,40.531321,42.580244,6.325679,3.21821,7.344547,774450,43.096996,757320,42.143737
word_0006.nii.gz,1702003,823962,667508,61283,40542,108708,48.411313,39.218967,3.60064,2.382017,6.387063,687034,40.366204,658830,38.709097
word_0008.nii.gz,1253203,406416,643368,89986,42098,71335,32.430181,51.337892,7.180481,3.359232,5.692214,648388,51.738465,636565,50.795043
word_0009.nii.gz,1949250,948411,800097,74085,46811,79846,48.655175,41.046402,3.800693,2.401488,4.096242,810895,41.600359,790371,40.547441
word_0010.nii.gz,1628647,530734,758814,108844,72685,157570,32.587418,46.59168,6.683093,4.462907,9.674902,803778,49.352499,752837,46.224688
word_0011.nii.gz,1594755,786655,648479,57653,37826,64142,49.32764,40.663237,3.615163,2.3719,4.02206,660096,41.391687,640611,40.169869
word_0012.nii.gz,1631038,526353,853813,96904,51084,102884,32.271045,52.34783,5.941247,3.131993,6.307885,860197,52.739237,846300,51.887203
word_0013.nii.gz,2001350,909413,910936,64611,46230,70160,45.439978,45.516077,3.228371,2.309941,3.505634,910134,45.476004,901070,45.023109
word_0018.nii.gz,1177557,553173,507495,36208,28416,52265,46.976325,43.097277,3.074841,2.413132,4.438426,505674,42.942635,501397,42.579425
word_0020.nii.gz,1297429,436914,683905,73642,43342,59626,33.675369,52.712326,5.675995,3.340607,4.595704,689117,53.114043,677999,52.257118
word_0022.nii.gz,1543202,661946,692469,73955,44677,70155,42.89432,44.87222,4.792308,2.895084,4.546067,693602,44.945639,685612,44.427884
word_0026.nii.gz,1744761,640368,814698,101222,68189,120284,36.702333,46.69396,5.801482,3.908214,6.89401,827195,47.410218,807795,46.298318
word_0027.nii.gz,1596532,485804,830951,105753,63796,110228,30.428704,52.04725,6.62392,3.995911,6.904215,849160,53.187785,825328,51.695049
word_0028.nii.gz,1565929,572773,785372,74742,42143,90899,36.577201,50.153743,4.773013,2.691246,5.804797,806892,51.528007,777537,49.653401
word_0029.nii.gz,1762409,737718,843514,69292,44250,67635,41.858502,47.861421,3.931664,2.510768,3.837645,839365,47.626005,834137,47.329366
word_0030.nii.gz,2054072,850325,901708,64077,52640,185322,41.39704,43.898559,3.119511,2.562714,9.022176,959179,46.696464,889752,43.316495
word_0032.nii.gz,1571527,582142,811776,66879,41548,69182,37.04308,51.655237,4.25567,2.643798,4.402215,825285,52.514847,806089,51.29336
word_0036.nii.gz,1635415,586967,869580,59095,39039,80734,35.891012,53.171825,3.613456,2.387101,4.936606,882810,53.980794,863956,52.827937
word_0038.nii.gz,3084271,1051492,1249171,319544,146053,318011,34.092076,40.501337,10.360438,4.735414,10.310735,1230923,39.90969,1184912,38.417895
word_0040.nii.gz,1395915,488243,618728,88487,63509,136948,34.976557,44.324189,6.338996,4.549632,9.810626,653007,46.779854,610108,43.706673
word_0041.nii.gz,1286892,467136,620500,80300,49353,69603,36.29955,48.216944,6.23984,3.835054,5.408612,635370,49.372442,614026,47.713872
word_0042.nii.gz,1758334,593508,919776,105415,64214,75421,33.753997,52.309516,5.995164,3.65198,4.289344,923925,52.545478,913870,51.97363
word_0044.nii.gz,1374920,391932,765021,75406,47309,95252,28.505804,55.641128,5.484392,3.440855,6.927821,774036,56.296803,759843,55.264524
word_0046.nii.gz,1616351,557052,849277,97526,41217,71279,34.463554,52.542857,6.033714,2.550003,4.409871,852442,52.738669,845550,52.312276
word_0047.nii.gz,1868076,795190,865909,69711,49515,87751,42.567326,46.352986,3.7317,2.650588,4.6974,863065,46.200743,857792,45.918474
word_0049.nii.gz,1678833,650351,831718,71167,44425,81172,38.738278,49.541437,4.239076,2.646183,4.835025,834497,49.706969,819355,48.805033
word_0051.nii.gz,1165916,413392,575218,64998,38141,74167,35.456414,49.336144,5.574844,3.271333,6.361264,581126,49.84287,567813,48.701021
word_0053.nii.gz,1616203,760140,592768,99616,47569,116110,47.032458,36.676581,6.163582,2.943257,7.184122,597767,36.985886,583661,36.1131
word_0055.nii.gz,1525453,666308,701240,72875,33699,51331,43.679353,45.969296,4.777269,2.209114,3.364968,702338,46.041274,693618,45.469641
word_0056.nii.gz,1381680,531228,612883,69437,49449,118683,38.447976,44.357811,5.025549,3.578904,8.58976,623029,45.092134,606086,43.865873
word_0058.nii.gz,1469002,531726,657865,121997,53272,104142,36.196411,44.783125,8.304754,3.626408,7.089303,682616,46.46801,650800,44.302186
word_0059.nii.gz,1715295,635560,855870,76019,44105,103741,37.052519,49.896374,4.431832,2.571278,6.047998,860207,50.149216,849735,49.538709
word_0061.nii.gz,1163894,475097,487208,44636,35484,121469,40.819611,41.860169,3.835057,3.048731,10.436431,504618,43.35601,480927,41.320515
word_0062.nii.gz,1634074,679332,706511,91167,46208,110856,41.572903,43.236169,5.579123,2.827779,6.784026,746119,45.66005,700367,42.860176
word_0063.nii.gz,1353242,573046,576467,89800,42278,71651,42.346158,42.598959,6.635916,3.124201,5.294766,575474,42.525579,570166,42.133336
word_0064.nii.gz,1692869,640988,833812,65004,41206,111859,37.864005,49.254372,3.839872,2.434093,6.607658,841322,49.697998,823028,48.617347
word_0065.nii.gz,2124347,888282,1029415,91674,44318,70658,41.814355,48.45795,4.315397,2.086194,3.326104,1026714,48.330805,1018396,47.939249
word_0067.nii.gz,2003485,785820,915394,118414,63436,120421,39.222655,45.690085,5.910401,3.166283,6.010577,911403,45.490882,903397,45.091278
word_0068.nii.gz,1160886,598559,411870,45843,30943,73671,51.560532,35.478936,3.948967,2.665464,6.346101,431663,37.183927,405978,34.971393
word_0070.nii.gz,2030661,639900,973641,125848,76763,214509,31.511907,47.946999,6.197391,3.780198,10.563506,1038759,51.153738,966179,47.579532
word_0071.nii.gz,1640606,655115,746456,103251,55617,80167,39.931281,45.498797,6.293467,3.390028,4.886426,753806,45.946803,739999,45.105223
word_0072.nii.gz,1786919,944391,651368,63728,41843,85589,52.850241,36.452016,3.566362,2.341628,4.789753,657232,36.780179,642833,35.974378
word_0073.nii.gz,2452994,1011027,1177886,75328,56579,132174,41.21604,48.018299,3.07086,2.306528,5.388272,1172540,47.800362,1163280,47.422864
word_0078.nii.gz,1983648,679025,867295,103206,87759,246363,34.231124,43.722223,5.202838,4.424122,12.419693,957096,48.249286,858351,43.271336
word_0079.nii.gz,1545436,557102,647444,73832,67749,199309,36.048209,41.893938,4.777422,4.383811,12.896619,674608,43.65163,630832,40.819031
word_0081.nii.gz,1449202,612989,624645,81848,45622,84098,42.298382,43.102687,5.647798,3.148077,5.803056,632746,43.661684,617092,42.581503
word_0082.nii.gz,1372994,659643,504802,48141,39772,120636,48.044128,36.766512,3.506279,2.896735,8.786346,531477,38.709346,495977,36.123756
word_0084.nii.gz,1715342,818427,636205,61449,59843,139418,47.712176,37.089105,3.582318,3.488692,8.127709,638640,37.231059,626606,36.529508
word_0086.nii.gz,1765334,614588,900684,112403,53616,84043,34.814262,51.0206,6.367237,3.037159,4.760742,914491,51.802718,894798,50.687179
word_0087.nii.gz,1474586,492543,783275,76299,47394,75075,33.402121,53.118299,5.174266,3.214055,5.09126,779385,52.854496,775027,52.558956
word_0089.nii.gz,2098433,681210,1100020,91301,72006,153896,32.462795,52.421021,4.350913,3.431418,7.333853,1117797,53.268177,1092032,52.040356
word_0090.nii.gz,1327413,358924,749494,89183,45312,84500,27.039362,56.462759,6.718557,3.413557,6.365766,756690,57.004866,743965,56.046234
word_0091.nii.gz,1598711,749755,628542,78323,54100,87991,46.897469,39.315549,4.899134,3.383976,5.503872,638345,39.92873,621318,38.863685
word_0093.nii.gz,1461335,641410,612876,78062,47865,81122,43.892058,41.939459,5.341828,3.27543,5.551225,614812,42.071941,606489,41.502393
word_0094.nii.gz,1394123,584120,491030,122717,76253,120003,41.898742,35.221426,8.802451,5.469603,8.607777,504095,36.158574,484734,34.769816
word_0095.nii.gz,1663921,329648,1053837,119297,57497,103642,19.811517,63.334557,7.169631,3.455513,6.228781,1055471,63.432759,1040789,62.550386
word_0096.nii.gz,1177451,590367,490634,37653,21933,36864,50.139411,41.669165,3.19784,1.862753,3.130831,490572,41.663899,485686,41.248935
word_0100.nii.gz,1545596,563548,774387,64561,40945,102155,36.461533,50.102808,4.177094,2.64914,6.609424,801766,51.874228,768311,49.709691
word_0101.nii.gz,2156252,922690,944158,108426,55828,125150,42.791381,43.786997,5.028448,2.589122,5.804053,940329,43.60942,934520,43.340018
word_0102.nii.gz,1535396,575484,694233,125115,51105,89459,37.481145,45.215241,8.148712,3.328457,5.826445,706955,46.043822,685041,44.616568
word_0104.nii.gz,1178374,525814,431368,84220,48635,88337,44.621996,36.607053,7.147137,4.127297,7.496516,446110,37.858099,422647,35.866966
word_0105.nii.gz,1923028,560419,837041,103315,91535,330718,29.142529,43.527239,5.372517,4.759941,17.197774,885359,46.039839,826470,42.977533
word_0106.nii.gz,1346207,637137,488580,72919,46776,100795,47.328308,36.293081,5.416626,3.474651,7.487333,489801,36.383781,480260,35.675048
word_0107.nii.gz,1325742,372836,744674,70027,48508,89697,28.122817,56.170356,5.282099,3.658932,6.765796,766112,57.787413,740407,55.848498
