label,structure,case_count,cases_with_structure,total_gt_voxels,correct_4_voxels,correct_3_voxels,correct_2_voxels,correct_1_voxels,correct_0_voxels,correct_4_percent,correct_3_percent,correct_2_percent,correct_1_percent,correct_0_percent,suprem3_agree_swin5050_disagrees_voxels,suprem3_agree_swin5050_disagrees_percent,suprem3_correct_swin5050_wrong_voxels,suprem3_correct_swin5050_wrong_percent
1,liver,100,100,44671648,40273038,1770887,637740,769342,1220641,90.153464,3.96423,1.427617,1.722215,2.732474,1207033,2.702011,1055372,2.36251
2,spleen,100,100,7811241,6058594,1069701,205473,200257,277216,77.562503,13.69438,2.630478,2.563703,3.548937,970835,12.428691,955881,12.237249
3,left_kidney,100,100,5645344,4087286,991001,197528,107435,262094,72.401009,17.554307,3.498954,1.903073,4.642658,949949,16.827123,933751,16.540197
4,right_kidney,100,100,5406310,4161510,812765,134562,71888,225585,76.975053,15.033637,2.48898,1.329705,4.172624,794510,14.695976,788468,14.584217
5,stomach,100,100,14940748,7720994,5635078,464824,355404,764448,51.677426,37.716171,3.111116,2.378756,5.116531,5629142,37.67644,5552581,37.164009
6,gallbladder,100,100,518029,329463,73807,28370,23241,63148,63.599335,14.247658,5.476527,4.486428,12.190051,70167,13.544995,61110,11.796637
7,esophagus,100,100,515401,254567,121956,39913,30832,68133,49.392027,23.662352,7.744067,5.982138,13.219416,112899,21.90508,106251,20.61521
8,pancreas,100,100,3008328,1277434,1048126,201965,155432,325371,42.463255,34.840815,6.71353,5.166724,10.815676,1079750,35.89203,1011183,33.612791
9,duodenum,100,100,2653560,0,1546145,415247,215811,476357,0.0,58.266819,15.648676,8.132886,17.95162,1677521,63.217753,1546145,58.266819
10,colon,100,100,26400340,0,20419866,1842822,1282716,2854936,0.0,77.346981,6.980296,4.85871,10.814012,21299387,80.678457,20419866,77.346981
11,intestine,100,100,34863750,0,27483827,2667865,1431429,3280629,0.0,78.832102,7.652261,4.10578,9.409857,28167788,80.793913,27483827,78.832102
12,adrenal,100,100,363722,122513,91725,26810,29572,93102,33.683143,25.218436,7.371014,8.130385,25.597022,92035,25.303666,87153,23.961432
13,rectum,100,100,2187539,0,1469464,239783,144015,334277,0.0,67.1743,10.961313,6.583425,15.280962,1524132,69.673364,1469464,67.1743
14,bladder,100,100,8429042,0,7076222,761625,205461,385734,0.0,83.950489,9.035724,2.437537,4.57625,7094667,84.169316,7076222,83.950489
15,head_of_femur_left,100,100,5036542,0,3449980,1002020,258817,325725,0.0,68.498982,19.894999,5.138784,6.467235,3449996,68.4993,3449980,68.498982
16,head_of_femur_right,100,100,5109982,0,4449262,188741,147801,324178,0.0,87.070013,3.693575,2.892398,6.344015,4449262,87.070013,4449262,87.070013
