case,word_label,class,dsc,nsd,tp,fp,fn
word_0002.nii.gz,1,liver,0.8829168160400215,0.5842345568183759,651420,125662,47107
word_0002.nii.gz,2,spleen,0.5961582707167749,0.46539415919566374,53118,5541,66424
word_0002.nii.gz,3,left_kidney,0.0,0.0010676812985504014,0,2786,68382
word_0002.nii.gz,4,right_kidney,0.8775304189687989,0.6987106083799823,56939,3881,12012
word_0002.nii.gz,5,stomach,0.8855227972785431,0.5545110020541865,156966,11153,29431
word_0002.nii.gz,6,gallbladder,0.5963901818303586,0.45711636875115563,8905,11040,1013
word_0002.nii.gz,7,esophagus,0.6330774944293142,0.5601541420725477,5114,554,5374
word_0002.nii.gz,8,pancreas,0.17277473955111233,0.15072133861040896,3491,2309,31120
word_0002.nii.gz,9,duodenum,0.0,nan,0,0,32238
word_0002.nii.gz,10,colon,0.0,nan,0,0,338916
word_0002.nii.gz,11,intestine,0.0,nan,0,0,332169
word_0002.nii.gz,12,adrenal,0.5352400408580184,0.6062166656818072,1310,545,1730
word_0002.nii.gz,13,rectum,0.0,nan,0,0,10599
word_0002.nii.gz,14,bladder,0.0,nan,0,0,45008
word_0002.nii.gz,15,head_of_femur_left,0.0,nan,0,0,54767
word_0002.nii.gz,16,head_of_femur_right,0.0,nan,0,0,54916
word_0003.nii.gz,1,liver,0.9475316279609489,0.7401590004172003,338870,22554,14975
word_0003.nii.gz,2,spleen,0.8480512844335021,0.6497767745816476,36512,9952,3132
word_0003.nii.gz,3,left_kidney,0.8074525197714022,0.6493734413274108,27975,778,12564
word_0003.nii.gz,4,right_kidney,0.908381150848975,0.8140619873809275,30949,1942,4301
word_0003.nii.gz,5,stomach,0.3677796824923604,0.22175953394044295,19738,13653,54207
word_0003.nii.gz,6,gallbladder,0.7802128991859737,0.7518785849740068,3115,1049,706
word_0003.nii.gz,7,esophagus,0.4960098219766728,0.47822289649838684,1212,640,1823
word_0003.nii.gz,8,pancreas,0.7496982332930978,0.6763568694091516,13664,4733,4391
word_0003.nii.gz,9,duodenum,0.0,nan,0,0,36151
word_0003.nii.gz,10,colon,0.0,nan,0,0,215834
word_0003.nii.gz,11,intestine,0.0,nan,0,0,252237
word_0003.nii.gz,12,adrenal,0.26795413397706697,0.34433495713984713,222,45,1168
word_0003.nii.gz,13,rectum,0.0,nan,0,0,23644
word_0003.nii.gz,14,bladder,0.0,nan,0,0,81219
word_0003.nii.gz,15,head_of_femur_left,0.0,nan,0,0,33885
word_0003.nii.gz,16,head_of_femur_right,0.0,nan,0,0,36665
word_0004.nii.gz,1,liver,0.9475067022439523,0.7466525781471609,300768,19821,13505
word_0004.nii.gz,2,spleen,0.9019334610695001,0.7456162279167388,38835,5314,3131
word_0004.nii.gz,3,left_kidney,0.9084710070445486,0.754155502047587,36238,495,6807
word_0004.nii.gz,4,right_kidney,0.9357706732408403,0.8545529612191627,35680,1021,3877
word_0004.nii.gz,5,stomach,0.21588974462910418,0.17835858068931035,21304,2250,152502
word_0004.nii.gz,6,gallbladder,0.27422507679419156,0.2117863869563055,491,1393,1206
word_0004.nii.gz,7,esophagus,0.7369688385269122,0.6807394570469842,5203,877,2837
word_0004.nii.gz,8,pancreas,0.5303782114896901,0.48256634262680115,7215,786,11991
word_0004.nii.gz,9,duodenum,0.0,nan,0,0,24327
word_0004.nii.gz,10,colon,0.0,nan,0,0,430930
word_0004.nii.gz,11,intestine,0.0,nan,0,0,387849
word_0004.nii.gz,12,adrenal,0.6038356164383561,0.7108876290932329,1102,399,1047
word_0004.nii.gz,13,rectum,0.0,nan,0,0,16305
word_0004.nii.gz,14,bladder,0.0,nan,0,0,32756
word_0004.nii.gz,15,head_of_femur_left,0.0,nan,0,0,48087
word_0004.nii.gz,16,head_of_femur_right,0.0,nan,0,0,48794
word_0005.nii.gz,1,liver,0.9281651649430331,0.593207995923666,464271,22487,49377
word_0005.nii.gz,2,spleen,0.8506810472558797,0.5433125970938193,56552,9969,9884
word_0005.nii.gz,3,left_kidney,0.8184256134269816,0.5969676875545283,44862,517,19389
word_0005.nii.gz,4,right_kidney,0.9159790171505927,0.7760054199564794,46011,3746,4695
word_0005.nii.gz,5,stomach,0.6071003559034024,0.25579371740763857,109683,3653,138315
word_0005.nii.gz,6,gallbladder,0.14393638170974155,0.13429531577441386,543,5726,733
word_0005.nii.gz,7,esophagus,0.6095063985374771,0.5216825546475369,1667,541,1595
word_0005.nii.gz,8,pancreas,0.6226632154155881,0.4014843688175975,17320,3426,17566
word_0005.nii.gz,9,duodenum,0.0,nan,0,0,21333
word_0005.nii.gz,10,colon,0.0,nan,0,0,191553
word_0005.nii.gz,11,intestine,0.0,nan,0,0,325956
word_0005.nii.gz,12,adrenal,0.07397504456327986,0.1777477076705109,83,600,1478
word_0005.nii.gz,13,rectum,0.0,nan,0,0,12304
