class,mean_case_dsc,mean_case_nsd,micro_dsc,tp,fp,fn,cases_with_dsc,cases_with_nsd
liver,0.9198348555284749,0.636370619766843,0.917591883186037,41342345,4096536,3329303,100,100
spleen,0.8406235815746181,0.5791787134570295,0.8285061971644491,6219514,983047,1591727,100,100
left_kidney,0.788186878125693,0.6378734109646473,0.8074957112773135,4157535,494476,1487809,100,100
right_kidney,0.8358171232250788,0.6993931334182587,0.8421780994855277,4195402,361506,1210908,100,100
stomach,0.6462986607385289,0.37605394806216574,0.6658501314255708,7858568,805299,7082180,100,100
gallbladder,0.5434964701245011,0.4585156185121992,0.6150758532396347,351677,273818,166352,100,100
esophagus,0.6169927020405122,0.5652875685879672,0.6300839077418458,280996,95535,234405,100,100
pancreas,0.5758942996900361,0.44594737959270403,0.5826046220431954,1338163,247235,1670165,100,100
duodenum,0.0,nan,0.0,0,0,2653560,100,0
colon,0.0,nan,0.0,0,0,26400340,100,0
intestine,0.0,nan,0.0,0,0,34863750,100,0
adrenal,0.4802804387012086,0.5491595389124921,0.49267429551030956,129613,32826,234109,100,100
rectum,0.0,nan,0.0,0,0,2187539,100,0
bladder,0.0,nan,0.0,0,0,8429042,100,0
head_of_femur_left,0.0,nan,0.0,0,0,5036542,100,0
head_of_femur_right,0.0,nan,0.0,0,0,5109982,100,0
