case,label,structure,total_gt_voxels,correct_3_voxels,correct_2_voxels,correct_1_voxels,correct_0_voxels,correct_3_percent,correct_2_percent,correct_1_percent,correct_0_percent
word_0002.nii.gz,1,liver,698527,637550,17050,13700,30227,91.270631,2.440851,1.96127,4.327249
word_0002.nii.gz,2,spleen,119542,51705,58137,3480,6220,43.252581,48.633116,2.911111,5.203192
word_0002.nii.gz,3,left_kidney,68382,0,12552,53502,2328,0.0,18.355708,78.239888,3.404405
word_0002.nii.gz,4,right_kidney,68951,56824,8017,1434,2676,82.412148,11.627098,2.079738,3.881017
word_0002.nii.gz,5,stomach,186397,155541,17557,3806,9493,83.446086,9.419143,2.041878,5.092893
word_0002.nii.gz,6,gallbladder,9918,8689,318,201,710,87.608389,3.206292,2.026618,7.158701
word_0002.nii.gz,7,esophagus,10488,4639,2358,1345,2146,44.231503,22.482838,12.82418,20.46148
word_0002.nii.gz,8,pancreas,34611,3338,25367,2183,3723,9.644333,73.291728,6.307243,10.756696
word_0002.nii.gz,9,duodenum,32238,0,15885,5232,11121,0.0,49.274149,16.229295,34.496557
word_0002.nii.gz,10,colon,338916,0,299315,19587,20014,0.0,88.315394,5.779308,5.905298
word_0002.nii.gz,11,intestine,332169,0,289270,26139,16760,0.0,87.085189,7.869187,5.045624
word_0002.nii.gz,12,adrenal,3040,1196,646,406,792,39.342105,21.25,13.355263,26.052632
word_0002.nii.gz,13,rectum,10599,0,9766,557,276,0.0,92.140768,5.255213,2.604019
word_0002.nii.gz,14,bladder,45008,0,40411,2028,2569,0.0,89.78626,4.505866,5.707874
word_0002.nii.gz,15,head_of_femur_left,54767,0,22943,26982,4842,0.0,41.892015,49.266894,8.84109
word_0002.nii.gz,16,head_of_femur_right,54916,0,51292,1997,1627,0.0,93.40083,3.636463,2.962707
word_0003.nii.gz,1,liver,353845,332157,6816,4634,10238,93.870763,1.926267,1.309613,2.893357
word_0003.nii.gz,2,spleen,39644,35507,1025,885,2227,89.564625,2.585511,2.232368,5.617496
word_0003.nii.gz,3,left_kidney,40539,27093,10927,1053,1466,66.83194,26.954291,2.597499,3.616271
word_0003.nii.gz,4,right_kidney,35250,30545,3004,904,797,86.652482,8.521986,2.564539,2.260993
word_0003.nii.gz,5,stomach,73945,19350,45113,4151,5331,26.168098,61.008858,5.613632,7.209412
word_0003.nii.gz,6,gallbladder,3821,2812,473,256,280,73.5933,12.378958,6.699817,7.327925
word_0003.nii.gz,7,esophagus,3035,1156,1142,398,339,38.088962,37.627677,13.113674,11.169687
word_0003.nii.gz,8,pancreas,18055,13011,1627,1607,1810,72.06314,9.011354,8.900582,10.024924
word_0003.nii.gz,9,duodenum,36151,0,8639,8473,19039,0.0,23.896988,23.437803,52.66521
word_0003.nii.gz,10,colon,215834,0,156848,29289,29697,0.0,72.670664,13.570151,13.759185
word_0003.nii.gz,11,intestine,252237,0,205297,30014,16926,0.0,81.390518,11.899127,6.710356
word_0003.nii.gz,12,adrenal,1390,213,671,139,367,15.323741,48.273381,10.0,26.402878
word_0003.nii.gz,13,rectum,23644,0,6424,8599,8621,0.0,27.169684,36.368635,36.461682
word_0003.nii.gz,14,bladder,81219,0,75042,2923,3254,0.0,92.394637,3.598912,4.006452
word_0003.nii.gz,15,head_of_femur_left,33885,0,12587,20213,1085,0.0,37.14623,59.651763,3.202007
word_0003.nii.gz,16,head_of_femur_right,36665,0,35227,631,807,0.0,96.078004,1.720987,2.201009
word_0004.nii.gz,1,liver,314273,293644,8787,4985,6857,93.435962,2.795977,1.586201,2.181861
word_0004.nii.gz,2,spleen,41966,36875,1625,1222,2244,87.868751,3.872182,2.911881,5.347186
word_0004.nii.gz,3,left_kidney,43045,35887,3738,1051,2369,83.370891,8.683935,2.441631,5.503543
word_0004.nii.gz,4,right_kidney,39557,35387,1942,910,1318,89.45825,4.909371,2.300478,3.331901
word_0004.nii.gz,5,stomach,173806,17347,101129,21461,33869,9.980668,58.184988,12.347675,19.486669
word_0004.nii.gz,6,gallbladder,1697,487,644,184,382,28.697702,37.949322,10.842664,22.510312
word_0004.nii.gz,7,esophagus,8040,4867,1454,768,951,60.534826,18.084577,9.552239,11.828358
word_0004.nii.gz,8,pancreas,19206,7012,8467,1767,1960,36.509424,44.085182,9.20025,10.205144
word_0004.nii.gz,9,duodenum,24327,0,8891,7897,7539,0.0,36.547869,32.461874,30.990258
word_0004.nii.gz,10,colon,430930,0,215759,135080,80091,0.0,50.068225,31.346158,18.585617
word_0004.nii.gz,11,intestine,387849,0,251071,70300,66478,0.0,64.734214,18.125611,17.140176
word_0004.nii.gz,12,adrenal,2149,1011,521,167,450,47.045137,24.243834,7.771056,20.939972
word_0004.nii.gz,13,rectum,16305,0,9712,3670,2923,0.0,59.564551,22.508433,17.927016
word_0004.nii.gz,14,bladder,32756,0,30683,1063,1010,0.0,93.671388,3.245207,3.083405
word_0004.nii.gz,15,head_of_femur_left,48087,0,25749,20153,2185,0.0,53.546697,41.909456,4.543848
word_0004.nii.gz,16,head_of_femur_right,48794,0,44924,2030,1840,0.0,92.068697,4.160348,3.770955
word_0005.nii.gz,1,liver,513648,454400,16434,10217,32597,88.465252,3.199467,1.989105,6.346175
word_0005.nii.gz,2,spleen,66436,53910,3900,2488,6138,81.145764,5.870311,3.744958,9.238967
word_0005.nii.gz,3,left_kidney,64251,44103,14257,2409,3482,68.641733,22.189538,3.749358,5.419371
word_0005.nii.gz,4,right_kidney,50706,45832,1778,1134,1962,90.387725,3.506488,2.236422,3.869365
word_0005.nii.gz,5,stomach,247998,108747,116429,8945,13877,43.84995,46.947556,3.606884,5.59561
word_0005.nii.gz,6,gallbladder,1276,529,576,87,84,41.45768,45.141066,6.818182,6.583072
