case,total_gt_voxels,correct_3_voxels,correct_2_voxels,correct_1_voxels,correct_0_voxels,correct_3_percent,correct_2_percent,correct_1_percent,correct_0_percent
word_0002.nii.gz,2068469,919482,870884,162579,115524,44.452298,42.102831,7.859871,5.585
word_0003.nii.gz,1249159,461844,570862,114169,102284,36.972395,45.699707,9.139669,8.188229
word_0004.nii.gz,1632787,432517,715096,272708,212466,26.489493,43.796037,16.701995,13.012475
word_0005.nii.gz,1796993,725794,736074,136007,199118,40.389362,40.961428,7.568588,11.080622
word_0006.nii.gz,1702003,821022,637687,99867,143427,48.238575,37.466855,5.867616,8.426953
word_0008.nii.gz,1253203,406215,604204,125999,116785,32.414142,48.21278,10.054157,9.318921
word_0009.nii.gz,1949250,945734,746388,130486,126642,48.51784,38.291035,6.694164,6.49696
word_0010.nii.gz,1628647,528746,707169,208907,183825,32.465353,43.420643,12.827028,11.286976
word_0011.nii.gz,1594755,784794,601089,107013,101859,49.210945,37.69162,6.71031,6.387125
word_0012.nii.gz,1631038,524367,784468,171633,150570,32.149282,48.096243,10.522931,9.231545
word_0013.nii.gz,2001350,897456,869716,132921,101257,44.842531,43.456467,6.641567,5.059435
word_0018.nii.gz,1177557,552470,479247,72405,73435,46.916625,40.698412,6.148747,6.236216
word_0020.nii.gz,1297429,436200,634556,119426,107247,33.620337,48.908726,9.20482,8.266117
word_0022.nii.gz,1543202,660225,662117,114326,106534,42.782798,42.905401,7.408363,6.903438
word_0026.nii.gz,1744761,637411,768179,151811,187360,36.532855,44.027749,8.700962,10.738434
word_0027.nii.gz,1596532,483975,735819,200068,176670,30.314143,46.088585,12.531412,11.06586
word_0028.nii.gz,1565929,572579,749613,123074,120663,36.564812,47.870178,7.859488,7.705522
word_0029.nii.gz,1762409,736447,795762,130166,100034,41.786384,45.151948,7.385686,5.675981
word_0030.nii.gz,2054072,847277,841412,153292,212091,41.248651,40.963121,7.462835,10.325393
word_0032.nii.gz,1571527,581012,757900,119738,112877,36.971175,48.226979,7.619214,7.182632
word_0036.nii.gz,1635415,585203,839049,110001,101162,35.78315,51.304959,6.726183,6.185708
word_0038.nii.gz,3084271,1049253,1082816,536194,416008,34.019481,35.10768,17.384789,13.48805
word_0040.nii.gz,1395915,486916,563770,183779,161450,34.881494,40.38713,13.165486,11.56589
word_0041.nii.gz,1286892,466941,594606,139290,86055,36.284397,46.20481,10.823752,6.687041
word_0042.nii.gz,1758334,592083,856160,174113,135978,33.672954,48.691546,9.902157,7.733343
word_0044.nii.gz,1374920,390303,711736,124971,147910,28.387324,51.76563,9.089329,10.757717
word_0046.nii.gz,1616351,556154,800698,137510,121989,34.407997,49.537384,8.507434,7.547185
word_0047.nii.gz,1868076,793133,790529,149849,134565,42.457213,42.317818,8.021569,7.203401
word_0049.nii.gz,1678833,654798,786608,131379,106048,39.003165,46.854452,7.825615,6.316769
word_0051.nii.gz,1165916,414041,529898,111098,110879,35.512078,45.449072,9.528817,9.510033
word_0053.nii.gz,1616203,756765,517073,173580,168785,46.823635,31.993073,10.739987,10.443304
word_0055.nii.gz,1525453,663982,682851,93927,84693,43.526874,44.763818,6.157319,5.55199
word_0056.nii.gz,1381680,530171,593743,112478,145288,38.371475,42.972541,8.140669,10.515315
word_0058.nii.gz,1469002,530996,684655,100256,153095,36.146717,46.606812,6.824769,10.421701
word_0059.nii.gz,1715295,633936,814569,119834,146956,36.957841,47.488566,6.986204,8.567389
word_0061.nii.gz,1163894,473955,453040,99455,137444,40.721492,38.924507,8.545022,11.808979
word_0062.nii.gz,1634074,677963,684763,144553,126795,41.489125,41.905263,8.846172,7.759441
word_0063.nii.gz,1353242,572078,548223,108921,124020,42.274626,40.511823,8.048893,9.164658
word_0064.nii.gz,1692869,640428,775573,141529,135339,37.830925,45.814118,8.360304,7.994653
word_0065.nii.gz,2124347,885774,980157,151829,106587,41.696295,46.139214,7.14709,5.017401
word_0067.nii.gz,2003485,781342,851285,174522,196336,38.999144,42.490211,8.710921,9.799724
word_0068.nii.gz,1160886,595937,381719,91610,91620,51.33467,32.881696,7.891386,7.892248
word_0070.nii.gz,2030661,635628,959714,198087,237232,31.301532,47.261163,9.754804,11.682501
word_0071.nii.gz,1640606,653064,672293,191349,123900,39.806267,40.978334,11.663312,7.552087
word_0072.nii.gz,1786919,941446,609018,118857,117598,52.685432,34.082015,6.651505,6.581048
word_0073.nii.gz,2452994,1008627,1102147,165252,176968,41.118201,44.930685,6.736747,7.214367
word_0078.nii.gz,1983648,678401,794550,225527,285170,34.199666,40.05499,11.369305,14.376038
word_0079.nii.gz,1545436,557700,594940,144136,248660,36.086904,38.49658,9.326559,16.089958
word_0081.nii.gz,1449202,610846,584721,113718,139917,42.150508,40.347791,7.846939,9.654762
word_0082.nii.gz,1372994,658789,468331,107691,138183,47.981929,34.1102,7.843516,10.064356
word_0084.nii.gz,1715342,816568,603110,110627,185037,47.603801,35.159752,6.449268,10.787178
word_0086.nii.gz,1765334,613074,836259,174699,141302,34.728499,47.371149,9.896088,8.004264
word_0087.nii.gz,1474586,492219,698030,160627,123710,33.380149,47.337354,10.893024,8.389473
word_0089.nii.gz,2098433,680031,982582,221447,214373,32.40661,46.824559,10.55297,10.215861
word_0090.nii.gz,1327413,358128,729925,109495,129865,26.979395,54.988538,8.248752,9.783315
word_0091.nii.gz,1598711,746598,598334,148290,105489,46.699998,37.426026,9.275598,6.598378
word_0093.nii.gz,1461335,640883,585914,107280,127258,43.855995,40.094434,7.341233,8.708339
word_0094.nii.gz,1394123,580512,434353,163620,215638,41.639941,31.156003,11.736411,15.467645
word_0095.nii.gz,1663921,329182,1027627,151745,155367,19.783511,61.759362,9.119724,9.337402
word_0096.nii.gz,1177451,590003,471042,68028,48378,50.108497,40.005232,5.777565,4.108706
word_0100.nii.gz,1545596,563047,751399,104840,126310,36.429119,48.615486,6.783144,8.172252
word_0101.nii.gz,2156252,920378,890328,172466,173080,42.684158,41.290536,7.998416,8.026891
word_0102.nii.gz,1535396,573266,660532,158424,143174,37.336687,43.020302,10.31812,9.324891
word_0104.nii.gz,1178374,524298,405503,95566,153007,44.493344,34.41208,8.109989,12.984587
word_0105.nii.gz,1923028,560640,735248,226477,400663,29.154022,38.233869,11.777104,20.835006
word_0106.nii.gz,1346207,635557,463026,103343,144281,47.210942,34.394859,7.676605,10.717594
word_0107.nii.gz,1325742,372298,716264,121854,115326,28.082236,54.027405,9.191381,8.698978
word_0108.nii.gz,1990607,833980,817677,189359,149591,41.895763,41.076767,9.512626,7.514843
word_0109.nii.gz,1664540,592266,635770,215731,220773,35.581362,38.194937,12.960397,13.263304
word_0111.nii.gz,1529861,597005,720502,116581,95773,39.02348,47.095913,7.620366,6.260242
word_0113.nii.gz,1851098,839811,783255,121384,106648,45.368263,42.312995,6.557405,5.761337
word_0114.nii.gz,2112212,621124,1051908,215960,223220,29.406329,49.801251,10.224352,10.568068
word_0115.nii.gz,1476736,528026,757977,107344,83389,35.75629,51.327861,7.269004,5.646845
word_0116.nii.gz,1226601,459735,539925,111065,115876,37.480403,44.017981,9.054697,9.446919
word_0117.nii.gz,2054071,737887,987699,176394,152091,35.92315,48.084949,8.587532,7.404369
word_0118.nii.gz,1522051,517295,715427,137630,151699,33.986706,47.004141,9.042404,9.966749
word_0119.nii.gz,1672044,604021,784580,129281,154162,36.124707,46.923406,7.731914,9.219973
word_0121.nii.gz,1617769,683725,583572,141728,208744,42.26345,36.072641,8.760707,12.903202
word_0122.nii.gz,1537205,732969,557114,129928,117194,47.681929,36.242011,8.452223,7.623837
word_0123.nii.gz,2108829,936714,914390,136341,121384,44.41868,43.360083,6.465247,5.755991
word_0125.nii.gz,1169342,388535,641494,77375,61938,33.226806,54.8594,6.616969,5.296825
word_0126.nii.gz,2124866,738829,987641,218194,180202,34.770616,46.480155,10.2686,8.480629
word_0127.nii.gz,1692175,494266,790323,229185,178401,29.208918,46.704567,13.543812,10.542704
word_0128.nii.gz,1771950,571109,739778,197776,263287,32.230537,41.749372,11.161489,14.858602
word_0130.nii.gz,1721045,609986,880401,123847,106811,35.442769,51.155025,7.196035,6.206171
word_0132.nii.gz,1450612,619880,603990,119385,107357,42.732309,41.636909,8.229975,7.400807
word_0133.nii.gz,1345356,518274,623850,106626,96606,38.523186,46.370626,7.925486,7.180702
word_0134.nii.gz,1330703,688100,409084,115928,117591,51.70951,30.741946,8.711786,8.836758
word_0135.nii.gz,1613218,489563,831705,128745,163205,30.346983,51.555648,7.980632,10.116736
word_0136.nii.gz,2018927,785252,918520,186799,128356,38.894522,45.495454,9.25239,6.357635
word_0138.nii.gz,2209266,664053,1066777,221266,257170,30.05763,48.28649,10.015363,11.640518
word_0140.nii.gz,1673116,624608,659503,138869,250136,37.33202,39.417649,8.300022,14.950308
word_0142.nii.gz,2335365,798223,1048962,253838,234342,34.179796,44.916405,10.869307,10.034491
word_0143.nii.gz,2447746,806485,1166304,203444,271513,32.948067,47.648081,8.311483,11.092368
word_0144.nii.gz,1629095,632722,763987,99615,132771,38.838865,46.896406,6.114745,8.149985
word_0145.nii.gz,2124799,793337,718738,323981,288743,37.337038,33.826164,15.247607,13.589191
word_0146.nii.gz,1581237,648188,716556,110755,105738,40.992463,45.316167,7.004326,6.687043
word_0147.nii.gz,1637385,511355,705258,190612,230160,31.22998,43.072216,11.641245,14.05656
word_0148.nii.gz,1829128,720997,679005,175622,253504,39.417526,37.121787,9.601406,13.859282
word_0150.nii.gz,2016442,889765,775808,140009,210860,44.125494,38.474104,6.943369,10.457033
