label,structure,case_count,cases_with_structure,total_gt_voxels,correct_3_voxels,correct_2_voxels,correct_1_voxels,correct_0_voxels,correct_3_percent,correct_2_percent,correct_1_percent,correct_0_percent
1,liver,100,100,44671648,40217667,1780866,793355,1879760,90.029513,3.986569,1.77597,4.207949
2,spleen,100,100,7811241,5966748,1152350,205188,486955,76.386684,14.752457,2.62683,6.234029
3,left_kidney,100,100,5645344,4104205,1029305,199906,311928,72.700707,18.232813,3.541077,5.525403
4,right_kidney,100,100,5406310,4169669,852064,143774,240803,77.125969,15.760546,2.659374,4.45411
5,stomach,100,100,14940748,7670981,5496661,694244,1078862,51.342684,36.789731,4.646648,7.220937
6,gallbladder,100,100,518029,331427,79630,34129,72843,63.978465,15.371726,6.588241,14.061568
7,esophagus,100,100,515401,244465,123086,59383,88467,47.432,23.881599,11.521708,17.164693
8,pancreas,100,100,3008328,1279386,1053941,220263,454738,42.528142,35.034112,7.321775,15.115971
9,duodenum,100,100,2653560,0,1541742,413571,698247,0.0,58.100891,15.585515,26.313594
10,colon,100,100,26400340,0,19004379,3397269,3998692,0.0,71.985357,12.868277,15.146366
11,intestine,100,100,34863750,0,25275870,5168829,4419051,0.0,72.499,14.825798,12.675203
12,adrenal,100,100,363722,122439,94039,34431,112813,33.662797,25.854636,9.466296,31.016271
13,rectum,100,100,2187539,0,1216920,502069,468550,0.0,55.629637,22.951317,21.419047
14,bladder,100,100,8429042,0,7633927,355766,439349,0.0,90.566959,4.220717,5.212324
15,head_of_femur_left,100,100,5036542,0,1957323,2585017,494202,0.0,38.862438,51.325235,9.812328
16,head_of_femur_right,100,100,5109982,0,4452330,304121,353531,0.0,87.130053,5.951508,6.918439
