case,word_label,class,dsc,nsd,tp,fp,fn
word_0002.nii.gz,1,liver,0.9659863361099298,0.804826422864573,674584,23563,23943
word_0002.nii.gz,2,spleen,0.9500425143354988,0.8561233924440386,113408,5793,6134
word_0002.nii.gz,3,left_kidney,0.5426704275242297,0.28286612860436494,66183,109351,2199
word_0002.nii.gz,4,right_kidney,0.5393496034917318,0.42584878713497465,65802,109252,3149
word_0002.nii.gz,5,stomach,0.9434220008820144,0.7599970594809511,175418,10061,10979
word_0002.nii.gz,6,gallbladder,0.8693902381955169,0.7779754569237021,9289,2162,629
word_0002.nii.gz,7,esophagus,0.8293708393813504,0.7655894986654473,8285,1206,2203
word_0002.nii.gz,8,pancreas,0.79665684991274,0.6168427386126419,29215,9518,5396
word_0002.nii.gz,9,duodenum,0.8229532787246872,0.7322757841947558,27980,7781,4258
word_0002.nii.gz,10,colon,0.9034417587922535,0.7475870654563178,317408,46340,21508
word_0002.nii.gz,11,intestine,0.8256025177956614,0.7806735914262329,312692,112627,19477
word_0002.nii.gz,12,adrenal,0.60791015625,0.6438038135611185,2490,2662,550
word_0002.nii.gz,13,rectum,0.6591551104262968,0.4946982121475077,10267,10286,332
word_0002.nii.gz,14,bladder,0.9302796691238535,0.8358289548405865,41330,2517,3678
word_0002.nii.gz,15,head_of_femur_left,0.7805123130209721,0.6467050622887486,51266,25332,3501
word_0002.nii.gz,16,head_of_femur_right,0.8026032343214297,0.7010717150597189,52906,24014,2010
word_0003.nii.gz,1,liver,0.9636013324027133,0.8583185818955482,345837,18119,8008
word_0003.nii.gz,2,spleen,0.952337042529065,0.9448575235869121,38213,2394,1431
word_0003.nii.gz,3,left_kidney,0.9482660742934715,0.912919064086044,38419,2072,2120
word_0003.nii.gz,4,right_kidney,0.9405033038099255,0.9043983674253666,33449,2431,1801
word_0003.nii.gz,5,stomach,0.9257173219978746,0.740593057151996,69688,6927,4257
word_0003.nii.gz,6,gallbladder,0.8570686070686071,0.8650700846901855,3298,577,523
word_0003.nii.gz,7,esophagus,0.7555047183299971,0.7769124883504137,2642,1317,393
word_0003.nii.gz,8,pancreas,0.8506787330316742,0.7879957788690769,16356,4043,1699
word_0003.nii.gz,9,duodenum,0.8364334642171334,0.7043805233313585,29184,4447,6967
word_0003.nii.gz,10,colon,0.8697498531149832,0.6690656844555694,191702,33285,24132
word_0003.nii.gz,11,intestine,0.8931733100125809,0.7153899147128161,232861,36326,19376
word_0003.nii.gz,12,adrenal,0.6576354679802956,0.7591856731249702,1068,790,322
word_0003.nii.gz,13,rectum,0.8680797086623839,0.7512539515607519,21215,4019,2429
word_0003.nii.gz,14,bladder,0.9412435682846693,0.7698268145189241,75916,4175,5303
word_0003.nii.gz,15,head_of_femur_left,0.8722122231786524,0.7079426622980852,33438,9351,447
word_0003.nii.gz,16,head_of_femur_right,0.9126448799520573,0.741773955360122,35788,5974,877
word_0004.nii.gz,1,liver,0.962823903934833,0.8300046780385518,308496,18046,5777
word_0004.nii.gz,2,spleen,0.9511050948724531,0.9235352628719294,40752,2976,1214
word_0004.nii.gz,3,left_kidney,0.9510497676265209,0.9007505174630811,40723,1870,2322
word_0004.nii.gz,4,right_kidney,0.9472171084155045,0.8903166666907502,37560,2189,1997
word_0004.nii.gz,5,stomach,0.8770180240171542,0.5586236440103877,137630,2423,36176
word_0004.nii.gz,6,gallbladder,0.5703463203463204,0.483265728334107,1054,945,643
word_0004.nii.gz,7,esophagus,0.8442464388299431,0.8017737178015645,7201,1818,839
word_0004.nii.gz,8,pancreas,0.8558378675185944,0.7783285161944548,17145,3715,2061
word_0004.nii.gz,9,duodenum,0.7470621891642093,0.5448369802715737,16974,4141,7353
word_0004.nii.gz,10,colon,0.8147363591084104,0.5212835062630016,342694,67615,88236
word_0004.nii.gz,11,intestine,0.8389999782748436,0.6065636912464903,328260,66394,59589
word_0004.nii.gz,12,adrenal,0.6731950844854071,0.6877851478433524,1753,1306,396
word_0004.nii.gz,13,rectum,0.8330551424842949,0.6967040506400374,13725,2921,2580
word_0004.nii.gz,14,bladder,0.9018970968669158,0.7037116979636736,31377,5447,1379
word_0004.nii.gz,15,head_of_femur_left,0.9288857771554311,0.8447580205254094,46435,5458,1652
word_0004.nii.gz,16,head_of_femur_right,0.9496660595021251,0.8980174454737391,46923,3103,1871
word_0005.nii.gz,1,liver,0.9650022935054253,0.8271428506987881,488075,9829,25573
word_0005.nii.gz,2,spleen,0.9429822199312186,0.8790909806691589,61283,2258,5153
word_0005.nii.gz,3,left_kidney,0.9518330317135428,0.8934753671904184,60222,2066,4029
word_0005.nii.gz,4,right_kidney,0.9463771129794124,0.884351566635015,47784,2493,2922
word_0005.nii.gz,5,stomach,0.9589163870104326,0.8418975972665745,236452,8715,11546
word_0005.nii.gz,6,gallbladder,0.826585179526356,0.895006811377753,1082,260,194
word_0005.nii.gz,7,esophagus,0.8113035551504102,0.8622065893813597,2670,650,592
word_0005.nii.gz,8,pancreas,0.8828328050117933,0.8062665986643608,29382,2295,5504
word_0005.nii.gz,9,duodenum,0.7492449774587473,0.6007433106479861,17118,7243,4215
word_0005.nii.gz,10,colon,0.8516076997526616,0.5701576814130702,158382,22025,33171
word_0005.nii.gz,11,intestine,0.8719122253149265,0.7194912109294289,280046,36370,45910
word_0005.nii.gz,12,adrenal,0.5471357690572847,0.6126840089100444,1213,1660,348
word_0005.nii.gz,13,rectum,0.6611784160765,0.5621239647506707,9196,6317,3108
word_0005.nii.gz,14,bladder,0.9642019276559318,0.8400524042527052,165014,6267,5986
word_0005.nii.gz,15,head_of_femur_left,0.9271657081236521,0.8283110746295909,41270,2424,4060
word_0005.nii.gz,16,head_of_femur_right,0.9161053136345991,0.7684860998804537,40119,1974,5374
word_0006.nii.gz,1,liver,0.9667582495036611,0.8174139056476227,531500,18254,18297
word_0006.nii.gz,2,spleen,0.9369661266568483,0.8309187946012188,63620,4948,3612
word_0006.nii.gz,3,left_kidney,0.9421894877803817,0.8506867921539816,70358,3616,5018
word_0006.nii.gz,4,right_kidney,0.9509227104439916,0.8858068234031148,66266,3260,3580
word_0006.nii.gz,5,stomach,0.9500331278081701,0.812795118228686,131201,9355,4446
word_0006.nii.gz,6,gallbladder,0.8086809945217025,0.7829278730049092,1919,686,222
word_0006.nii.gz,7,esophagus,0.657931602801813,0.6003138329216046,3992,3391,760
word_0006.nii.gz,8,pancreas,0.8707238221488766,0.7699383238637224,32185,7897,1660
word_0006.nii.gz,9,duodenum,0.7728557180851063,0.601386922827335,27897,10535,5863
word_0006.nii.gz,10,colon,0.8225074615109806,0.6333529003362914,146197,53426,9671
word_0006.nii.gz,11,intestine,0.8856434088587589,0.7707021108240132,358086,38163,54311
word_0006.nii.gz,12,adrenal,0.6511698571862655,0.7246376511452096,2143,1749,547
word_0006.nii.gz,13,rectum,0.5416119835271757,0.4696542762075446,5984,9679,450
word_0006.nii.gz,14,bladder,0.9145014090333256,0.822092904816631,17686,988,2319
word_0006.nii.gz,15,head_of_femur_left,0.9245388046946663,0.7946188782098008,58962,1202,8423
word_0006.nii.gz,16,head_of_femur_right,0.9335995925264171,0.8192354298265282,57738,1123,7090
word_0008.nii.gz,1,liver,0.9578179043560572,0.819011188162132,266123,16136,7304
word_0008.nii.gz,2,spleen,0.9505182975255696,0.8550657331765121,68818,5434,1731
word_0008.nii.gz,3,left_kidney,0.9398838695930108,0.8685382068967468,35287,2189,2325
word_0008.nii.gz,4,right_kidney,0.9404898287766665,0.870767519999871,30375,2610,1234
word_0008.nii.gz,5,stomach,0.8962763109997645,0.7379933187158749,41857,5105,4583
word_0008.nii.gz,6,gallbladder,0.35275229357798166,0.346454960737633,769,2745,77
word_0008.nii.gz,7,esophagus,0.8257673221834222,0.7404797568643575,4493,1149,747
word_0008.nii.gz,8,pancreas,0.8514474920578102,0.7642067393310396,19029,4707,1933
word_0008.nii.gz,9,duodenum,0.8094188061111987,0.7369035550386217,10278,3444,1396
word_0008.nii.gz,10,colon,0.8621868025169287,0.6916644284974653,170935,31823,22822
word_0008.nii.gz,11,intestine,0.8893965628793434,0.7319127734466271,288675,33398,38400
word_0008.nii.gz,12,adrenal,0.7251523063533507,0.8007734129277565,2083,909,670
word_0008.nii.gz,13,rectum,0.8711663568773235,0.7610480335252525,14998,2408,2028
word_0008.nii.gz,14,bladder,0.9642937478105352,0.8565828184567714,130751,3670,6013
word_0008.nii.gz,15,head_of_femur_left,0.9042138438193067,0.7226194476589528,38732,6968,1238
word_0008.nii.gz,16,head_of_femur_right,0.9149051901888606,0.777029408735655,36163,5391,1336
word_0009.nii.gz,1,liver,0.9727657923790768,0.8661716204964305,652006,25231,11277
word_0009.nii.gz,2,spleen,0.9614230385676847,0.9140299718146948,103639,6279,2038
word_0009.nii.gz,3,left_kidney,0.937591815320042,0.8828090101670636,35741,3942,816
word_0009.nii.gz,4,right_kidney,0.9640830928264948,0.9390703673921434,87854,4500,2046
word_0009.nii.gz,5,stomach,0.9445496558187635,0.8020598235832467,146136,12877,4281
word_0009.nii.gz,6,gallbladder,0.782145236508994,0.6895715814395083,1761,648,333
word_0009.nii.gz,7,esophagus,0.8219837528833618,0.8529032794713215,4098,1354,421
word_0009.nii.gz,8,pancreas,0.8519037227632479,0.766078585087915,26156,7610,1484
word_0009.nii.gz,9,duodenum,0.856643219239989,0.7894958353372615,21799,5572,1724
word_0009.nii.gz,10,colon,0.8882871717762043,0.7132257200984388,302468,46126,29952
word_0009.nii.gz,11,intestine,0.8683053032959569,0.7334591352948542,314475,56148,39244
word_0009.nii.gz,12,adrenal,0.7098849018280298,0.7358523917280245,4194,2668,760
word_0009.nii.gz,13,rectum,0.8929779600205023,0.6842991559800384,34844,2946,5406
word_0009.nii.gz,14,bladder,0.777837337361727,0.5857866982249705,7981,3818,741
word_0009.nii.gz,15,head_of_femur_left,0.9565008010816918,0.9232085190485392,51641,2709,1988
word_0009.nii.gz,16,head_of_femur_right,0.9435963454351565,0.8685021336582645,49109,3034,2837
word_0010.nii.gz,1,liver,0.9587162751711621,0.8291277944715507,404898,18080,16791
word_0010.nii.gz,2,spleen,0.9569147772836626,0.9315656457512131,78756,3798,3294
word_0010.nii.gz,3,left_kidney,0.9327084187708712,0.8733483708493577,39801,2307,3436
word_0010.nii.gz,4,right_kidney,0.9266016122189223,0.8601754150178376,38220,4178,1877
word_0010.nii.gz,5,stomach,0.949325577343401,0.778384485757646,275153,13113,16262
word_0010.nii.gz,6,gallbladder,0.7235381812158357,0.6096304687177201,2184,257,1412
word_0010.nii.gz,7,esophagus,0.7453481261465886,0.6597184938187672,4266,485,2430
word_0010.nii.gz,8,pancreas,0.7140359714361907,0.612663792777987,12049,7006,2645
word_0010.nii.gz,9,duodenum,0.6244147318627215,0.4353630229542758,12936,8543,7019
word_0010.nii.gz,10,colon,0.7912438085495854,0.5994756298779993,235145,21956,102122
word_0010.nii.gz,11,intestine,0.7597532525558635,0.65476095328026,215104,100894,35145
word_0010.nii.gz,12,adrenal,0.6816593886462882,0.8027322001728505,1561,965,493
word_0010.nii.gz,13,rectum,0.8190973517344274,0.6101906077584833,15372,5384,1406
word_0010.nii.gz,14,bladder,0.9093971148611867,0.772728159317665,26729,2589,2737
word_0010.nii.gz,15,head_of_femur_left,0.8196530530603339,0.7252135133567115,33807,13130,1747
word_0010.nii.gz,16,head_of_femur_right,0.7664832818961416,0.6564294258998975,31417,16710,2433
word_0011.nii.gz,1,liver,0.9719900723398375,0.8682254798026838,541623,21734,9482
word_0011.nii.gz,2,spleen,0.9553919640348413,0.8959460241590537,85006,6827,1111
word_0011.nii.gz,3,left_kidney,0.9050397360679983,0.7947852831105712,27844,5592,251
word_0011.nii.gz,4,right_kidney,0.9586914407067392,0.9203268732865855,72003,5221,984
word_0011.nii.gz,5,stomach,0.9412792769141336,0.8033390086119899,125489,8262,7395
word_0011.nii.gz,6,gallbladder,0.7450666666666667,0.6449353911734041,1397,696,260
word_0011.nii.gz,7,esophagus,0.7908156793099074,0.8265712356170696,3117,1406,243
word_0011.nii.gz,8,pancreas,0.8425968245136419,0.751174025913452,21201,6665,1256
word_0011.nii.gz,9,duodenum,0.8212199791580835,0.7550638252434416,16943,5764,1613
word_0011.nii.gz,10,colon,0.8842502271398689,0.7166865361851154,251097,39001,26737
word_0011.nii.gz,11,intestine,0.860313230754439,0.7272902776356257,250543,57871,23489
word_0011.nii.gz,12,adrenal,0.6949186583651336,0.7011263746914084,3460,2229,809
word_0011.nii.gz,13,rectum,0.8859916522065375,0.7084886497936667,28338,3394,3899
word_0011.nii.gz,14,bladder,0.004959159859976663,0.16096767834494555,34,9829,3815
word_0011.nii.gz,15,head_of_femur_left,0.9495039871159675,0.9026251517323693,42449,3169,1346
word_0011.nii.gz,16,head_of_femur_right,0.932611523183464,0.8576225736599423,39795,4025,1726
word_0012.nii.gz,1,liver,0.9576392845853224,0.7705532766078766,475624,18840,23238
word_0012.nii.gz,2,spleen,0.9523736834071134,0.9013797437707713,49912,2944,2048
word_0012.nii.gz,3,left_kidney,0.9380741239640045,0.8484862478812547,50141,3468,3152
word_0012.nii.gz,4,right_kidney,0.9277607179817791,0.8109057603015879,54685,3000,5516
word_0012.nii.gz,5,stomach,0.9342803435886454,0.8313556638863474,78530,5783,5265
word_0012.nii.gz,6,gallbladder,0.7735792322341385,0.6506818765011533,3859,1856,403
word_0012.nii.gz,7,esophagus,0.6060606060606061,0.5857879670033493,640,680,152
word_0012.nii.gz,8,pancreas,0.8392388839593808,0.7335799351978582,21281,4110,4043
word_0012.nii.gz,9,duodenum,0.805140335048404,0.6474048472911997,16509,4413,3578
word_0012.nii.gz,10,colon,0.8718709788470298,0.709663791561223,207674,32647,28392
word_0012.nii.gz,11,intestine,0.8881845021308602,0.7558411139802468,355443,41775,47720
word_0012.nii.gz,12,adrenal,0.7648046568901825,0.7930359539471977,3416,956,1145
word_0012.nii.gz,13,rectum,0.8936771744179002,0.7217689000466858,22127,4015,1250
word_0012.nii.gz,14,bladder,0.9466748342914586,0.8069203312345318,60271,4713,2077
word_0012.nii.gz,15,head_of_femur_left,0.9308351905715258,0.8181655676994563,49284,6031,1293
word_0012.nii.gz,16,head_of_femur_right,0.9326583122003591,0.8280901603554757,50385,5291,1985
word_0013.nii.gz,1,liver,0.9716740981279245,0.8581101442004351,476371,20829,6945
word_0013.nii.gz,2,spleen,0.9565629582375326,0.8990388312603569,107962,4542,5263
word_0013.nii.gz,3,left_kidney,0.9533020827152435,0.8972545226009541,48198,3487,1235
word_0013.nii.gz,4,right_kidney,0.9606486058928219,0.9430043372794147,46151,2654,1127
word_0013.nii.gz,5,stomach,0.9615709959978244,0.790055954726561,296123,17718,5951
word_0013.nii.gz,6,gallbladder,0.9097080787508486,0.8657892260811619,8710,1132,597
word_0013.nii.gz,7,esophagus,0.8834819404564002,0.8792252797664658,5846,1386,156
word_0013.nii.gz,8,pancreas,0.8537351833134246,0.7684729358911261,23228,4815,3144
word_0013.nii.gz,9,duodenum,0.8940166353635632,0.8832956636343781,18326,2220,2125
word_0013.nii.gz,10,colon,0.9115115795287522,0.7556191182929267,250853,34050,14655
word_0013.nii.gz,11,intestine,0.9084742617557374,0.8283168084605582,362285,33715,39283
word_0013.nii.gz,12,adrenal,0.704806116876024,0.7927953993431583,2581,1131,1031
word_0013.nii.gz,13,rectum,0.8258003182673032,0.5659445536796576,19979,1996,6433
word_0013.nii.gz,14,bladder,0.9722582162955439,0.9055538224247173,130181,5559,1870
word_0013.nii.gz,15,head_of_femur_left,0.9513264594723516,0.904186048567836,51853,1411,3895
word_0013.nii.gz,16,head_of_femur_right,0.957887540591352,0.9228771311013004,56046,1981,2947
word_0018.nii.gz,1,liver,0.9704213033357105,0.88156713076415,360594,9884,12098
word_0018.nii.gz,2,spleen,0.9662479240301495,0.9639756614457345,56726,1723,2240
word_0018.nii.gz,3,left_kidney,0.9485857260549843,0.8909420914193799,46632,1151,3904
word_0018.nii.gz,4,right_kidney,0.9562559909782915,0.9346672639448609,42398,1086,2793
word_0018.nii.gz,5,stomach,0.9484541613573871,0.8826353871931153,70712,4675,3011
word_0018.nii.gz,6,gallbladder,0.8869505138613006,0.86867284866738,5135,664,645
word_0018.nii.gz,7,esophagus,0.8639979795428716,0.89909044115797,3421,440,637
word_0018.nii.gz,8,pancreas,0.8686398403724642,0.8086941905507042,18284,3196,2334
word_0018.nii.gz,9,duodenum,0.8513528316354475,0.8038152134027406,15544,1532,3896
word_0018.nii.gz,10,colon,0.8960099706847824,0.8058931611434679,102086,16345,7351
word_0018.nii.gz,11,intestine,0.9001276065293237,0.8425613663325537,244066,35797,18363
word_0018.nii.gz,12,adrenal,0.7302652604666028,0.8270307648112835,2285,730,958
word_0018.nii.gz,13,rectum,0.832704482957089,0.6729067862576896,13021,3463,1769
word_0018.nii.gz,14,bladder,0.9521563970993596,0.841819027133541,56132,2986,2655
word_0018.nii.gz,15,head_of_femur_left,0.864559847224789,0.776659974620427,35086,8798,2195
word_0018.nii.gz,16,head_of_femur_right,0.8878177755419586,0.8085601525109517,37944,6947,2642
word_0020.nii.gz,1,liver,0.9677830197443654,0.892880672738069,286472,11508,7565
word_0020.nii.gz,2,spleen,0.94619829469382,0.9285871800397637,26855,1589,1465
word_0020.nii.gz,3,left_kidney,0.9514647731621242,0.8905036895782534,44755,2752,1814
word_0020.nii.gz,4,right_kidney,0.9545239030601878,0.9255031177808604,35231,1348,2009
word_0020.nii.gz,5,stomach,0.9560777340276896,0.882664046298561,169362,9438,6123
word_0020.nii.gz,6,gallbladder,0.8727404193781634,0.9042270343582255,2414,286,418
word_0020.nii.gz,7,esophagus,0.8095673369896405,0.84700197291872,2657,811,439
word_0020.nii.gz,8,pancreas,0.8532270563489428,0.8046850335686758,19268,4544,2085
word_0020.nii.gz,9,duodenum,0.8358393408856849,0.8123184529647229,14203,3123,2456
word_0020.nii.gz,10,colon,0.8482976552299235,0.6645404707897956,154626,18927,36377
word_0020.nii.gz,11,intestine,0.8881727992050705,0.7288687629014676,253850,47359,16564
word_0020.nii.gz,12,adrenal,0.7315716272600834,0.7947127723373999,1578,745,413
word_0020.nii.gz,13,rectum,0.8782076107692528,0.5681951792887164,30613,1520,6971
word_0020.nii.gz,14,bladder,0.9633045814182879,0.8747353002717148,91801,3923,3071
word_0020.nii.gz,15,head_of_femur_left,0.9318089015924867,0.8560710597643542,36512,4242,1102
word_0020.nii.gz,16,head_of_femur_right,0.94286656185018,0.8858477523728857,37181,3327,1179
word_0022.nii.gz,1,liver,0.9685118325787481,0.8651364823801035,350610,16586,6212
word_0022.nii.gz,2,spleen,0.9597328457454627,0.9046798769634256,81620,5929,920
word_0022.nii.gz,3,left_kidney,0.9484419178920197,0.8953163415202492,63566,3106,3805
word_0022.nii.gz,4,right_kidney,0.9579608814939375,0.9241239768777918,48708,2028,2247
word_0022.nii.gz,5,stomach,0.9412215968879626,0.7580147875664817,138641,14137,3179
word_0022.nii.gz,6,gallbladder,0.8402158905485126,0.8269360663293124,3347,710,563
word_0022.nii.gz,7,esophagus,0.7756906077348066,0.6826108284348594,2808,1585,39
word_0022.nii.gz,8,pancreas,0.8285978084769089,0.7061181326404956,23782,7347,2492
word_0022.nii.gz,9,duodenum,0.882745904545777,0.798608610477583,31119,6732,1535
word_0022.nii.gz,10,colon,0.8793212326267185,0.7412147021194166,151777,29309,12351
word_0022.nii.gz,11,intestine,0.8921072933027712,0.8027163394588982,321478,41491,36269
word_0022.nii.gz,12,adrenal,0.7759703196347032,0.8274661070232765,2719,1293,277
word_0022.nii.gz,13,rectum,0.8529594355192829,0.643167895367365,28166,2539,7172
word_0022.nii.gz,14,bladder,0.9458486776029461,0.7848925273140944,67806,4799,2965
word_0022.nii.gz,15,head_of_femur_left,0.9435023529084176,0.8323243940434374,67768,3896,4220
word_0022.nii.gz,16,head_of_femur_right,0.9415983744432334,0.8280546213275783,69973,3612,5068
word_0026.nii.gz,1,liver,0.9583924687580639,0.7901401111594039,415973,24672,11446
word_0026.nii.gz,2,spleen,0.9572216217056916,0.914901769696042,61546,4356,1145
word_0026.nii.gz,3,left_kidney,0.9462144380855074,0.8745686599852555,68531,5200,2591
word_0026.nii.gz,4,right_kidney,0.9503040968353715,0.8903992896635804,79922,6178,2181
word_0026.nii.gz,5,stomach,0.9406198984974513,0.8067651738973702,127050,8606,7435
word_0026.nii.gz,6,gallbladder,0.7909371781668383,0.7180950889146952,4224,1058,1175
word_0026.nii.gz,7,esophagus,0.7549434221053835,0.7386145158303834,6605,2697,1591
word_0026.nii.gz,8,pancreas,0.8654538786950087,0.7406003934510852,33040,7409,2864
word_0026.nii.gz,9,duodenum,0.8249004843892379,0.7125909309212037,25800,5629,5324
word_0026.nii.gz,10,colon,0.8055181403432544,0.5857168967243398,241007,33719,82657
word_0026.nii.gz,11,intestine,0.8632011115773393,0.6790637573644743,343548,69077,39813
word_0026.nii.gz,12,adrenal,0.5908492910393217,0.7007716190548839,2021,1970,829
word_0026.nii.gz,13,rectum,0.7368306189813678,0.5632634545753651,13505,8353,1294
word_0026.nii.gz,14,bladder,0.8790066825235021,0.6472345914459833,31043,5792,2754
word_0026.nii.gz,15,head_of_femur_left,0.9334621386638924,0.7970973136030103,62808,8229,725
word_0026.nii.gz,16,head_of_femur_right,0.9198512005410889,0.7575254508603516,62560,9148,1754
word_0027.nii.gz,1,liver,0.967806682153504,0.8754848482761982,294130,15654,3914
word_0027.nii.gz,2,spleen,0.955230163264079,0.9106048689874032,47655,2793,1674
word_0027.nii.gz,3,left_kidney,0.9414534641809675,0.8801474880417752,46384,2607,3162
word_0027.nii.gz,4,right_kidney,0.9461195058374696,0.8916412147162701,47367,1435,3960
word_0027.nii.gz,5,stomach,0.9242001535705144,0.7791035648890956,72217,5104,6742
word_0027.nii.gz,6,gallbladder,0.9071367153912295,0.8602217909761978,8440,789,939
