class,mean_case_dsc,mean_case_nsd,micro_dsc,tp,fp,fn,cases_with_dsc,cases_with_nsd
liver,0.9639452937105782,0.8296120801155159,0.9641990087168857,43229689,1768303,1441959,100,100
spleen,0.9511529003178499,0.8878476873465219,0.9538988773986624,7498073,411583,313168,100,100
left_kidney,0.9260854779731637,0.838705433192348,0.9194808105260807,5309153,593657,336191,100,100
right_kidney,0.9302732335131371,0.8623458287395452,0.9235515651429153,5094515,531618,311795,100,100
stomach,0.9316777832261445,0.7757612257309532,0.9374354965157013,13981295,906772,959453,100,100
gallbladder,0.7561672256585114,0.7098400084999319,0.817963047293139,429294,102343,88735,100,100
esophagus,0.7773236335634179,0.762913803069385,0.7758189216304214,416036,141071,99365,100,100
pancreas,0.8386748144861117,0.7358020167482726,0.8462401566738355,2612926,554123,395402,100,100
duodenum,0.7789325524571012,0.6860381198372241,0.7861685858161835,2044159,502588,609401,100,100
colon,0.8520805124265597,0.6714307087300253,0.860618803206604,22635701,3567274,3764639,100,100
intestine,0.8675931719047832,0.7373361624329415,0.8674896668392038,30541638,5008449,4322112,100,100
adrenal,0.6704050304600326,0.7139843700273962,0.6797445674645105,258930,139193,104792,100,100
rectum,0.7916611540385845,0.6048420814597837,0.808446303784636,1752062,394792,435477,100,100
bladder,0.9166745147181651,0.7749709471288714,0.9449839549837107,7947840,444229,481202,100,100
head_of_femur_left,0.905840662450427,0.7998121823828059,0.9078911593447203,4671524,582868,365018,100,100
head_of_femur_right,0.9125763576288493,0.8103683134953712,0.9125393813820345,4754139,555460,355843,100,100
