case,word_label,class,dsc,nsd,tp,fp,fn
word_0002.nii.gz,1,liver,0.9615358531760066,0.7484357228038627,659291,13511,39236
word_0002.nii.gz,2,spleen,0.9449632778627631,0.8235551077239384,111809,5291,7733
word_0002.nii.gz,3,left_kidney,0.5778912052818543,0.28972231662010806,64421,90149,3961
word_0002.nii.gz,4,right_kidney,0.602731115402835,0.4517718190432533,66163,84430,2788
word_0002.nii.gz,5,stomach,0.9456172599831114,0.7668056634965561,174134,7766,12263
word_0002.nii.gz,6,gallbladder,0.7958850280365579,0.6552565150594597,9013,3718,905
word_0002.nii.gz,7,esophagus,0.8270042194092827,0.7490211446092686,8428,1466,2060
word_0002.nii.gz,8,pancreas,0.7450584511079539,0.5631823399372653,29891,15736,4720
word_0002.nii.gz,9,duodenum,0.8569349924973855,0.7832869111057502,28269,5470,3969
word_0002.nii.gz,10,colon,0.9074472001301269,0.7653491956326188,317994,43944,20922
word_0002.nii.gz,11,intestine,0.8264889942180631,0.7772627267781967,312474,111505,19695
word_0002.nii.gz,12,adrenal,0.6852138073158166,0.8349541680156667,1995,788,1045
word_0002.nii.gz,13,rectum,0.6919474031155675,0.5139108744097596,9972,8252,627
word_0002.nii.gz,14,bladder,0.9294931235965098,0.8301466364160123,41599,2902,3409
word_0002.nii.gz,15,head_of_femur_left,0.7241419044463969,0.48273893089533837,50275,33812,4492
word_0002.nii.gz,16,head_of_femur_right,0.8122612576574033,0.6552786733061711,51778,20797,3138
