class,mean_case_dsc,mean_case_nsd,micro_dsc,tp,fp,fn,cases_with_dsc,cases_with_nsd
liver,0.9615358531760066,0.7484357228038627,0.9615358531760066,659291,13511,39236,1,1
spleen,0.9449632778627631,0.8235551077239384,0.9449632778627631,111809,5291,7733,1,1
left_kidney,0.5778912052818543,0.28972231662010806,0.5778912052818543,64421,90149,3961,1,1
right_kidney,0.602731115402835,0.4517718190432533,0.602731115402835,66163,84430,2788,1,1
stomach,0.9456172599831114,0.7668056634965561,0.9456172599831114,174134,7766,12263,1,1
gallbladder,0.7958850280365579,0.6552565150594597,0.7958850280365579,9013,3718,905,1,1
esophagus,0.8270042194092827,0.7490211446092686,0.8270042194092827,8428,1466,2060,1,1
pancreas,0.7450584511079539,0.5631823399372653,0.7450584511079539,29891,15736,4720,1,1
duodenum,0.8569349924973855,0.7832869111057502,0.8569349924973855,28269,5470,3969,1,1
colon,0.9074472001301269,0.7653491956326188,0.9074472001301269,317994,43944,20922,1,1
intestine,0.8264889942180631,0.7772627267781967,0.8264889942180631,312474,111505,19695,1,1
adrenal,0.6852138073158166,0.8349541680156667,0.6852138073158166,1995,788,1045,1,1
rectum,0.6919474031155675,0.5139108744097596,0.6919474031155675,9972,8252,627,1,1
bladder,0.9294931235965098,0.8301466364160123,0.9294931235965098,41599,2902,3409,1,1
head_of_femur_left,0.7241419044463969,0.48273893089533837,0.7241419044463969,50275,33812,4492,1,1
head_of_femur_right,0.8122612576574033,0.6552786733061711,0.8122612576574033,51778,20797,3138,1,1
