case,status,message,pancreas_voxels,kidney_voxels,liver_voxels,output
s0001,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0001/combined_mask.nii.gz
s0004,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0004/combined_mask.nii.gz
s0006,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0006/combined_mask.nii.gz
s0009,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0009/combined_mask.nii.gz
s0010,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0010/combined_mask.nii.gz
s0011,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0011/combined_mask.nii.gz
s0012,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0012/combined_mask.nii.gz
s0013,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0013/combined_mask.nii.gz
s0014,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0014/combined_mask.nii.gz
s0015,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0015/combined_mask.nii.gz
s0016,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0016/combined_mask.nii.gz
s0019,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0019/combined_mask.nii.gz
s0022,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0022/combined_mask.nii.gz
s0024,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0024/combined_mask.nii.gz
s0028,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0028/combined_mask.nii.gz
s0029,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0029/combined_mask.nii.gz
s0030,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0030/combined_mask.nii.gz
s0031,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0031/combined_mask.nii.gz
s0032,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0032/combined_mask.nii.gz
s0034,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0034/combined_mask.nii.gz
s0037,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0037/combined_mask.nii.gz
s0038,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0038/combined_mask.nii.gz
s0039,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0039/combined_mask.nii.gz
s0040,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0040/combined_mask.nii.gz
s0042,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0042/combined_mask.nii.gz
s0045,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0045/combined_mask.nii.gz
s0046,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0046/combined_mask.nii.gz
s0048,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0048/combined_mask.nii.gz
s0049,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0049/combined_mask.nii.gz
s0050,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0050/combined_mask.nii.gz
s0052,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0052/combined_mask.nii.gz
s0053,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0053/combined_mask.nii.gz
s0054,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0054/combined_mask.nii.gz
s0057,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0057/combined_mask.nii.gz
s0058,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0058/combined_mask.nii.gz
s0059,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0059/combined_mask.nii.gz
s0065,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0065/combined_mask.nii.gz
s0066,skipped,output already exists; pass --overwrite to replace it,,,,/home/s2347484/Seg/external_dataset/s0066/combined_mask.nii.gz
s0068,saved,"sources: pancreas=1, kidney=4, liver=1",12120,40023,76709,/home/s2347484/Seg/external_dataset/s0068/combined_mask.nii.gz
s0069,saved,"sources: pancreas=1, kidney=4, liver=1",19245,76310,408522,/home/s2347484/Seg/external_dataset/s0069/combined_mask.nii.gz
s0070,saved,"sources: pancreas=1, kidney=4, liver=1",15623,89853,442475,/home/s2347484/Seg/external_dataset/s0070/combined_mask.nii.gz
s0071,saved,"sources: pancreas=1, kidney=4, liver=1",14015,67661,427888,/home/s2347484/Seg/external_dataset/s0071/combined_mask.nii.gz
s0072,saved,"sources: pancreas=1, kidney=4, liver=1",23861,98968,419687,/home/s2347484/Seg/external_dataset/s0072/combined_mask.nii.gz
s0073,saved,"sources: pancreas=1, kidney=4, liver=1",22874,84673,380604,/home/s2347484/Seg/external_dataset/s0073/combined_mask.nii.gz
s0075,saved,"sources: pancreas=1, kidney=4, liver=1",29770,118796,479933,/home/s2347484/Seg/external_dataset/s0075/combined_mask.nii.gz
s0076,saved,"sources: pancreas=1, kidney=4, liver=1",28788,123422,656244,/home/s2347484/Seg/external_dataset/s0076/combined_mask.nii.gz
s0077,saved,"sources: pancreas=1, kidney=4, liver=1",19430,84283,393016,/home/s2347484/Seg/external_dataset/s0077/combined_mask.nii.gz
s0078,saved,"sources: pancreas=1, kidney=4, liver=1",28268,95359,380919,/home/s2347484/Seg/external_dataset/s0078/combined_mask.nii.gz
s0080,saved,"sources: pancreas=1, kidney=4, liver=1",23506,53318,531760,/home/s2347484/Seg/external_dataset/s0080/combined_mask.nii.gz
s0082,saved,"sources: pancreas=1, kidney=4, liver=1",19271,82485,422940,/home/s2347484/Seg/external_dataset/s0082/combined_mask.nii.gz
